No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
35500;Kalimantan Tengah;Kota;Palangka Raya;Bukit Batu;Sei/Sungai Gohong;73225
35501;Kalimantan Tengah;Kota;Palangka Raya;Bukit Batu;Tangkiling;73221
35502;Kalimantan Tengah;Kota;Palangka Raya;Bukit Batu;Tumbang Tahai;73223
35503;Kalimantan Tengah;Kota;Palangka Raya;Jekan Raya;Bukit Tunggal;73112
35504;Kalimantan Tengah;Kota;Palangka Raya;Jekan Raya;Menteng;73111
35505;Kalimantan Tengah;Kota;Palangka Raya;Jekan Raya;Palangka;73112
35506;Kalimantan Tengah;Kota;Palangka Raya;Jekan Raya;Petuk Katimpun;73118
35507;Kalimantan Tengah;Kota;Palangka Raya;Pahandut;Langkai;73111
35508;Kalimantan Tengah;Kota;Palangka Raya;Pahandut;Pahandut;73111
35509;Kalimantan Tengah;Kota;Palangka Raya;Pahandut;Pahandut Seberang;73111
35510;Kalimantan Tengah;Kota;Palangka Raya;Pahandut;Panarung;73111
35511;Kalimantan Tengah;Kota;Palangka Raya;Pahandut;Tanjung Pinang;73111
35512;Kalimantan Tengah;Kota;Palangka Raya;Pahandut;Tumbang Rungan;73111
35513;Kalimantan Tengah;Kota;Palangka Raya;Rakumpit;Bukit Sua;73229
35514;Kalimantan Tengah;Kota;Palangka Raya;Rakumpit;Gaung Baru;73229
35515;Kalimantan Tengah;Kota;Palangka Raya;Rakumpit;Mungku Baru;73229
35516;Kalimantan Tengah;Kota;Palangka Raya;Rakumpit;Pager;73229
35517;Kalimantan Tengah;Kota;Palangka Raya;Rakumpit;Panjehang;73228
35518;Kalimantan Tengah;Kota;Palangka Raya;Rakumpit;Petuk Berunai;73229
35519;Kalimantan Tengah;Kota;Palangka Raya;Rakumpit;Petuk Bukit;73227
35520;Kalimantan Tengah;Kota;Palangka Raya;Sebangau;Bereng Bengkel;73114
35521;Kalimantan Tengah;Kota;Palangka Raya;Sebangau;Danau Tundai;73114
35522;Kalimantan Tengah;Kota;Palangka Raya;Sebangau;Kalampangan;73114
35523;Kalimantan Tengah;Kota;Palangka Raya;Sebangau;Kameloh Baru;73114
35524;Kalimantan Tengah;Kota;Palangka Raya;Sebangau;Kereng Bangkirai;73113
35525;Kalimantan Tengah;Kota;Palangka Raya;Sebangau;Sabaru;73113
35526;Kalimantan Tengah;Kabupaten;Pulang Pisau;Banama Tingang;Bawan;74863
35527;Kalimantan Tengah;Kabupaten;Pulang Pisau;Banama Tingang;Guha;74863
35528;Kalimantan Tengah;Kabupaten;Pulang Pisau;Banama Tingang;Hanua;74863
35529;Kalimantan Tengah;Kabupaten;Pulang Pisau;Banama Tingang;Hurung;74863
