No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
36000;Kalimantan Timur;Kabupaten;Kutai Barat;Long Iram;Kalian Luar;75766
36001;Kalimantan Timur;Kabupaten;Kutai Barat;Long Iram;Keliway;75766
36002;Kalimantan Timur;Kabupaten;Kutai Barat;Long Iram;Long Daliq;75766
36003;Kalimantan Timur;Kabupaten;Kutai Barat;Long Iram;Long Iram Bayan;75766
36004;Kalimantan Timur;Kabupaten;Kutai Barat;Long Iram;Long Iram Ilir;75766
36005;Kalimantan Timur;Kabupaten;Kutai Barat;Long Iram;Long Iram Kota;75766
36006;Kalimantan Timur;Kabupaten;Kutai Barat;Long Iram;Longiram Seberang;75766
36007;Kalimantan Timur;Kabupaten;Kutai Barat;Long Iram;Muara Leban;75766
36008;Kalimantan Timur;Kabupaten;Kutai Barat;Long Iram;Suko Mulyo;75766
36009;Kalimantan Timur;Kabupaten;Kutai Barat;Long Iram;Ujoh Halang;75766
36010;Kalimantan Timur;Kabupaten;Kutai Barat;Melak;Empakuq;75765
36011;Kalimantan Timur;Kabupaten;Kutai Barat;Melak;Empas;75765
36012;Kalimantan Timur;Kabupaten;Kutai Barat;Melak;Melak Ilir;75765
36013;Kalimantan Timur;Kabupaten;Kutai Barat;Melak;Melak Ulu;75765
36014;Kalimantan Timur;Kabupaten;Kutai Barat;Melak;Muara Benangaq;75765
36015;Kalimantan Timur;Kabupaten;Kutai Barat;Melak;Muara Bunyut;75765
36016;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Abit;75774
36017;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Gadur;75765
36018;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Gemuruh;75765
36019;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Gunung Rampah;75765
36020;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Jengan;75765
36021;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Karangan;75765
36022;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Kelumpang;75765
36023;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Linggang Marimun;75765
36024;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Merayaq;75765
36025;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Muara Batuq;75765
36026;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Muara Jawaq;75774
36027;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Muara Kalaq;75765
36028;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Rembayan;75774
36029;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Sakaq Lotoq;75765
36030;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Sakaq Tada;75765
36031;Kalimantan Timur;Kabupaten;Kutai Barat;Mook Manaar Bulatn;Tondoh;75774
36032;Kalimantan Timur;Kabupaten;Kutai Barat;Muara Lawa;Benggeris;75775
36033;Kalimantan Timur;Kabupaten;Kutai Barat;Muara Lawa;Cempedas;75775
36034;Kalimantan Timur;Kabupaten;Kutai Barat;Muara Lawa;Dingin;75775
36035;Kalimantan Timur;Kabupaten;Kutai Barat;Muara Lawa;Lambing;75775
36036;Kalimantan Timur;Kabupaten;Kutai Barat;Muara Lawa;Lataq/Lotaq;75775
36037;Kalimantan Timur;Kabupaten;Kutai Barat;Muara Lawa;Muara Begai;75775
36038;Kalimantan Timur;Kabupaten;Kutai Barat;Muara Lawa;Muara Lawa;75775
36039;Kalimantan Timur;Kabupaten;Kutai Barat;Muara Lawa;Payang;75775
