No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
36500;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Bagun;Long Merah;75767
36501;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Bagun;Mamahak Ilir;75767
36502;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Bagun;Mamahak Ulu;75767
36503;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Bagun;Rukun Damai;75767
36504;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Bagun;Ujoh Bilang;75767
36505;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Hubung;Datah Bilang Baru;75779
36506;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Hubung;Datah Bilang Ilir;75779
36507;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Hubung;Datah Bilang Ulu;75779
36508;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Hubung;Long Hubung;75779
36509;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Hubung;Long Hubung Ulu;75779
36510;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Hubung;Lutan;75779
36511;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Hubung;Matalibaq;75779
36512;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Hubung;Memahak Teboq;75779
36513;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Hubung;Sirau;75779
36514;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Hubung;Tri Pariq Makmur;75779
36515;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Hubung;Wana Pariq;75779
36516;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Datah Naha;75768
36517;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Delang Krohong;75768
36518;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Lirung Ubing;75768
36519;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Liu Mulang;75768
36520;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Long Isun;75768
36521;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Long Lunuk;75768
36522;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Long Lunuk Baru;75768
36523;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Long Pahangai I;75768
36524;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Long Pahangai II;75768
36525;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Long Pakaq;75768
36526;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Long Pakaq Baru;75768
36527;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Long Tuyoq;75768
36528;Kalimantan Timur;Kabupaten;Mahakam Ulu;Long Pahangai;Naha Aruq;75768
36529;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Bai Jaya;76261
36530;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Kerang;76261
36531;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Kerang Dayo;76261
36532;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Langgai;76261
36533;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Lomu;76261
36534;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Mengkudu;76261
36535;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Pengguren Jaya;76261
36536;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Petangis;76261
36537;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Riwang;76261
36538;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Saing Prupuk;76261
36539;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Segendang;76261
36540;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Tampakan;76261
36541;Kalimantan Timur;Kabupaten;Paser;Batu Engau;Tebru Paser Damai;76261
36542;Kalimantan Timur;Kabupaten;Paser;Batu Sopang;Batu Sopang;76252
36543;Kalimantan Timur;Kabupaten;Paser;Batu Sopang;Busui;76252
36544;Kalimantan Timur;Kabupaten;Paser;Batu Sopang;Kasungai;76252
36545;Kalimantan Timur;Kabupaten;Paser;Batu Sopang;Legai;76252
36546;Kalimantan Timur;Kabupaten;Paser;Batu Sopang;Rantau Buta;76252
36547;Kalimantan Timur;Kabupaten;Paser;Batu Sopang;Rantau Layung;76252
36548;Kalimantan Timur;Kabupaten;Paser;Batu Sopang;Samurangau;76252
36549;Kalimantan Timur;Kabupaten;Paser;Batu Sopang;Sei/Sungai Terik;76252
36550;Kalimantan Timur;Kabupaten;Paser;Batu Sopang;Songka;76252
36551;Kalimantan Timur;Kabupaten;Paser;Kuaro;Air Mati;76281
