No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
37000;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Long Puak;77456
37001;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Long Rupan;77456
37002;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Long Sepayang;77456
37003;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Long Tenem;77456
37004;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Long Tugul;77456
37005;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Long Umung;77456
37006;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Ma Libu;77456
37007;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Api;77456
37008;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Betung;77456
37009;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Butal;77456
37010;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Delung;77456
37011;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Inan;77456
37012;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Kebuan;77456
37013;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Kemut;77456
37014;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Kidang;77456
37015;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Lidung;77456
37016;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Lutut;77456
37017;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Malade (Pa Melade);77456
37018;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Matung;77456
37019;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Mering;77456
37020;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Mulak;77456
37021;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Nado;77456
37022;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Padi;77456
37023;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Pala;77456
37024;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Pani;77456
37025;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Pawan;77456
37026;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Payak;77456
37027;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Pirit;77456
37028;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Putuk;77456
37029;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Rangeb (Parangeb);77456
37030;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Raye;77456
37031;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Rupai;77456
37032;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Sire (Pasire);77456
37033;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Terutun;77456
37034;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Umung;77456
37035;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Pa Urud;77456
37036;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Sembudud;77456
37037;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Sinar Baru;77456
37038;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Wa Laya;77456
37039;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Wa Yagung;77456
37040;Kalimantan Utara;Kabupaten;Nunukan;Krayan;Wa Yanud;77456
37041;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Ba Liku;77456
37042;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Binuang (Ba Binuang);77456
37043;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Liang Lunuk;77456
37044;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Long Birar;77456
37045;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Long Budung;77456
37046;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Long Kelupan / Klupan;77456
37047;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Long Mutan;77456
37048;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Long Padi;77456
37049;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Long Pasia;77456
37050;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Long Pupung;77456
37051;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Long Rian;77456
37052;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Long Rungan;77456
37053;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Pa Amai;77456
37054;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Pa Dalan;77456
37055;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Pa Ibang;77456
37056;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Pa Kaber;77456
37057;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Pa Milau;77456
37058;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Pa Sing;77456
37059;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Pa Tera;77456
37060;Kalimantan Utara;Kabupaten;Nunukan;Krayan Selatan;Pa Upan;77456
