No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
37500;Kepulauan Riau;Kabupaten;Kepulauan Anambas;Siantan Tengah;Teluk Siantan;29783
37501;Kepulauan Riau;Kabupaten;Kepulauan Anambas;Siantan Tengah;Teluk Sunting;29783
37502;Kepulauan Riau;Kabupaten;Kepulauan Anambas;Siantan Timur;Air Putih;29791
37503;Kepulauan Riau;Kabupaten;Kepulauan Anambas;Siantan Timur;Batu Belah;29791
37504;Kepulauan Riau;Kabupaten;Kepulauan Anambas;Siantan Timur;Munjan;29791
37505;Kepulauan Riau;Kabupaten;Kepulauan Anambas;Siantan Timur;Nyamuk;29791
37506;Kepulauan Riau;Kabupaten;Kepulauan Anambas;Siantan Timur;Serat;29791
37507;Kepulauan Riau;Kabupaten;Kepulauan Anambas;Siantan Timur;Temburun;29791
37508;Kepulauan Riau;Kabupaten;Lingga;Lingga;Daik;29872
37509;Kepulauan Riau;Kabupaten;Lingga;Lingga;Kelombok;29872
37510;Kepulauan Riau;Kabupaten;Lingga;Lingga;Kelumu;29872
37511;Kepulauan Riau;Kabupaten;Lingga;Lingga;Mentuda;29872
37512;Kepulauan Riau;Kabupaten;Lingga;Lingga;Mepar;29872
37513;Kepulauan Riau;Kabupaten;Lingga;Lingga;Merawang;29872
37514;Kepulauan Riau;Kabupaten;Lingga;Lingga;Musai;29872
37515;Kepulauan Riau;Kabupaten;Lingga;Lingga;Nerekeh;29872
37516;Kepulauan Riau;Kabupaten;Lingga;Lingga;Panggak Darat;29872
37517;Kepulauan Riau;Kabupaten;Lingga;Lingga;Panggak Laut;29872
37518;Kepulauan Riau;Kabupaten;Lingga;Lingga;Pekajang;29872
37519;Kepulauan Riau;Kabupaten;Lingga;Lingga Timur;Bukit Langkap;29872
37520;Kepulauan Riau;Kabupaten;Lingga;Lingga Timur;Kerandin;29872
37521;Kepulauan Riau;Kabupaten;Lingga;Lingga Timur;Keton;29872
37522;Kepulauan Riau;Kabupaten;Lingga;Lingga Timur;Kudung;29872
37523;Kepulauan Riau;Kabupaten;Lingga;Lingga Timur;Pekaka;29872
37524;Kepulauan Riau;Kabupaten;Lingga;Lingga Timur;Sei/Sungai Pinang;29872
37525;Kepulauan Riau;Kabupaten;Lingga;Lingga Utara;Belungkur;29874
37526;Kepulauan Riau;Kabupaten;Lingga;Lingga Utara;Bukit Harapan;29874
37527;Kepulauan Riau;Kabupaten;Lingga;Lingga Utara;Duara;29874
37528;Kepulauan Riau;Kabupaten;Lingga;Lingga Utara;Limbung;29874
37529;Kepulauan Riau;Kabupaten;Lingga;Lingga Utara;Linau;29874
37530;Kepulauan Riau;Kabupaten;Lingga;Lingga Utara;Pancur;29874
37531;Kepulauan Riau;Kabupaten;Lingga;Lingga Utara;Rantau Panjang;29874
