No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
38000;Lampung;Kabupaten;Lampung Selatan;Kalianda;Marga Catur;35551
38001;Lampung;Kabupaten;Lampung Selatan;Kalianda;Merak Belantung;35551
38002;Lampung;Kabupaten;Lampung Selatan;Kalianda;Munjuk Sempurna;35551
38003;Lampung;Kabupaten;Lampung Selatan;Kalianda;Negeri Pandan;35551
38004;Lampung;Kabupaten;Lampung Selatan;Kalianda;Palembapang;35551
38005;Lampung;Kabupaten;Lampung Selatan;Kalianda;Pauh Tanjung Iman;35551
38006;Lampung;Kabupaten;Lampung Selatan;Kalianda;Pematang;35551
38007;Lampung;Kabupaten;Lampung Selatan;Kalianda;Suka Tani;35551
38008;Lampung;Kabupaten;Lampung Selatan;Kalianda;Sukaratu;35551
38009;Lampung;Kabupaten;Lampung Selatan;Kalianda;Sumurkumbang;35551
38010;Lampung;Kabupaten;Lampung Selatan;Kalianda;Tajimalela;35551
38011;Lampung;Kabupaten;Lampung Selatan;Kalianda;Taman Agung;35551
38012;Lampung;Kabupaten;Lampung Selatan;Kalianda;Tengkujuh;35551
38013;Lampung;Kabupaten;Lampung Selatan;Kalianda;Wai Lubuk;35551
38014;Lampung;Kabupaten;Lampung Selatan;Kalianda;Wayurang;35551
38015;Lampung;Kabupaten;Lampung Selatan;Katibung;Babatan;35452
38016;Lampung;Kabupaten;Lampung Selatan;Katibung;Karya Tunggal;35452
38017;Lampung;Kabupaten;Lampung Selatan;Katibung;Neglasari;35452
38018;Lampung;Kabupaten;Lampung Selatan;Katibung;Pardasuka;35452
38019;Lampung;Kabupaten;Lampung Selatan;Katibung;Rangai Tri Tunggal;35452
38020;Lampung;Kabupaten;Lampung Selatan;Katibung;Sidomekar;35452
38021;Lampung;Kabupaten;Lampung Selatan;Katibung;Sukajaya;35452
38022;Lampung;Kabupaten;Lampung Selatan;Katibung;Tanjungagung;35452
38023;Lampung;Kabupaten;Lampung Selatan;Katibung;Tanjungan;35452
38024;Lampung;Kabupaten;Lampung Selatan;Katibung;Tanjungratu;35452
38025;Lampung;Kabupaten;Lampung Selatan;Katibung;Tarahan;35452
38026;Lampung;Kabupaten;Lampung Selatan;Katibung;Trans Tanjungan;35452
38027;Lampung;Kabupaten;Lampung Selatan;Ketapang;Bangun Rejo;35596
38028;Lampung;Kabupaten;Lampung Selatan;Ketapang;Berundung;35596
38029;Lampung;Kabupaten;Lampung Selatan;Ketapang;Karang Sari;35596
38030;Lampung;Kabupaten;Lampung Selatan;Ketapang;Kemukus;35596
38031;Lampung;Kabupaten;Lampung Selatan;Ketapang;Ketapang;35596
38032;Lampung;Kabupaten;Lampung Selatan;Ketapang;Legundi;35596
38033;Lampung;Kabupaten;Lampung Selatan;Ketapang;Lembung Nala;35596
38034;Lampung;Kabupaten;Lampung Selatan;Ketapang;Pematang Pasir;35596
38035;Lampung;Kabupaten;Lampung Selatan;Ketapang;Ruguk;35596
38036;Lampung;Kabupaten;Lampung Selatan;Ketapang;Sido Luhur;35596
38037;Lampung;Kabupaten;Lampung Selatan;Ketapang;Sidoasih;35596
38038;Lampung;Kabupaten;Lampung Selatan;Ketapang;Sri Pendowo;35596
38039;Lampung;Kabupaten;Lampung Selatan;Ketapang;Sumbernadi;35596
38040;Lampung;Kabupaten;Lampung Selatan;Ketapang;Sumur;35596
38041;Lampung;Kabupaten;Lampung Selatan;Ketapang;Taman Sari;35596
38042;Lampung;Kabupaten;Lampung Selatan;Ketapang;Tridarmayoga;35596
38043;Lampung;Kabupaten;Lampung Selatan;Ketapang;Wai Sidomukti;35596
38044;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Baru Ranji;35357
38045;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Batuagung;35357
38046;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Karang Jaya;35357
38047;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Karang Raja;35357
38048;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Lebungsari;35357
38049;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Mekar Jaya;35357
38050;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Merbau Mataram;35357
38051;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Panca Tunggal;35357
38052;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Pujirahayu;35357
38053;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Sinar Karya;35357
38054;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Suban;35357
38055;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Talang Jawa;35357
38056;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Tanjung Baru;35357
38057;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Tanjung Harapan;35357
38058;Lampung;Kabupaten;Lampung Selatan;Merbau Mataram;Triharjo;35357
38059;Lampung;Kabupaten;Lampung Selatan;Natar;Bandar Rejo;35362
38060;Lampung;Kabupaten;Lampung Selatan;Natar;Banjarnegeri;35362
38061;Lampung;Kabupaten;Lampung Selatan;Natar;Beranti/Branti Raya;35362
38062;Lampung;Kabupaten;Lampung Selatan;Natar;Bumisari;35362
38063;Lampung;Kabupaten;Lampung Selatan;Natar;Candi Mas;35362
38064;Lampung;Kabupaten;Lampung Selatan;Natar;Haduyang;35362
38065;Lampung;Kabupaten;Lampung Selatan;Natar;Hajimena;35362
38066;Lampung;Kabupaten;Lampung Selatan;Natar;Kali Sari;35362
38067;Lampung;Kabupaten;Lampung Selatan;Natar;Krawang Sari;35362
38068;Lampung;Kabupaten;Lampung Selatan;Natar;Mandah;35362
38069;Lampung;Kabupaten;Lampung Selatan;Natar;Merak Batin;35362
38070;Lampung;Kabupaten;Lampung Selatan;Natar;Muara Putih;35362
38071;Lampung;Kabupaten;Lampung Selatan;Natar;Natar;35362
38072;Lampung;Kabupaten;Lampung Selatan;Natar;Negara Ratu;35362
38073;Lampung;Kabupaten;Lampung Selatan;Natar;Pancasila;35362
38074;Lampung;Kabupaten;Lampung Selatan;Natar;Pemanggilan;35362
38075;Lampung;Kabupaten;Lampung Selatan;Natar;Purwosari;35362
38076;Lampung;Kabupaten;Lampung Selatan;Natar;Rejosari;35362
38077;Lampung;Kabupaten;Lampung Selatan;Natar;Rulung Herok/Helok;35362
38078;Lampung;Kabupaten;Lampung Selatan;Natar;Rulung Mulya;35362
38079;Lampung;Kabupaten;Lampung Selatan;Natar;Rulung Raya;35362
38080;Lampung;Kabupaten;Lampung Selatan;Natar;Rulung Sari;35362
38081;Lampung;Kabupaten;Lampung Selatan;Natar;Sidosari;35362
38082;Lampung;Kabupaten;Lampung Selatan;Natar;Sukadamai;35362
38083;Lampung;Kabupaten;Lampung Selatan;Natar;Tanjungsari;35362
38084;Lampung;Kabupaten;Lampung Selatan;Natar;Wai Sari;35362
38085;Lampung;Kabupaten;Lampung Selatan;Palas;Bali Agung;35594
38086;Lampung;Kabupaten;Lampung Selatan;Palas;Bandan Hurip;35594
38087;Lampung;Kabupaten;Lampung Selatan;Palas;Bangunan;35594
38088;Lampung;Kabupaten;Lampung Selatan;Palas;Bumi Asih;35594
38089;Lampung;Kabupaten;Lampung Selatan;Palas;Bumi Asri;35594
38090;Lampung;Kabupaten;Lampung Selatan;Palas;Bumi Daya;35594
38091;Lampung;Kabupaten;Lampung Selatan;Palas;Bumi Restu;35594
38092;Lampung;Kabupaten;Lampung Selatan;Palas;Kalirejo;35594
38093;Lampung;Kabupaten;Lampung Selatan;Palas;Mekar Mulya;35594
38094;Lampung;Kabupaten;Lampung Selatan;Palas;Palas Aji;35594
38095;Lampung;Kabupaten;Lampung Selatan;Palas;Palas Jaya;35594
38096;Lampung;Kabupaten;Lampung Selatan;Palas;Palas Pasemah;35594
38097;Lampung;Kabupaten;Lampung Selatan;Palas;Pematang Baru;35594
38098;Lampung;Kabupaten;Lampung Selatan;Palas;Pulau Jaya;35594
38099;Lampung;Kabupaten;Lampung Selatan;Palas;Pulau Tengah;35594
38100;Lampung;Kabupaten;Lampung Selatan;Palas;Rejo Mulyo;35594
38101;Lampung;Kabupaten;Lampung Selatan;Palas;Suka Mulya;35594
38102;Lampung;Kabupaten;Lampung Selatan;Palas;Sukabakti;35594
38103;Lampung;Kabupaten;Lampung Selatan;Palas;Sukaraja;35594
