No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
38500;Lampung;Kabupaten;Lampung Tengah;Trimurjo;Tempuran;34172
38501;Lampung;Kabupaten;Lampung Tengah;Trimurjo;Trimurjo;34172
38502;Lampung;Kabupaten;Lampung Tengah;Trimurjo;Untoro;34172
38503;Lampung;Kabupaten;Lampung Tengah;Way Pangubuan;Banjar Kertahayu;35213
38504;Lampung;Kabupaten;Lampung Tengah;Way Pangubuan;Banjar Ratu;35213
38505;Lampung;Kabupaten;Lampung Tengah;Way Pangubuan;Banjar Rejo;35213
38506;Lampung;Kabupaten;Lampung Tengah;Way Pangubuan;Candi Rejo;35213
38507;Lampung;Kabupaten;Lampung Tengah;Way Pangubuan;Lempuyang Bandar;35213
38508;Lampung;Kabupaten;Lampung Tengah;Way Pangubuan;Purnama Tunggal;35213
38509;Lampung;Kabupaten;Lampung Tengah;Way Pangubuan;Putra Lempuyang;35213
38510;Lampung;Kabupaten;Lampung Tengah;Way Pangubuan;Tanjung Ratu Ilir;35213
38511;Lampung;Kabupaten;Lampung Tengah;Way Seputih;Sangga Buana;34179
38512;Lampung;Kabupaten;Lampung Tengah;Way Seputih;Sido Binangun;34179
38513;Lampung;Kabupaten;Lampung Tengah;Way Seputih;Sri Bawono;34179
38514;Lampung;Kabupaten;Lampung Tengah;Way Seputih;Sri Budaya;34179
38515;Lampung;Kabupaten;Lampung Tengah;Way Seputih;Sri Busono;34179
38516;Lampung;Kabupaten;Lampung Tengah;Way Seputih;Suko Binangun;34179
38517;Lampung;Kabupaten;Lampung Timur;Bandar Sribawono;Bandar Agung;34389
38518;Lampung;Kabupaten;Lampung Timur;Bandar Sribawono;Mekar Jaya;34389
38519;Lampung;Kabupaten;Lampung Timur;Bandar Sribawono;Sadar Sriwijaya;34389
38520;Lampung;Kabupaten;Lampung Timur;Bandar Sribawono;Sri Bawono (Bhawono);34389
38521;Lampung;Kabupaten;Lampung Timur;Bandar Sribawono;Sri Menanti;34389
38522;Lampung;Kabupaten;Lampung Timur;Bandar Sribawono;Sri Pendowo;34389
38523;Lampung;Kabupaten;Lampung Timur;Bandar Sribawono;Waringin Jaya;34389
38524;Lampung;Kabupaten;Lampung Timur;Batanghari;Adi Warno;34381
38525;Lampung;Kabupaten;Lampung Timur;Batanghari;Balai Kencono;34381
38526;Lampung;Kabupaten;Lampung Timur;Batanghari;Bale Rejo;34381
38527;Lampung;Kabupaten;Lampung Timur;Batanghari;Banar Joyo;34381
38528;Lampung;Kabupaten;Lampung Timur;Batanghari;Banjar Rejo;34381
38529;Lampung;Kabupaten;Lampung Timur;Batanghari;Batang Harjo;34381
38530;Lampung;Kabupaten;Lampung Timur;Batanghari;Buana Sakti;34381
38531;Lampung;Kabupaten;Lampung Timur;Batanghari;Bumi Harjo;34381
38532;Lampung;Kabupaten;Lampung Timur;Batanghari;Bumi Mas;34381
38533;Lampung;Kabupaten;Lampung Timur;Batanghari;Nampi Rejo;34381
38534;Lampung;Kabupaten;Lampung Timur;Batanghari;Purwodadi Mekar;34381
38535;Lampung;Kabupaten;Lampung Timur;Batanghari;Rejo Agung;34381
38536;Lampung;Kabupaten;Lampung Timur;Batanghari;Selo Rejo;34381
38537;Lampung;Kabupaten;Lampung Timur;Batanghari;Sri Basuki;34381
38538;Lampung;Kabupaten;Lampung Timur;Batanghari;Sumber Agung;34381
38539;Lampung;Kabupaten;Lampung Timur;Batanghari;Sumber Rejo;34381
38540;Lampung;Kabupaten;Lampung Timur;Batanghari;Telogo Rejo;34381
38541;Lampung;Kabupaten;Lampung Timur;Batanghari Nuban;Bumi Jawa;34372
38542;Lampung;Kabupaten;Lampung Timur;Batanghari Nuban;Cempaka Nuban;34372
38543;Lampung;Kabupaten;Lampung Timur;Batanghari Nuban;Gedung Dalam;34372
