No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
39000;Lampung;Kabupaten;Lampung Utara;Sungkai Utara;Kota Negara;34555
39001;Lampung;Kabupaten;Lampung Utara;Sungkai Utara;Kota Negara Ilir;34555
39002;Lampung;Kabupaten;Lampung Utara;Sungkai Utara;Negara Batin;34555
39003;Lampung;Kabupaten;Lampung Utara;Sungkai Utara;Negara Batin II;34555
39004;Lampung;Kabupaten;Lampung Utara;Sungkai Utara;Negara Ratu;34555
39005;Lampung;Kabupaten;Lampung Utara;Sungkai Utara;Negeri Ratu;34555
39006;Lampung;Kabupaten;Lampung Utara;Sungkai Utara;Negeri Sakti;34555
39007;Lampung;Kabupaten;Lampung Utara;Sungkai Utara;Ogan Jaya;34555
39008;Lampung;Kabupaten;Lampung Utara;Sungkai Utara;Padang Ratu;34555
39009;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Gunung Katon;34557
39010;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Karang Waringin;34557
39011;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Kemala Raja;34557
39012;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Mekar Jaya;34557
39013;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Merambung;34557
39014;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Priangan Ratu;34557
39015;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Sido Mulyo;34557
39016;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Sinar Jaya;34557
39017;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Sinarmulya;34557
39018;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Sindang Agung;34557
39019;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Sindang Marga;34557
39020;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Sri Menanti;34557
39021;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Suka Mulya;34557
39022;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Sukasari;34557
39023;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Tanjung Beringin;34557
39024;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Tanjung Raja;34557
39025;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Tanjung Riang;34557
39026;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Tulung Balak;34557
39027;Lampung;Kabupaten;Lampung Utara;Tanjung Raja;Ulak Ata;34557
39028;Lampung;Kabupaten;Mesuji;Mesuji;Mulya Sari;34697
39029;Lampung;Kabupaten;Mesuji;Mesuji;Nipah Kuning;34697
39030;Lampung;Kabupaten;Mesuji;Mesuji;Sido Mulyo;34697
39031;Lampung;Kabupaten;Mesuji;Mesuji;Suka Maju;34697
39032;Lampung;Kabupaten;Mesuji;Mesuji;Sumber Makmur;34697
39033;Lampung;Kabupaten;Mesuji;Mesuji;Sungai Badak;34697
39034;Lampung;Kabupaten;Mesuji;Mesuji;Tanjung Seraya;34697
39035;Lampung;Kabupaten;Mesuji;Mesuji;Tirtalaga;34697
39036;Lampung;Kabupaten;Mesuji;Mesuji;Wiralaga I;34697
39037;Lampung;Kabupaten;Mesuji;Mesuji;Wiralaga II;34697
39038;Lampung;Kabupaten;Mesuji;Mesuji;Wiralaga Mulya;34697
39039;Lampung;Kabupaten;Mesuji;Mesuji Timur;Dwi Karya Mustika;34697
39040;Lampung;Kabupaten;Mesuji;Mesuji Timur;Eka Mulya;34697
39041;Lampung;Kabupaten;Mesuji;Mesuji Timur;Margo Jadi;34697
39042;Lampung;Kabupaten;Mesuji;Mesuji Timur;Margo Jaya;34697
39043;Lampung;Kabupaten;Mesuji;Mesuji Timur;Margo Mulyo;34697
39044;Lampung;Kabupaten;Mesuji;Mesuji Timur;Muara Asri;34697
39045;Lampung;Kabupaten;Mesuji;Mesuji Timur;Muara Mas;34697
39046;Lampung;Kabupaten;Mesuji;Mesuji Timur;Pangkal Mas;34697
39047;Lampung;Kabupaten;Mesuji;Mesuji Timur;Pangkal Mas Jaya;34697
39048;Lampung;Kabupaten;Mesuji;Mesuji Timur;Pangkal Mas Mulya;34697
39049;Lampung;Kabupaten;Mesuji;Mesuji Timur;Sungai Cambai;34697
39050;Lampung;Kabupaten;Mesuji;Mesuji Timur;Talang Batu;34697
39051;Lampung;Kabupaten;Mesuji;Mesuji Timur;Tanjung Mas Jaya;34697
39052;Lampung;Kabupaten;Mesuji;Mesuji Timur;Tanjung Mas Makmur;34697
39053;Lampung;Kabupaten;Mesuji;Mesuji Timur;Tanjung Mas Mulya;34697
39054;Lampung;Kabupaten;Mesuji;Mesuji Timur;Tanjung Mas Rejo;34697
39055;Lampung;Kabupaten;Mesuji;Mesuji Timur;Tanjung Menang Raya;34697
39056;Lampung;Kabupaten;Mesuji;Mesuji Timur;Tanjung Meneng;34697
39057;Lampung;Kabupaten;Mesuji;Mesuji Timur;Tebing Karya Mandiri;34697
39058;Lampung;Kabupaten;Mesuji;Mesuji Timur;Wonosari;34697
39059;Lampung;Kabupaten;Mesuji;Panca Jaya;Adi Karya Mulya;34698
39060;Lampung;Kabupaten;Mesuji;Panca Jaya;Adi Luhur;34698
39061;Lampung;Kabupaten;Mesuji;Panca Jaya;Adi Mulya / Mulyo;34698
39062;Lampung;Kabupaten;Mesuji;Panca Jaya;Fajar Asri;34698
39063;Lampung;Kabupaten;Mesuji;Panca Jaya;Fajar Baru;34698
39064;Lampung;Kabupaten;Mesuji;Panca Jaya;Fajar Indah;34698
39065;Lampung;Kabupaten;Mesuji;Panca Jaya;Mukti Karya;34698
39066;Lampung;Kabupaten;Mesuji;Rawa Jitu Utara;Panggung Jaya;34696
39067;Lampung;Kabupaten;Mesuji;Rawa Jitu Utara;Panggung Rejo;34696
