No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
39500;Lampung;Kabupaten;Pringsewu;Pagelaran Utara;Margosari;35376
39501;Lampung;Kabupaten;Pringsewu;Pagelaran Utara;Neglasari;35376
39502;Lampung;Kabupaten;Pringsewu;Pagelaran Utara;Sumber Bandung;35376
39503;Lampung;Kabupaten;Pringsewu;Pagelaran Utara;Way Kunir;35376
39504;Lampung;Kabupaten;Pringsewu;Pardasuka;Kedaung;35682
39505;Lampung;Kabupaten;Pringsewu;Pardasuka;Pardasuka;35682
39506;Lampung;Kabupaten;Pringsewu;Pardasuka;Pardasuka Selatan;35682
39507;Lampung;Kabupaten;Pringsewu;Pardasuka;Pardasuka Timur;35682
39508;Lampung;Kabupaten;Pringsewu;Pardasuka;Pujodadi;35682
39509;Lampung;Kabupaten;Pringsewu;Pardasuka;Rantau Tijang;35682
39510;Lampung;Kabupaten;Pringsewu;Pardasuka;Selapan;35682
39511;Lampung;Kabupaten;Pringsewu;Pardasuka;Sidodadi;35682
39512;Lampung;Kabupaten;Pringsewu;Pardasuka;Sukanegeri (Sukanegara);35682
39513;Lampung;Kabupaten;Pringsewu;Pardasuka;Sukorejo;35682
39514;Lampung;Kabupaten;Pringsewu;Pardasuka;Tanjung Rusia;35682
39515;Lampung;Kabupaten;Pringsewu;Pardasuka;Tanjung Rusia Timur;35682
39516;Lampung;Kabupaten;Pringsewu;Pardasuka;Wargo/Warga Mulyo;35682
39517;Lampung;Kabupaten;Pringsewu;Pringsewu;Bumi Arum;35373
39518;Lampung;Kabupaten;Pringsewu;Pringsewu;Bumi Ayu;35373
39519;Lampung;Kabupaten;Pringsewu;Pringsewu;Fajar Agung Barat;35373
39520;Lampung;Kabupaten;Pringsewu;Pringsewu;Fajaresuk (Pajar Esuk);35373
39521;Lampung;Kabupaten;Pringsewu;Pringsewu;Margakaya;35373
39522;Lampung;Kabupaten;Pringsewu;Pringsewu;Pajar/Fajar Agung;35373
39523;Lampung;Kabupaten;Pringsewu;Pringsewu;Podomoro;35373
39524;Lampung;Kabupaten;Pringsewu;Pringsewu;Podosari;35373
39525;Lampung;Kabupaten;Pringsewu;Pringsewu;Pringsewu Barat;35373
39526;Lampung;Kabupaten;Pringsewu;Pringsewu;Pringsewu Selatan;35373
39527;Lampung;Kabupaten;Pringsewu;Pringsewu;Pringsewu Timur;35373
39528;Lampung;Kabupaten;Pringsewu;Pringsewu;Pringsewu Utara;35373
39529;Lampung;Kabupaten;Pringsewu;Pringsewu;Rejosari;35373
39530;Lampung;Kabupaten;Pringsewu;Pringsewu;Sidoharjo;35373
39531;Lampung;Kabupaten;Pringsewu;Pringsewu;Waluyojati;35373
39532;Lampung;Kabupaten;Pringsewu;Sukoharjo;Keputran;35674
39533;Lampung;Kabupaten;Pringsewu;Sukoharjo;Pandan Sari;35674
39534;Lampung;Kabupaten;Pringsewu;Sukoharjo;Pandan Sari Selatan;35674
39535;Lampung;Kabupaten;Pringsewu;Sukoharjo;Pandan Surat;35674
39536;Lampung;Kabupaten;Pringsewu;Sukoharjo;Panggung Rejo;35674
39537;Lampung;Kabupaten;Pringsewu;Sukoharjo;Panggung Rejo Utara;35674
39538;Lampung;Kabupaten;Pringsewu;Sukoharjo;Siliwangi;35674
39539;Lampung;Kabupaten;Pringsewu;Sukoharjo;Sinar Baru;35674
39540;Lampung;Kabupaten;Pringsewu;Sukoharjo;Sinar Baru Timur;35674
39541;Lampung;Kabupaten;Pringsewu;Sukoharjo;Sukoharjo I;35674
39542;Lampung;Kabupaten;Pringsewu;Sukoharjo;Sukoharjo II;35674
39543;Lampung;Kabupaten;Pringsewu;Sukoharjo;Sukoharjo III;35674
39544;Lampung;Kabupaten;Pringsewu;Sukoharjo;Sukoharjo III Barat;35674
39545;Lampung;Kabupaten;Pringsewu;Sukoharjo;Sukoharjo IV;35674
39546;Lampung;Kabupaten;Pringsewu;Sukoharjo;Sukoyoso;35674
39547;Lampung;Kabupaten;Pringsewu;Sukoharjo;Waringin Sari Barat;35674
39548;Lampung;Kabupaten;Tanggamus;Air Naningan;Air Kubang;35679
39549;Lampung;Kabupaten;Tanggamus;Air Naningan;Air Naningan;35679
39550;Lampung;Kabupaten;Tanggamus;Air Naningan;Batu Bedil;35679
39551;Lampung;Kabupaten;Tanggamus;Air Naningan;Datar Lebuay;35679
39552;Lampung;Kabupaten;Tanggamus;Air Naningan;Karang Sari;35679
39553;Lampung;Kabupaten;Tanggamus;Air Naningan;Margomulyo;35679
39554;Lampung;Kabupaten;Tanggamus;Air Naningan;Sidomulyo;35679
39555;Lampung;Kabupaten;Tanggamus;Air Naningan;Sinar Jawa;35679
39556;Lampung;Kabupaten;Tanggamus;Air Naningan;Sinar Sekampung;35679
39557;Lampung;Kabupaten;Tanggamus;Air Naningan;Way Harong;35679
39558;Lampung;Kabupaten;Tanggamus;Bandar Negeri Semuong;Atar Lebar;35686
39559;Lampung;Kabupaten;Tanggamus;Bandar Negeri Semuong;Bandar Sukabumi;35686
39560;Lampung;Kabupaten;Tanggamus;Bandar Negeri Semuong;Banding;35686
39561;Lampung;Kabupaten;Tanggamus;Bandar Negeri Semuong;Gunung Doh;35686
39562;Lampung;Kabupaten;Tanggamus;Bandar Negeri Semuong;Negeri Agung;35686
39563;Lampung;Kabupaten;Tanggamus;Bandar Negeri Semuong;Raja Basa;35686
39564;Lampung;Kabupaten;Tanggamus;Bandar Negeri Semuong;Sanggi;35686
39565;Lampung;Kabupaten;Tanggamus;Bandar Negeri Semuong;Sanggi Unggak;35686
39566;Lampung;Kabupaten;Tanggamus;Bandar Negeri Semuong;Simpang Bayur;35686
39567;Lampung;Kabupaten;Tanggamus;Bandar Negeri Semuong;Sinar Bangun;35686
39568;Lampung;Kabupaten;Tanggamus;Bandar Negeri Semuong;Tulung Sari;35686
39569;Lampung;Kabupaten;Tanggamus;Bulok;Banjar Masin;35682
39570;Lampung;Kabupaten;Tanggamus;Bulok;Gunung Terang;35682
39571;Lampung;Kabupaten;Tanggamus;Bulok;Napal;35682
39572;Lampung;Kabupaten;Tanggamus;Bulok;Pematang Nebak;35682
39573;Lampung;Kabupaten;Tanggamus;Bulok;Sinarpetir;35682
39574;Lampung;Kabupaten;Tanggamus;Bulok;Suka Agung Barat;35682
39575;Lampung;Kabupaten;Tanggamus;Bulok;Suka Agung Timur;35682
39576;Lampung;Kabupaten;Tanggamus;Bulok;Sukanegara (Suka Negeri);35682
39577;Lampung;Kabupaten;Tanggamus;Bulok;Sukarama (Sukamara);35682
39578;Lampung;Kabupaten;Tanggamus;Bulok;Tanjungsari;35682
39579;Lampung;Kabupaten;Tanggamus;Cukuh Balak;Banjar Manis;35683
39580;Lampung;Kabupaten;Tanggamus;Cukuh Balak;Banjar Negeri;35683
39581;Lampung;Kabupaten;Tanggamus;Cukuh Balak;Gedung (Pekon Gedung);35683
39582;Lampung;Kabupaten;Tanggamus;Cukuh Balak;Kacamarga;35683
39583;Lampung;Kabupaten;Tanggamus;Cukuh Balak;Karang Buah;35683
39584;Lampung;Kabupaten;Tanggamus;Cukuh Balak;Kejadianlom;35683
39585;Lampung;Kabupaten;Tanggamus;Cukuh Balak;Kubulangka;35683
39586;Lampung;Kabupaten;Tanggamus;Cukuh Balak;Kutakakhang;35683
39587;Lampung;Kabupaten;Tanggamus;Cukuh Balak;Pampangan;35683
39588;Lampung;Kabupaten;Tanggamus;Cukuh Balak;Pekondoh;35683
