No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
40000;Lampung;Kabupaten;Tulang Bawang;Rawajitu Timur;Bumi Dipasena Utama;34596
40001;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Bangun Jaya;34683
40002;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Dwikora Jaya;34683
40003;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Jaya Murni;34683
40004;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Marga Jaya;34683
40005;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Mekar Jaya;34683
40006;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Mulya Jaya;34683
40007;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Mulya Sari;34683
40008;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Suka Jaya;34683
40009;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Sumber Jaya;34683
40010;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Sumber Rejeki;34683
40011;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Tri Tunggal Jaya;34683
40012;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Tunas Jaya;34683
40013;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Agung;Wono Rejo;34683
40014;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Gunung Agung;34683
40015;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Gunung Terang;34683
40016;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Kagungan Jaya;34683
40017;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Marga Sari;34683
40018;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Margo Dadi;34683
40019;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Margo Mulya;34683
40020;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Mulyo Jadi;34683
40021;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Mulyo Sari;34683
40022;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Panca Marga;34683
40023;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Sakti Jaya;34683
40024;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Setia Agung;34683
40025;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Setia Bumi;34683
40026;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Sido Makmur;34683
40027;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Terang Bumi Agung;34683
40028;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Terang Makmur;34683
40029;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Terang Mulya;34683
40030;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Toto Katon;34683
40031;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Toto Makmur;34683
40032;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Toto Mulyo;34683
40033;Lampung;Kabupaten;Tulang Bawang Barat;Gunung Terang;Toto Wono Dadi;34683
40034;Lampung;Kabupaten;Tulang Bawang Barat;Lambu Kibang;Gilang Tunggal Makarta;34388
40035;Lampung;Kabupaten;Tulang Bawang Barat;Lambu Kibang;Gunung Sari;34388
40036;Lampung;Kabupaten;Tulang Bawang Barat;Lambu Kibang;Kibang Budi Jaya;34388
40037;Lampung;Kabupaten;Tulang Bawang Barat;Lambu Kibang;Kibang Mulya Jaya;34388
40038;Lampung;Kabupaten;Tulang Bawang Barat;Lambu Kibang;Kibang Tri Jaya;34388
40039;Lampung;Kabupaten;Tulang Bawang Barat;Lambu Kibang;Kibang Yekti Jaya;34388
40040;Lampung;Kabupaten;Tulang Bawang Barat;Lambu Kibang;Lesung Bhakti Jaya;34388
40041;Lampung;Kabupaten;Tulang Bawang Barat;Lambu Kibang;Mekar Sari Jaya;34388
40042;Lampung;Kabupaten;Tulang Bawang Barat;Lambu Kibang;Pagar Jaya;34388
40043;Lampung;Kabupaten;Tulang Bawang Barat;Lambu Kibang;Sumber Rejo;34388
40044;Lampung;Kabupaten;Tulang Bawang Barat;Pagar Dewa;Bujung Dewa;34693
40045;Lampung;Kabupaten;Tulang Bawang Barat;Pagar Dewa;Bujung Sari Marga;34693
