No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
40500;Maluku;Kabupaten;Buru Selatan;Leksula;Waemala;97573
40501;Maluku;Kabupaten;Buru Selatan;Leksula;Waemulang;97573
40502;Maluku;Kabupaten;Buru Selatan;Leksula;Waenamaolon;97573
40503;Maluku;Kabupaten;Buru Selatan;Leksula;Waeturen;97573
40504;Maluku;Kabupaten;Buru Selatan;Leksula;Wahaolon;97573
40505;Maluku;Kabupaten;Buru Selatan;Leksula;Walunghelat;97573
40506;Maluku;Kabupaten;Buru Selatan;Leksula;Wewali;97573
40507;Maluku;Kabupaten;Buru Selatan;Namrole;Batu Tulis;97573
40508;Maluku;Kabupaten;Buru Selatan;Namrole;Elfule;97573
40509;Maluku;Kabupaten;Buru Selatan;Namrole;Fatmite;97573
40510;Maluku;Kabupaten;Buru Selatan;Namrole;Kamlanglale;97573
40511;Maluku;Kabupaten;Buru Selatan;Namrole;Labuang;97573
40512;Maluku;Kabupaten;Buru Selatan;Namrole;Lektama;97573
40513;Maluku;Kabupaten;Buru Selatan;Namrole;Leku;97573
40514;Maluku;Kabupaten;Buru Selatan;Namrole;Masnana;97573
40515;Maluku;Kabupaten;Buru Selatan;Namrole;Namrinat;97573
40516;Maluku;Kabupaten;Buru Selatan;Namrole;Oki Baru;97573
40517;Maluku;Kabupaten;Buru Selatan;Namrole;Oki Lama;97573
40518;Maluku;Kabupaten;Buru Selatan;Namrole;Tikbary;97573
40519;Maluku;Kabupaten;Buru Selatan;Namrole;Waefusi;97573
40520;Maluku;Kabupaten;Buru Selatan;Namrole;Waenalut;97573
40521;Maluku;Kabupaten;Buru Selatan;Namrole;Waenono;97573
40522;Maluku;Kabupaten;Buru Selatan;Namrole;Wali;97573
40523;Maluku;Kabupaten;Buru Selatan;Namrole;Wamkana;97573
40524;Maluku;Kabupaten;Buru Selatan;Waesama;Batu Kasa;97574
40525;Maluku;Kabupaten;Buru Selatan;Waesama;Hote;97574
40526;Maluku;Kabupaten;Buru Selatan;Waesama;Lena;97574
40527;Maluku;Kabupaten;Buru Selatan;Waesama;Pohon Batu;97574
40528;Maluku;Kabupaten;Buru Selatan;Waesama;Simi;97574
40529;Maluku;Kabupaten;Buru Selatan;Waesama;Waelikut;97574
40530;Maluku;Kabupaten;Buru Selatan;Waesama;Waemasing;97574
40531;Maluku;Kabupaten;Buru Selatan;Waesama;Waesili;97574
40532;Maluku;Kabupaten;Buru Selatan;Waesama;Waetawa;97574
40533;Maluku;Kabupaten;Buru Selatan;Waesama;Waeteba (Waetaba);97574
40534;Maluku;Kabupaten;Buru Selatan;Waesama;Wamsisi;97574
40535;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Doka Barat;97667
40536;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Doka Timur;97667
40537;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Fatural;97667
40538;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Feruni;97667
40539;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Gaimar;97667
40540;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Jelia;97667
40541;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Jerol;97667
40542;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Kabalukin;97667
40543;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Kalar-Kalar;97667
40544;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Laininir;97667
40545;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Lor-lor;97667
40546;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Marfenfen (Marafenfen);97667
40547;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Ngaibor;97667
40548;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Ngaiguli;97667
40549;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan;Popjetur;97667
40550;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Timur;Batugoyang;97666
40551;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Timur;Beltubur;97666
40552;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Timur;Dosimar;97666
40553;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Timur;Gomarmeti;97666
40554;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Timur;Gomarsungai;97666
40555;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Timur;Jorang;97666
40556;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Timur;Karey;97666
40557;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Timur;Meror;97666
40558;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Timur;Salarem;97666
40559;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Timur;Siya;97666
40560;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Utara;Erersin;97668
40561;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Utara;Hokmar;97668
40562;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Utara;Juring;97668
40563;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Utara;Lutur;97668
40564;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Utara;Maekor;97668
40565;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Utara;Rebi;97668
40566;Maluku;Kabupaten;Kepulauan Aru;Aru Selatan Utara;Tabarfane;97668
40567;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Algadang;97665
40568;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Benjina;97665
40569;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Fatlabata;97665
40570;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Gardakau;97665
40571;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Gulili;97665
40572;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Irloy;97665
40573;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Jirlay;97665
40574;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Kobadangar;97665
40575;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Kobasel Fara;97665
40576;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Kobasel Timur;97665
40577;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Kwarbola;97665
40578;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Lorang;97665
40579;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Maijuring;97665
40580;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Manjau;97665
40581;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Maririmar;97665
40582;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Murai;97665
40583;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Namara;97665
40584;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Papakula;97665
40585;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Selibata-Bata;97665
40586;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Selilau;97665
40587;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Tanah Miring;97665
40588;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah;Wakua;97665
40589;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Selatan;Apara;97665
40590;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Selatan;Bemun;97665
40591;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Selatan;Gomo Gomo;97665
40592;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Selatan;Jambu Air;97665
40593;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Selatan;Longgar;97665
40594;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Selatan;Mesiang;97665
40595;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Selatan;Warabal;97665
40596;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Balatan;97665
40597;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Basada;97665
40598;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Dosinamalau;97665
40599;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Kaiwabar;97665
40600;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Karawai (Karawain);97665
40601;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Kobror;97665
40602;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Koijabi;97665
40603;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Lola;97665
40604;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Mariri;97665
40605;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Ponom;97665
40606;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Wailay;97665
40607;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Warjukur;97665
40608;Maluku;Kabupaten;Kepulauan Aru;Aru Tengah Timur;Warloy;97665
40609;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Foket;97662
40610;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Jerwatu;97662
40611;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Kabufin;97662
40612;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Kaibolafin;97662
40613;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Kolamar;97662
40614;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Marlasi;97662
40615;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Mesidang;97662
40616;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Selmona;97662
40617;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Tasin Waha;97662
40618;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Wahangulangula;97662
40619;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Wahayum / Wahayun;97662
40620;Maluku;Kabupaten;Kepulauan Aru;Aru Utara;Warialau;97662
40621;Maluku;Kabupaten;Kepulauan Aru;Aru Utara Timur Batuley;Batulei (Batuley);97663
40622;Maluku;Kabupaten;Kepulauan Aru;Aru Utara Timur Batuley;Benjuring;97663
40623;Maluku;Kabupaten;Kepulauan Aru;Aru Utara Timur Batuley;Jursiang;97663
40624;Maluku;Kabupaten;Kepulauan Aru;Aru Utara Timur Batuley;Kabalsiang;97663
40625;Maluku;Kabupaten;Kepulauan Aru;Aru Utara Timur Batuley;Kobamar;97663
40626;Maluku;Kabupaten;Kepulauan Aru;Aru Utara Timur Batuley;Kompane;97663
40627;Maluku;Kabupaten;Kepulauan Aru;Aru Utara Timur Batuley;Kumul;97663
40628;Maluku;Kabupaten;Kepulauan Aru;Aru Utara Timur Batuley;Sewer;97663
40629;Maluku;Kabupaten;Kepulauan Aru;Aru Utara Timur Batuley;Waria;97663
40630;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Durjela;97662
40631;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Galai Dubu;97662
40632;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Gorar;97662
40633;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Jabulenga;97662
40634;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Karangguli;97662
40635;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Kobraur;97662
40636;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Lau-Lau;97662
40637;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Nafar (Napar);97662
40638;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Samang;97662
40639;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Siwalima;97662
40640;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Tungu;97662
40641;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Tunguwatu;97662
40642;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Ujir;97662
40643;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Wangel;97662
40644;Maluku;Kabupaten;Kepulauan Aru;Pulau-Pulau Aru;Wokam;97662
40645;Maluku;Kabupaten;Kepulauan Aru;Sir-Sir;Berdefan;97664
40646;Maluku;Kabupaten;Kepulauan Aru;Sir-Sir;Goda Goda;97664
40647;Maluku;Kabupaten;Kepulauan Aru;Sir-Sir;Gomsey;97664
40648;Maluku;Kabupaten;Kepulauan Aru;Sir-Sir;Kolaha;97664
40649;Maluku;Kabupaten;Kepulauan Aru;Sir-Sir;Langhalau;97664
40650;Maluku;Kabupaten;Kepulauan Aru;Sir-Sir;Leiting;97664
40651;Maluku;Kabupaten;Kepulauan Aru;Sir-Sir;Mohongsel;97664
40652;Maluku;Kabupaten;Kepulauan Aru;Sir-Sir;Wafan;97664
40653;Maluku;Kabupaten;Kepulauan Aru;Sir-Sir;Waiful (Waifual);97664
40654;Maluku;Kabupaten;Maluku Barat Daya;Damer;Batumerah;97128
40655;Maluku;Kabupaten;Maluku Barat Daya;Damer;Bebar Timur;97652
40656;Maluku;Kabupaten;Maluku Barat Daya;Damer;Ilih;97652
40657;Maluku;Kabupaten;Maluku Barat Daya;Damer;Kehli;97652
40658;Maluku;Kabupaten;Maluku Barat Daya;Damer;Kuay Melu;97652
40659;Maluku;Kabupaten;Maluku Barat Daya;Damer;Kumur;97652
40660;Maluku;Kabupaten;Maluku Barat Daya;Damer;Wulur;97652
40661;Maluku;Kabupaten;Maluku Barat Daya;Dawelor Dawera;Ilmarang;97652
40662;Maluku;Kabupaten;Maluku Barat Daya;Dawelor Dawera;Letmasa;97652
40663;Maluku;Kabupaten;Maluku Barat Daya;Dawelor Dawera;Nurnyaman;97652
40664;Maluku;Kabupaten;Maluku Barat Daya;Dawelor Dawera;Wairatan (Wiratan/Wiratang);97652
40665;Maluku;Kabupaten;Maluku Barat Daya;Dawelor Dawera;Watuwey (Watuwei);97652
40666;Maluku;Kabupaten;Maluku Barat Daya;Dawelor Dawera;Welora;97652
40667;Maluku;Kabupaten;Maluku Barat Daya;Kepulauan Romang;Hila;97454
40668;Maluku;Kabupaten;Maluku Barat Daya;Kepulauan Romang;Jerusu;97454
40669;Maluku;Kabupaten;Maluku Barat Daya;Kepulauan Romang;Solath;97454
40670;Maluku;Kabupaten;Maluku Barat Daya;Kisar Utara;Lebelau;97454
40671;Maluku;Kabupaten;Maluku Barat Daya;Kisar Utara;Nomaha;97454
40672;Maluku;Kabupaten;Maluku Barat Daya;Kisar Utara;Purpura (Pur-Pura);97454
40673;Maluku;Kabupaten;Maluku Barat Daya;Mdona Hyera/Hiera;Batu Gajah;97652
40674;Maluku;Kabupaten;Maluku Barat Daya;Mdona Hyera/Hiera;Elo;97652
40675;Maluku;Kabupaten;Maluku Barat Daya;Mdona Hyera/Hiera;Lelang;97652
40676;Maluku;Kabupaten;Maluku Barat Daya;Mdona Hyera/Hiera;Luang Barat;97652
40677;Maluku;Kabupaten;Maluku Barat Daya;Mdona Hyera/Hiera;Luang Timur;97652
40678;Maluku;Kabupaten;Maluku Barat Daya;Mdona Hyera/Hiera;Mahaleta;97652
40679;Maluku;Kabupaten;Maluku Barat Daya;Mdona Hyera/Hiera;Pupioliora;97652
40680;Maluku;Kabupaten;Maluku Barat Daya;Mdona Hyera/Hiera;Regoha;97652
40681;Maluku;Kabupaten;Maluku Barat Daya;Mdona Hyera/Hiera;Romdara;97652
40682;Maluku;Kabupaten;Maluku Barat Daya;Mdona Hyera/Hiera;Romkisar;97652
40683;Maluku;Kabupaten;Maluku Barat Daya;Mdona Hyera/Hiera;Rotnama;97652
40684;Maluku;Kabupaten;Maluku Barat Daya;Moa Lakor;Kaiwatu;97454
