No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
41000;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Reyamru;97661
41001;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Sirbante;97661
41002;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Soinrat;97661
41003;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Udar;97661
41004;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Wakol;97661
41005;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Watsin;97661
41006;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Watuar;97661
41007;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Waur;97661
41008;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Waur Tahit;97661
41009;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Werka;97661
41010;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Wermaf;97661
41011;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Wulurat;97661
41012;Maluku;Kabupaten;Maluku Tenggara;Kei Besar;Yamtel;97661
41013;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan;Kilwat;97661
41014;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan;Larat;97661
41015;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan;Nerong;97661
41016;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan;Ohoirenan;97661
41017;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan;Sathen (Sether/Sather);97661
41018;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan;Soindat;97661
41019;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan;Tamangil Nuhuten;97661
41020;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan;Tamangil Nuhuyanat;97661
41021;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan;Tutrean;97661
41022;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan;Weduar;97661
41023;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Feer;97661
41024;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Hoat;97661
41025;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Hoko;97661
41026;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Ngafan;97661
41027;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Ngan;97661
41028;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Ngurko;97661
41029;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Ohoilean;97661
41030;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Rahangiar;97661
41031;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Rerean;97661
41032;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Uat;97661
41033;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Wafol;97661
41034;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Watkidat;97661
41035;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Selatan Barat;Weduar Feer;97661
41036;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Ad Ngurwul;97661
41037;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Ad Ohoiwaf;97661
41038;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Ad Wearaur;97661
41039;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Dangarat;97661
41040;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Faa;97661
41041;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Hangur;97661
41042;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Hoor Islam;97661
41043;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Hoor Kristen;97661
41044;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Laar Perda;97661
41045;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Mun Essoy;97661
41046;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Mun Kahar;97661
41047;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Mun Ngurditwain;97661
41048;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Mun Ohoiir;97661
41049;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Mun Ohoitadium;97661
41050;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Mun Werfan;97661
41051;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Ngurwalek;97661
41052;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Ohoituf;97661
41053;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Uwat;97661
41054;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Uwat Reyaan;97661
41055;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Uwat Wear;97661
41056;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Waer;97661
41057;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Waerat;97661
41058;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Weer Frawaf;97661
41059;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Weer Ohoiker;97661
41060;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Barat;Weer Ohoinam;97661
41061;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Timur;Banda Efruan;97661
41062;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Timur;Banda Eli/Ely;97661
41063;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Timur;Banda Suku Tigapuluh;97661
41064;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Timur;Fanwav;97661
41065;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Timur;Haar Ohoimel;97661
41066;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Timur;Haar Ohoimur GPM;97661
41067;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Timur;Haar Ohoimur RK;97661
41068;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Timur;Haar Ohoiwait;97661
41069;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Timur;Haar Renrahantel;97661
41070;Maluku;Kabupaten;Maluku Tenggara;Kei Besar Utara Timur;Haar Wassar;97661
