No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
42000;Maluku Utara;Kabupaten;Halmahera Tengah;Weda;Sidanga;97853
42001;Maluku Utara;Kabupaten;Halmahera Tengah;Weda;Weda / Wedana;97853
42002;Maluku Utara;Kabupaten;Halmahera Tengah;Weda;Were;97853
42003;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Selatan;Air Salobar;97853
42004;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Selatan;Kluting Jaya;97853
42005;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Selatan;Lembah Asri;97853
42006;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Selatan;Loleo;97853
42007;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Selatan;Sosowomo;97853
42008;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Selatan;Sumber Sari;97853
42009;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Selatan;Tilope (Tiloppe);97853
42010;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Selatan;Wairoro Indah;97853
42011;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Tengah;Kobe;97853
42012;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Tengah;Kulo Jaya;97853
42013;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Tengah;Lelilef Sawai;97853
42014;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Tengah;Lelilef Waibulen;97853
42015;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Tengah;Sawai Itepo;97853
42016;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Tengah;Woejerana;97853
42017;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Tengah;Woekob;97853
42018;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Utara;Dotte;97853
42019;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Utara;Fritu (Sepoh);97853
42020;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Utara;Gemaf;97853
42021;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Utara;Kiya;97853
42022;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Utara;Kotalo;97853
42023;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Utara;Messa;97853
42024;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Utara;Sagea;97853
42025;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Utara;Waleh;97853
42026;Maluku Utara;Kabupaten;Halmahera Tengah;Weda Utara;Yeke;97853
42027;Maluku Utara;Kabupaten;Halmahera Timur;Kota Maba;Maba Sangaji (Gotowasi);97862
