No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
42500;Maluku Utara;Kabupaten;Pulau Taliabu;Tabona;Peleng;97794
42501;Maluku Utara;Kabupaten;Pulau Taliabu;Tabona;Tabona;97794
42502;Maluku Utara;Kabupaten;Pulau Taliabu;Tabona;Wolio;97794
42503;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Bobong;97794
42504;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Holbota;97794
42505;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Kawalo;97794
42506;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Kilong;97794
42507;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Kramat;97794
42508;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Limbo;97794
42509;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Loho Bubba;97794
42510;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Maranti Jaya;97794
42511;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Pancoran;97794
42512;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Ratahaya;97794
42513;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Talo;97794
42514;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Wayo;97794
42515;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat;Woyo;97794
42516;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat Laut;Beringin Jaya;97794
42517;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat Laut;Kasango;97794
42518;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat Laut;Nggele;97794
42519;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat Laut;Oneway;97794
42520;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Barat Laut;Salati;97794
42521;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Selatan;Bahu;97794
42522;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Selatan;Bapenu;97794
42523;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Selatan;Galebo;97794
42524;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Selatan;Kilo;97794
42525;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Selatan;Maluli;97794
42526;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Selatan;Nggaki;97794
42527;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Selatan;Nggoli;97794
42528;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Selatan;Pancado;97794
42529;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Selatan;Sumbong;97794
42530;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur;Parigi;97793
42531;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur;Penu;97793
42532;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur;Samuya;97793
42533;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur;Tubang;97793
42534;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur Selatan;Belo;97793
42535;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur Selatan;Kamaya;97793
42536;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur Selatan;Kawadang;97793
42537;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur Selatan;Losseng;97793
42538;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur Selatan;Mantarara;97793
42539;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur Selatan;Sofan;97793
42540;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur Selatan;Waikadai;97793
42541;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur Selatan;Waikadai Sula;97793
42542;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Timur Selatan;Waikoka;97793
42543;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Air Bulan;97794
42544;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Air Kalimat;97794
42545;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Dege;97794
42546;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Gela;97794
42547;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Hai;97794
42548;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Jorjoga;97794
42549;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;London;97794
42550;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Mananga;97794
42551;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Mbono;97794
42552;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Minton;97794
42553;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Natang Kuning;97794
42554;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Nunca;97794
42555;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Nunu;97794
42556;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Padang;97794
42557;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Sahu;97794
42558;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Tanjung Una;97794
42559;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Tikong;97794
42560;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Ufung;97794
42561;Maluku Utara;Kabupaten;Pulau Taliabu;Taliabu Utara;Wahe;97794
42562;Maluku Utara;Kota;Ternate;Moti (Pulau Moti);Figur;97751
42563;Maluku Utara;Kota;Ternate;Moti (Pulau Moti);Moti Kota;97751
42564;Maluku Utara;Kota;Ternate;Moti (Pulau Moti);Tadenas;97751
42565;Maluku Utara;Kota;Ternate;Moti (Pulau Moti);Tafaga;97751
42566;Maluku Utara;Kota;Ternate;Moti (Pulau Moti);Tafamutu;97751
42567;Maluku Utara;Kota;Ternate;Moti (Pulau Moti);Takofi;97751
42568;Maluku Utara;Kota;Ternate;Pulau Batang Dua;Bido;97751
42569;Maluku Utara;Kota;Ternate;Pulau Batang Dua;Lelewi;97751
42570;Maluku Utara;Kota;Ternate;Pulau Batang Dua;Mayau;97751
42571;Maluku Utara;Kota;Ternate;Pulau Batang Dua;Pantai Sagu;97751
42572;Maluku Utara;Kota;Ternate;Pulau Batang Dua;Perum Bersatu;97751
42573;Maluku Utara;Kota;Ternate;Pulau Batang Dua;Tifure;97751
42574;Maluku Utara;Kota;Ternate;Pulau Hiri;Dorari Isa;97751
42575;Maluku Utara;Kota;Ternate;Pulau Hiri;Faudu;97751
42576;Maluku Utara;Kota;Ternate;Pulau Hiri;Mado;97751
42577;Maluku Utara;Kota;Ternate;Pulau Hiri;Tafraka;97751
42578;Maluku Utara;Kota;Ternate;Pulau Hiri;Togolobe;97751
42579;Maluku Utara;Kota;Ternate;Pulau Hiri;Tomajiko;97751
42580;Maluku Utara;Kota;Ternate;Pulau Ternate;Afe Taduma;97751
42581;Maluku Utara;Kota;Ternate;Pulau Ternate;Bula;97751
42582;Maluku Utara;Kota;Ternate;Pulau Ternate;Dorpedu;97751
42583;Maluku Utara;Kota;Ternate;Pulau Ternate;Foramadiahi;97751
42584;Maluku Utara;Kota;Ternate;Pulau Ternate;Jambula;97751
42585;Maluku Utara;Kota;Ternate;Pulau Ternate;Kastela;97751
42586;Maluku Utara;Kota;Ternate;Pulau Ternate;Kulaba;97751
42587;Maluku Utara;Kota;Ternate;Pulau Ternate;Loto;97751
42588;Maluku Utara;Kota;Ternate;Pulau Ternate;Rua;97751
42589;Maluku Utara;Kota;Ternate;Pulau Ternate;Sulamadaha;97751
42590;Maluku Utara;Kota;Ternate;Pulau Ternate;Takome;97751
42591;Maluku Utara;Kota;Ternate;Pulau Ternate;Tobololo;97751
42592;Maluku Utara;Kota;Ternate;Pulau Ternate;Togafo;97751
42593;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Bastiong Karance;97713
42594;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Bastiong Talangame;97716
42595;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Fitu;97718
42596;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Gambesi;97719
42597;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Jati;97716
42598;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Jati Perumnas;97713
42599;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Kalumata;97718
42600;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Kayu Merah;97751
42601;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Mangga Dua;97751
42602;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Mangga Dua Utara;97713
42603;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Ngade;97713
42604;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Sasa;97719
42605;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Tanah Tinggi;97715
42606;Maluku Utara;Kota;Ternate;Ternate Selatan (Kota);Tanah Tinggi Barat;97713
