No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
43000;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Alue Leuhob;23682
43001;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Alue Perman;23682
43002;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Blang Cot Mameh;23682
43003;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Blang Cot Rubek;23682
43004;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Blang Luah;23682
43005;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Cot Lagan Lm;23682
43006;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Cot Rambong;23682
43007;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Ie Sayang;23682
43008;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Karak;23682
43009;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Kulam Kaju;23682
43010;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Leubok Pasi Ara;23682
43011;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Lhok Malee;23682
43012;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Lueng Baro;23682
43013;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Mon Pasong;23682
43014;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Napai;23682
43015;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Pasi Jeut;23682
43016;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Pasi Malee;23682
43017;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Pasi Mali;23682
43018;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Pasi Panyang;23682
43019;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Peuluekung;23682
43020;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Simpang Teumarom;23682
43021;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Ulee Pasi Ara;23682
43022;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Barat;Ulee Pulo;23682
43023;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Alue Bilie;23682
43024;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Alue Empeuk;23682
43025;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Alue Kuyuen;23682
43026;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Alue Meuganda;23682
43027;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Alue Seuralen;23682
43028;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Blang Dalam;23682
43029;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Blang Luah Kb;23682
43030;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Blang Makmur;23682
43031;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Buket Meugajah (Bukit Megajah);23682
43032;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Cot Punti;23682
43033;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Gampong Baro Kb;23682
43034;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Gampong Baro Wt;23682
43035;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Gunong Panyang;23682
43036;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Kubu Capang (Keubeu Capang);23682
43037;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Leubok/Lubok Panyang;23682
43038;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Pasi Ara Wt;23682
43039;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Pasi Janeng;23682
43040;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Paya Baro;23682
43041;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Paya Meugeundrang;23682
43042;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Rambong;23682
43043;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Barat;Woyla Timur;Rambong Pinto;23682
