No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
43500;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Lambro Deyah;23372
43501;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Lamceu;23372
43502;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Lampoh Keudee;23372
43503;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Lampoh Tarom;23372
43504;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Lampuuk;23372
43505;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Lamroh;23372
43506;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Lamteubee Geupula;23372
43507;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Lamteubee Mon Ara;23372
43508;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Leupung Mesjid;23372
43509;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Leupung Ulee Alue;23372
43510;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Meunasah Bak Trieng;23372
43511;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Puuk;23372
43512;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Rabeu;23372
43513;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Seupeu;23372
43514;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Tumpok Lampoh;23372
43515;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Kuta Baro;Ujong Blang;23372
43516;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Lam Kubu;23952
43517;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Lambaro Tunong;23952
43518;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Lamtamot;23952
43519;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Lon Asan;23952
43520;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Lon Baroh;23952
43521;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Panca;23952
43522;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Panca Kubu;23952
43523;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Paya Keureuleh;23952
43524;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Saree Aceh;23952
43525;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Suka Mulya (Sukamulia);23952
43526;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Sukadamai;23952
43527;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lembah Seulawah;Teuladan;23952
43528;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Leupung;Deah Mamplam;23353
43529;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Leupung;Lamsenia (Lamseunia);23353
43530;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Leupung;Layeun;23353
43531;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Leupung;Meunasah Bak Ue;23353
43532;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Leupung;Meunasah Mesjid (Mesjid Leupung);23353
43533;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Leupung;Pulot;23353
43534;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Ateuk Paya;23353
43535;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Kueh;23353
43536;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Lam Ateuk;23353
43537;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Lam Cok;23353
43538;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Lam Gaboh;23353
43539;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Lam Kruet;23353
43540;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Lambaro Kueh;23353
43541;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Lambaro Seubun;23353
43542;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Lampaya;23354
43543;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Meunasah Balee Lamlhom;23353
43544;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Meunasah Baro Lam Puuk;23353
43545;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Meunasah Baro Lamlhom;23353
43546;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Meunasah Beutong;23353
43547;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Meunasah Blang;23353
43548;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Meunasah Cut;23353
43549;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Meunasah Karieng;23353
43550;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Meunasah Lam Girek;23353
43551;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Meunasah Manyang;23353
43552;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Meunasah Mesjid Lamlhom;23353
43553;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Meunasah Mon Cut;23353
43554;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Besar;Lhoknga (Lho'nga);Mnsh Mesjid Lam Puuk;23353
