No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
44000;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Tengah;Simpang Tiga;23772
44001;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Tengah;Siurai-Urai;23772
44002;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Timur;Alai;23772
44003;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Timur;Durian Kawan;23772
44004;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Timur;Lawe Buluh Didi;23772
44005;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Timur;Lawe Cimanok;23772
44006;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Timur;Lawe Sawah;23772
44007;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Timur;Paya Dapur;23772
44008;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Timur;Paya Laba;23772
44009;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Timur;Pucuk Lembang;23772
44010;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Timur;Sapik;23772
44011;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Alur Mas;23771
44012;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Fajar Harapan;23771
44013;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Gunong Pulo;23771
44014;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Gunung Pudung;23771
44015;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Jambo Manyang;23771
44016;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Kampung Paya;23771
44017;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Kampung Ruak;23771
44018;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Kampung Tinggi;23771
44019;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Kedai Padang;23771
44020;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Kotafajar;23771
44021;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Krueng Batee;23771
44022;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Krueng Batu;23771
44023;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Krueng Kluet;23771
44024;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Limau Purut (Kota Fajar);23771
44025;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Pasi Kuala Asahan;23771
44026;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Pasi Kuala Bau;23771
44027;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Pulo Ie I;23771
44028;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Pulo Kambing;23771
44029;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Simpang Empat;23771
44030;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Simpang Lhee;23771
44031;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kluet Utara;Suaq Geuringgeng (Geringgeng);23771
44032;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Selatan;Kota Bahagia;Alur Dua Mas;23773
