No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
44500;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Sekerak;Pantai Tinjau;24476
44501;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Sekerak;Pematang Durian;24476
44502;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Sekerak;Sekerak Kanan;24476
44503;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Sekerak;Sekerak Kiri;24476
44504;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Sekerak;Sekumur;24476
44505;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Sekerak;Suka Makmur;24476
44506;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Sekerak;Sulum;24476
44507;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Sekerak;Tanjung Gelumpang;24476
44508;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Seruway;Air Masin;24473
44509;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Seruway;Alur Alim;24473
44510;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Seruway;Binjai;24473
44511;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Seruway;Gedung Biara;24473
44512;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Seruway;Gelung;24473
44513;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Seruway;Kampung Baru;24473
44514;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Seruway;Kw Pusung Kapal;24473
44515;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Seruway;Lubuk Damar;24473
44516;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Seruway;Matang Sentang;24473
44517;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tamiang;Seruway;Muka Sei Kuruk;24473
