No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
45000;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Lawe Pinis;24653
45001;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Lawe Stul/Setul;24653
45002;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Makmur Jaya;24653
45003;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Mamas;24653
45004;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Mamas Baru;24653
45005;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Pulo Gadung;24653
45006;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Pulo Piku;24653
45007;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Rambung Jaya;24653
45008;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Rambung Teldak;24653
45009;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Serimuda;24653
45010;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Simpang Empat Tanjung;24653
45011;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Tanjung Aman;24653
45012;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Tanjung Lama;24653
45013;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Tanjung Leuser;24653
45014;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Tanjung Mbakhu;24653
45015;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Tanjung Muda;24653
45016;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Terutung Kute;24653
45017;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Darul Hasanah;Ujung Baru;24653
45018;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Beriring Naru;24651
45019;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Bunga Melur Gabungan;24651
45020;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Gusung Batu;24652
45021;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Kane Lot;24651
45022;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Kati Jeroh;24651
45023;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Kaya Pangur;24652
45024;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Lawe Hakhum;24651
45025;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Lawe Pangkat;24651
45026;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Lembah Alas;24652
45027;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Muhajirin;24651
45028;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Penampaan;24651
45029;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Pesuluk Pesimbe;24651
45030;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Ranto Dior/Diur;24652
45031;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Tenggara;Deleng Pokhisen;Salang Baru;24652
