No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
45500;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Gampong Jalan;24456
45501;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Gampong Keude Bagok Dua;24456
45502;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Gampong Lhee;24456
45503;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Gampong Mesjid;24456
45504;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Keude Bagok Sa;24456
45505;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Kuala Bagok;24456
45506;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Matang Kunyet;24456
45507;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Matang Neuheun;24456
45508;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Matang Panyang;24456
45509;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Matang Seuleumak;24456
45510;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Medang Ara;24456
45511;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Meunasah Hagu;24456
45512;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Meunasah Teungoh;24456
45513;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Paya Enjee;24456
45514;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Peulawi;24456
45515;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Pulo U;24456
45516;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Seuleumak Muda;24456
45517;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Seumatang Aron;24456
45518;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Seuneubok Dalam;24456
45519;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Seuneubok Rambong;24456
45520;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Nurussalam;Teupin Pukat;24456
45521;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Alue Ie Mirah;24458
45522;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Blang Seunong;24458
45523;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Buket Bata;24458
45524;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Buket Kareng;24458
45525;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Grong Grong;24458
45526;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Keude Baro;24458
45527;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Matang Kruet;24458
45528;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Matang Perlak (Peureulak);24458
45529;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Matang Pudeng;24458
45530;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Meunasah Leubok;24458
45531;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Meunasah Teungoh;24458
45532;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Meunasah Tunong;24458
45533;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Pante Labu;24458
45534;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Pante Panah;24458
45535;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Pante Rambong;24458
45536;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Paya Demam/Deumam Dua;24458
45537;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Paya Demam/Deumam Lhee;24458
45538;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Paya Demam/Deumam Satu;24458
45539;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Putoh Dua;24458
45540;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Putoh Satu;24458
45541;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Sah Raja;24458
45542;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Seuneubok Saboh;24458
45543;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Seuneubok Tuha;24458
45544;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Sijudo;24458
45545;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Pante Bidari;Suka Damai;24458
45546;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Alue Batee;24454
45547;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Alue Ie Itam;24454
45548;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Asan Rampak;24454
45549;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Blang Buket;24454
45550;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Blang Kuta;24454
45551;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Buket Kuta;24454
45552;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Gampong/Kampung Keude;24454
45553;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Gampong/Kampung Kuala;24454
45554;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Kuta Baro;24454
45555;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Matang Rayeuk;24454
45556;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Meunasah Krueng;24454
45557;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Paya Bili Dua;24454
45558;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Paya Bili I;24454
45559;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Paya Dua;24454
45560;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Sama Dua;24454
45561;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Seuneubok Peunteut;24454
45562;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peudawa;Seuneubok Teungoh;24454
45563;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peunaron;Arul Pinang;24461
45564;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Timur;Peunaron;Bukit Tiga;24461
