No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
46000;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Blang;24382
46001;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Buloh;24382
46002;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Cot Usibak;24382
46003;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Dayah Lt/Lb;24382
46004;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Geulinggang;24382
46005;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Jok;24382
46006;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Leubok Ab;24382
46007;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Meurbo (Meureubo);24382
46008;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Meuria (Meuriya);24382
46009;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Nga Lhoksukon Barat;24382
46010;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Rayeuk Lb;24382
46011;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Teungoh Lb;24382
46012;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Teungoh Lt;24382
46013;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Tuha;24382
46014;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meunasah Tutong;24382
46015;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Meuye/Munye Matang Ubi;24382
46016;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Nga Lhoksukon Tengah;24382
46017;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Nga Matang Ubi;24382
46018;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Pante;24382
46019;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Lhoksukon;Pulo Dulang (Meunasah Pulo Dolang);24382
