No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
46500;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Meunasah Panton Labu;24394
46501;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Pucok Alue;24394
46502;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Rantau Panyang;24394
46503;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Rawang Itik;24394
46504;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Samakurok;24394
46505;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Seuneubok Dhou;24394
46506;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Seuneubok Pidie;24394
46507;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Tanjong Ceungai;24394
46508;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Tanjong Dalam Utara;24394
46509;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Tanjong Menuang;24394
46510;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Tanjong Meunye;24394
46511;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Tanjung Ara;24394
46512;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Tanjung Punti;24394
46513;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Teupin Bayu;24394
46514;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Teupin Gajah;24394
46515;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Jambo Aye;Ulee Gle;24394
46516;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Alue Gampong;24385
46517;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Alue Keujruen;24385
46518;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Alue Pangkat;24385
46519;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Alue Sijuek;24385
46520;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Bayi;24385
46521;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Blang;24385
46522;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Blang Bidok;24385
46523;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Blang Jruen;24385
46524;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Blang Pie;24385
46525;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Bukit Makarti;24385
46526;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Ceubrek (Cibrek);24385
46527;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Cot Barat;24385
46528;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Cot Dam/Dah;24385
46529;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Gampong Alue;24385
46530;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Gampong Ampeh;24386
46531;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Gampong Blang Trieng;24385
46532;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Gampong Deng;24385
46533;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Gampong Paya;24385
46534;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Gampong Serba Jaman;24385
46535;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Gampong Teungoh B;24385
46536;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Gampong Teupin Me;24385
46537;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Hagu;24385
46538;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Hueng;24385
46539;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Jeumpa B;24385
46540;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Keude Blang Jruen;24385
46541;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Keutapang;24385
46542;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Leu Hong;24385
46543;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Leupon Siren;24385
46544;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Manyang SB;24385
46545;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Manyang Tunong;24385
46546;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Matang Baloy;24385
46547;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Matang Ben;24385
46548;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Matang Ceubrek (Cibrek);24385
46549;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Matang Mane;24385
46550;Nanggroe Aceh Darussalam (NAD);Kabupaten;Aceh Utara;Tanah Luas;Pante B;24385
