No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
47000;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Abeuk Usong;24251
47001;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Alue Limeng;24251
47002;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Batee Timoh;24251
47003;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Beurawang;24251
47004;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Blang Bladeh;24251
47005;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Blang Cot Baroh;24251
47006;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Blang Cot Tunong;24251
47007;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Blang Dalam;24251
47008;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Blang Gandai;24251
47009;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Blang Me;24251
47010;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Blang Rheum;24251
47011;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Blang Seunong;24251
47012;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Blang Seupeng;24251
47013;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Cot Bada;24251
47014;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Cot Gadong;24251
47015;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Cot Geurundong;24251
47016;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Cot Iboeh Timu;24251
47017;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Cot Iboh;24251
47018;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Cot Keutapang;24251
47019;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Cot Leusong;24251
47020;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Cot Meugoe;24251
47021;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Cot Tarom Baroh;24251
47022;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Cot Tarom Tunong;24251
47023;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Cot Ulim;24251
47024;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Geudong Tampu;24251
47025;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Geulumpang Payong;24251
47026;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Kuala Jeumpa;24251
47027;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Kuta Meuligoe;24251
47028;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Lhaksamana;24251
47029;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Lipah Cut;24251
47030;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Lipah Rayeuk;24251
47031;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Mon Jambee;24251
47032;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Mon Mane;24251
47033;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Paloh Panyang;24251
47034;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Paloh Seulimeng;24251
47035;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Pulo Lawang;24251
47036;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Salah Sirong Jaya;24251
47037;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Seuleumbah;24251
47038;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Seuneubok Lhong;24251
47039;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Teupok Baroh;24251
47040;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Jeumpa;Teupok Tunong;24251
