No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
47500;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Ie Rhob Timur;24251
47501;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Jurong Binjee;24251
47502;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Keude Tambue;24251
47503;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Krueng Meuseugob;24251
47504;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Lancang;24251
47505;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Lhok Mane;24251
47506;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Lhok Tanoh;24251
47507;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Meunasah Asan;24251
47508;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Meunasah Barat;24251
47509;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Meunasah Dayah;24251
47510;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Meunasah Mamplam;24251
47511;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Meunasah Mesjid;24251
47512;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Paku;24251
47513;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Peuneulet Baroh;24251
47514;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Peuneulet Tunong;24251
47515;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Pulo Dapong;24251
47516;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Pulo Drien;24251
47517;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Rheum Barat;24251
47518;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Rheum Barouh/Baroh;24251
47519;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Rheum Timur;24251
47520;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Tambue Barat;24251
47521;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Simpang Mamplam;Ulee Kareung;24251
47522;Nanggroe Aceh Darussalam (NAD);Kabupaten;Gayo Lues;Blang Jerango;Akul;24655
47523;Nanggroe Aceh Darussalam (NAD);Kabupaten;Gayo Lues;Blang Jerango;Blang Jerango;24655
47524;Nanggroe Aceh Darussalam (NAD);Kabupaten;Gayo Lues;Blang Jerango;Gegarang;24655
47525;Nanggroe Aceh Darussalam (NAD);Kabupaten;Gayo Lues;Blang Jerango;Ketukah;24655
47526;Nanggroe Aceh Darussalam (NAD);Kabupaten;Gayo Lues;Blang Jerango;Penosan;24655
47527;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Asan Bideun;24261
47528;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Bayu;24261
47529;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Blang Asan;24261
47530;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Blang Cut;24261
47531;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Blang Dalam;24261
47532;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Blang Geulanggang;24261
47533;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Blang Panjoe;24261
47534;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Blang Rambong;24261
47535;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Bada Barat;24261
47536;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Bada Baroh;24261
47537;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Bada Tunong;24261
47538;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Buket;24261
47539;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Girek;24261
47540;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Ijue (Ieju);24261
47541;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Keumudee;24261
47542;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Keuranji;24261
47543;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Nga;24261
47544;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Panjoe;24261
47545;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Puuk;24261
47546;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Rabo Baroh;24261
47547;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Cot Rabo Tunong;24261
47548;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Gampong Baroh;24261
47549;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Gampong Putoh;24261
47550;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Gampong Raya Dagang;24261
47551;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Gampong Raya Tambo;24261
47552;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Kapa;24261
47553;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Karieng;24261
47554;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Keude Matang Glumpang II;24261
47555;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Keude Tanjong;24261
47556;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Krueng Baro Babah Krueng;24261
47557;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Krueng Baro Mesjid;24261
47558;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Krueng Dheue;24261
47559;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Mata Mamplam;24261
47560;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Matang Cot Paseh;24261
47561;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Matang Glumpang II Meunasah Dayah;24261
47562;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Matang Glumpang II Meunasah Timur;24261
47563;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Matang Mesjid;24261
47564;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Matang Sagoe;24261
47565;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Meunasah Meucap;24261
47566;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Meunasah Nibong;24261
47567;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Neuheuen;24261
47568;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Nicah;24261
47569;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Paloh;24261
47570;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Pante Ara;24261
47571;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Pante Cut;24261
47572;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Pante Gajah;24261
47573;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Pante Lhong;24261
47574;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Pante Pisang;24261
47575;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Pante Piyeu;24261
47576;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Panton Geulima;24261
47577;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Paya Aboe;24261
47578;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Paya Cut;24261
47579;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Paya Lipah;24261
47580;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Paya Meuneng;24261
47581;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Paya Reuhat;24261
47582;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Pulo Naleung;24261
47583;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Pulo Pisang;24261
47584;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Pulo Ue Baroe;24261
47585;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Sagoe;24261
47586;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Seuneubok Aceh;24261
47587;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Seuneubok Rawa;24261
47588;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Tanjong Mesjid;24261
47589;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Tanjong Nie;24261
47590;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Tanjong Paya;24261
47591;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Tanoh Mirah;24261
47592;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan;Uteun Bunta;24261
47593;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan Selatan;Blang Cut;24261
47594;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan Selatan;Blang Mane;24261
47595;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan Selatan;Blang Pala;24261
47596;Nanggroe Aceh Darussalam (NAD);Kabupaten;Bireuen;Peusangan Selatan;Ceubrek;24261
