No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
48000;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tadu Raya;Sarah Mantok;23661
48001;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tadu Raya;Simpang Jaya;23661
48002;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tadu Raya;Sumber Daya;23661
48003;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tripa Makmur;Babah Lueng;23662
48004;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tripa Makmur;Drien Tujoh;23662
48005;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tripa Makmur;Kabu;23662
48006;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tripa Makmur;Kuala Teripa/Tripa;23662
48007;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tripa Makmur;Lueng Keube Jagat/Jagad;23662
48008;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tripa Makmur;Mon Dua;23662
48009;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tripa Makmur;Neubok Yee PK;23662
48010;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tripa Makmur;Neubok Yee PP;23662
48011;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tripa Makmur;Panton Pange;23662
48012;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tripa Makmur;Pasie Keube Dom;23662
48013;Nanggroe Aceh Darussalam (NAD);Kabupaten;Nagan Raya;Tripa Makmur;Ujong Krueng;23662
48014;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Alue Lada;24152
48015;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Aron;24152
48016;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Awee;24152
48017;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Bintang Hu;24152
48018;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Calong Cut;24152
48019;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Crueng;24152
48020;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Dayah;24152
48021;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Dayah Baroh;24152
48022;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Dayah Tua;24152
48023;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Geulumpang Lhee;24152
48024;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Geunteng Barat;24152
48025;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Geunteng Timur;24152
48026;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Kareung;24152
48027;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Kulam;24152
48028;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Kule;24152
48029;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Mesjid Calong;24152
48030;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Meucat;24152
48031;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Meunasah Mee;24152
48032;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Neuheun;24152
48033;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Pulo Bungong;24152
48034;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Pulo Pande;24152
48035;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Pulo Tukok;24152
48036;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Rungkom;24152
48037;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Seulatan;24152
48038;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Teupin Jeue;24152
48039;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Teupin Raya;24152
48040;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Batee;Tuha;24152
48041;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Buloh;24162
48042;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Bungo;24162
48043;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Ceurih Alue;24162
48044;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Ceurih Blang Mee;24162
48045;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Ceurih Cot;24162
48046;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Ceurih Keupula;24162
48047;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Daboh;24162
48048;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Dayah Baro;24162
48049;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Dayah Beuah;24162
48050;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Dayah Reubee;24162
48051;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Gampong Cut (Meunasah Cut);24162
48052;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Geudong;24162
48053;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Delima;Glee;24162
