No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
48500;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Meunasah Kabat;24172
48501;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Meunasah Krumbok;24172
48502;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Meunasah Lueng;24172
48503;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Meunasah Raya;24172
48504;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Meunasah Sukon;24172
48505;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Peunayong;24172
48506;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Puuk;24172
48507;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Rambayan Kupula;24172
48508;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Rambayan Lueng;24172
48509;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Reuba Waido;24172
48510;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Sawiet;24172
48511;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Sialet-Alet;24172
48512;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Sumboe Buga;24172
48513;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Tanjong Hagu;24172
48514;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Teungoh Baroh;24172
48515;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Ulee Cot Seupeng;24172
48516;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Peukan Baro;Ulee Tutue;24172
48517;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Abo Teubeng;24151
48518;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Alue;24151
48519;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Baroh;24151
48520;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Batee;24151
48521;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Bayu Teubeng;24151
48522;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Bie;24151
48523;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Blangkula;24151
48524;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Cot Geulumpang;24151
48525;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Cot Geunduek;24151
48526;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Cot Rheng;24151
48527;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Cot Teungoh;24151
48528;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Dalueng;24151
48529;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Dayah Jeuleupe;24151
48530;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Dayah Tanoh;24151
48531;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Dayah Teubeng;24151
48532;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Dayah Teungoh;24151
48533;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Dayah Tutong;24151
48534;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Gajah Ayee;24151
48535;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Gampong;24151
48536;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Gampong Barat;24151
48537;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Gampong Pukat;24151
48538;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Jawa Teubeng;24151
48539;Nanggroe Aceh Darussalam (NAD);Kabupaten;Pidie;Pidie;Jeumpa;24151
