No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
49000;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Salang;Panton Lawe;23893
49001;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Salang;Suak Manang;23893
49002;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Salang;Tameng;23893
49003;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Salang;Tamon;23893
49004;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Salang;Ujung Salang;23893
49005;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Amabaan;23892
49006;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Babul Makmur;23892
49007;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Batu Ragi;23892
49008;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Lamamek;23892
49009;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Layabaung;23892
49010;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Lhok Bikhao;23892
49011;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Lhok Makmur;23892
49012;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Malasin;23892
49013;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Miteum;23892
49014;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Sanggiran;23892
49015;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Sembilan;23892
49016;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Sigulai;23892
49017;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Sinar Bahagia;23892
49018;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Barat;Ujung Harapan;23892
49019;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Tengah;Dihit;23894
49020;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Tengah;Kampung Aie;23894
49021;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Tengah;Kuta Batu;23894
49022;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Tengah;Lakubang;23894
49023;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Tengah;Lamayang;23894
49024;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Tengah;Lambaya;23894
49025;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Tengah;Latitik;23894
49026;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Tengah;Lauke;23894
49027;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Tengah;Laure-E;23894
49028;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Tengah;Luan Sorip;23894
49029;Nanggroe Aceh Darussalam (NAD);Kabupaten;Simeulue;Simeuleu Tengah;Putra Jaya;23894
