No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
49500;Nusa Tenggara Barat (NTB);Kabupaten;Dompu;Woja;Mada Prama;84251
49501;Nusa Tenggara Barat (NTB);Kabupaten;Dompu;Woja;Matua;84251
49502;Nusa Tenggara Barat (NTB);Kabupaten;Dompu;Woja;Monta Baru;84219
49503;Nusa Tenggara Barat (NTB);Kabupaten;Dompu;Woja;Mumbu;84251
49504;Nusa Tenggara Barat (NTB);Kabupaten;Dompu;Woja;Nowa;84251
49505;Nusa Tenggara Barat (NTB);Kabupaten;Dompu;Woja;Raba Baka;84251
49506;Nusa Tenggara Barat (NTB);Kabupaten;Dompu;Woja;Riwo;84251
49507;Nusa Tenggara Barat (NTB);Kabupaten;Dompu;Woja;Saneo;84251
49508;Nusa Tenggara Barat (NTB);Kabupaten;Dompu;Woja;Sera Kapi;84251
49509;Nusa Tenggara Barat (NTB);Kabupaten;Dompu;Woja;Simpasai;84216
49510;Nusa Tenggara Barat (NTB);Kabupaten;Dompu;Woja;Wawonduru;84251
49511;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Batu Layar;Batu Layar;83355
49512;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Batu Layar;Batu Layar Barat;83355
49513;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Batu Layar;Bengkaung;83355
49514;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Batu Layar;Lembah Sari;83355
49515;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Batu Layar;Meninting;83355
49516;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Batu Layar;Pusuk Lestari;83355
49517;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Batu Layar;Sandik;83355
49518;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Batu Layar;Senggigi;83355
49519;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Batu Layar;Senteluk;83355
49520;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Babussalam;83363
49521;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Banyu Urip;83363
49522;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Beleke;83363
49523;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Dasan Geres;83363
49524;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Dasan Tapen;83363
49525;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Gapuk;83363
49526;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Gerung Selatan;83363
49527;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Gerung Utara;83363
49528;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Giri Tembesi;83363
49529;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Kebunayu;83363
49530;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Mesanggok;83363
49531;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Sukamakmur;83363
49532;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Taman Ayu;83363
49533;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gerung;Tempos;83363
49534;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gunungsari;Bukittinggi;83351
49535;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gunungsari;Dopang;83351
49536;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gunungsari;Gelangsar;83351
49537;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gunungsari;Guntur Macan;83351
49538;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gunungsari;Gunung Sari;83351
49539;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gunungsari;Jatisela;83351
49540;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Barat;Gunungsari;Jeringgo;83351
