No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
50000;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Lando;83663
50001;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Leming;83663
50002;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Pandan Duri;83663
50003;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Rarang;83663
50004;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Rarang Batas;83663
50005;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Rarang Selatan;83663
50006;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Rarang Tengah;83663
50007;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Santong;83663
50008;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Selagik;83663
50009;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Sukadana;83663
50010;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Suradadi;83663
50011;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Terara;Terara;83663
50012;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Bandok;83653
50013;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Bebidas;83653
50014;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Beriri Jarak;83653
50015;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Jineng;83653
50016;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Karang Baru;83653
50017;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Karang Baru Timur;83653
50018;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Mamben Baru;83653
50019;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Mamben Daya;83653
50020;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Mamben Lauk/Lauq;83653
50021;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Otak Rarangan;83653
50022;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Tembeng Putik;83653
50023;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Wanasaba;83653
50024;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Wanasaba Daya;83653
50025;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Timur;Wanasaba;Wanasaba Lauk;83653
50026;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Bayan;Akar Akar;83354
50027;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Bayan;Anyar;83354
50028;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Bayan;Bayan;83354
50029;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Bayan;Karang Bajo;83354
50030;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Bayan;Loloan;83354
50031;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Bayan;Mumbul Sari;83354
50032;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Bayan;Sambik Elen;83354
50033;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Bayan;Senaru;83354
50034;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Bayan;Sukadana;83354
50035;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Gangga;Bentek;83353
50036;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Gangga;Genggelang;83353
50037;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Gangga;Gondang;83353
50038;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Gangga;Rempek;83353
50039;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Gangga;Sambik Bangkol;83353
50040;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Kayangan;Dangiang;83353
50041;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Kayangan;Gumantar;83353
50042;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Kayangan;Kayangan;83353
50043;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Kayangan;Pendua;83353
50044;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Kayangan;Salut;83353
50045;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Kayangan;Santong;83353
50046;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Kayangan;Selengen;83353
50047;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Kayangan;Sesait;83353
50048;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Pemenang;Gili Indah;83352
50049;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Pemenang;Malaka;83352
50050;Nusa Tenggara Barat (NTB);Kabupaten;Lombok Utara;Pemenang;Pemenang Barat;83352
