No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
50500;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Fanating;85819
50501;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Kalabahi Barat;85814
50502;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Kalabahi Kota;85813
50503;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Kalabahi Tengah;85812
50504;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Kalabahi Timur;85811
50505;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Lendola;85819
50506;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Motongbang;85819
50507;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Mutiara;85819
50508;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Nusa Kenari;85819
50509;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Teluk Kenari;85819
50510;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Welai Barat;85816
50511;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Welai Timur;85817
50512;Nusa Tenggara Timur (NTT);Kabupaten;Alor;Teluk Mutiara;Wetabua;85819
50513;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Barat;Bardao (Berdao);85715
50514;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Barat;Beirafu;85718
50515;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Barat;Tulamalae;85714
50516;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Barat;Umanen;85713
50517;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Kota;Atambua kota;85711
50518;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Kota;Fatubenao;85718
50519;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Kota;Manumutin;85712
50520;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Kota;Tenukiik;85711
50521;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Selatan;Fatukbot;85717
50522;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Selatan;Lidak;85716
50523;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Selatan;Manuaman;85718
50524;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Atambua Selatan;Rinbesi;85718
50525;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Kakuluk Mesak;Dua Laus;85752
50526;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Kakuluk Mesak;Fatuketi;85752
50527;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Kakuluk Mesak;Jenilu;85752
50528;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Kakuluk Mesak;Kabuna;85752
50529;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Kakuluk Mesak;Kenebibi;85752
50530;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Kakuluk Mesak;Leosama;85752
50531;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen;Dirun;85772
50532;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen;Duarato;85772
50533;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen;Fulur;85772
50534;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen;Kewar;85772
50535;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen;Lamaksenulu;85772
50536;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen;Leowalu;85772
50537;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen;Mahuitas;85772
50538;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen;Makir;85772
50539;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen;Maudemu;85772
50540;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen Selatan;Debululik;85772
50541;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen Selatan;Ekin;85772
50542;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen Selatan;Henes;85772
50543;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen Selatan;Lakmaras;85772
50544;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen Selatan;Loonuna;85772
50545;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen Selatan;Lutarato;85772
50546;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen Selatan;Nualain;85772
50547;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lamaknen Selatan;Sisi Fatuberal;85772
50548;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lasiolat;Baudaok;85771
50549;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lasiolat;Dualasi;85771
50550;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lasiolat;Fatulotu;85771
50551;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lasiolat;Lakanmau;85771
50552;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lasiolat;Lasiolat;85771
50553;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lasiolat;Maneikun;85771
50554;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Lasiolat;Raiulun;85771
50555;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Nanaet Duabesi;Dubesi;85752
50556;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Nanaet Duabesi;Fohoeka;85752
50557;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Nanaet Duabesi;Nanaenoe;85752
50558;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Nanaet Duabesi;Nanaet;85752
50559;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raihat;Aitoun;85773
50560;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raihat;Asumanu;85773
50561;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raihat;Maumutin;85773
50562;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raihat;Raifatus;85773
50563;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raihat;Tohe;85773
50564;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raihat;Toheleten;85773
50565;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raimanuk;Duakoran;85761
50566;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raimanuk;Faturika;85761
50567;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raimanuk;Leuntolu;85761
50568;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raimanuk;Mandeu;85761
50569;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raimanuk;Rafae;85761
50570;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raimanuk;Raimanus;85761
50571;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raimanuk;Renrua;85761
50572;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raimanuk;Tasain;85761
50573;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Raimanuk;Teun;85761
50574;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Barat;Bakustulama;85752
50575;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Barat;Derok Faturene;85752
50576;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Barat;Lawalutolus;85752
50577;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Barat;Lookeu;85752
50578;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Barat;Naekasa;85752
50579;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Barat;Naitimu;85752
50580;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Barat;Rinbesihat;85752
50581;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Barat;Tukuneno;85752
50582;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Timur;Bauho;85771
50583;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Timur;Dafala;85771
50584;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Timur;Fatuba'a;85771
50585;Nusa Tenggara Timur (NTT);Kabupaten;Belu;Tasifeto Timur;Halimodok;85771
