No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
51002;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Larantuka;Puken Tobi Wangi Bao;86219
51003;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Larantuka;Sarotari;86219
51004;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Larantuka;Sarotari Tengah;86219
51005;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Larantuka;Sarotari Timur;86219
51006;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Larantuka;Waibalun;86212
51007;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Larantuka;Waihali;86219
51008;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Larantuka;Weri;86219
51009;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Lewolema;Balukhering;86252
51010;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Lewolema;Bantala;86252
51011;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Lewolema;Ile Padung;86252
51012;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Lewolema;Lewobelen;86252
51013;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Lewolema;Painapang;86252
51014;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Lewolema;Riangkotek;86252
51015;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Lewolema;Sinar Hading;86252
51016;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Balaweling I;86272
51017;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Balaweling II;86272
51018;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Dani Wato;86272
51019;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Kalelu;86272
51020;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Karawatung;86272
51021;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Lamaole;86272
51022;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Lamawalang (Lamawohong);86272
51023;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Lewonama;86272
51024;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Lewotanah Ole;86272
51025;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Nusadani;86272
51026;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Ongalereng;86272
51027;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Pamakayo;86272
51028;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Ritaebang;86272
51029;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Tanah Lein;86272
51030;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Barat;Titehena;86272
51031;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Selatan;Bubu Atagamu;86271
51032;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Selatan;Kalike / Kelike;86272
51033;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Selatan;Kalike / Kelike Aimatan;86272
51034;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Selatan;Kenere;86272
51035;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Selatan;Lemanu;86272
51036;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Selatan;Lewograran;86271
51037;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Selatan;Sulengwaseng;86272
51038;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Kwuta (Kawuta);86271
51039;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Labelen;86271
51040;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Lamawai;86271
51041;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Lebao;86271
51042;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Lewogeka;86271
51043;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Lewohedo;86271
51044;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Liwo;86271
51045;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Lohayong I;86271
51046;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Lohayong II;86271
51047;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Menanga;86271
51048;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Motonwutun;86271
51049;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Tanah Werang;86271
51050;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Watanhura;86271
51051;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Watanhura II;86271
51052;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Watobuku;86271
51053;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Watohari;86271
51054;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Solor Timur;Wulublolong;86271
51055;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Aransina;86252
51056;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Bahinga;86252
51057;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Bandona;86252
51058;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Gekengderan;86252
51059;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Kolaka;86252
51060;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Lamanabi;86252
51061;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Lamatutu;86252
51062;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Laton Liwo;86252
51063;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Latonliwo Dua;86252
51064;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Lewobunga;86252
51065;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Nusanipa;86252
51066;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Patisirawalang;86252
51067;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Ratu Lodong;86252
51068;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Sina Hadigala;86252
51069;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Sinamalaka;86252
51070;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Tanjung Bunga;Waibao;86252
51071;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Adabang;86253
51072;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Bokang Wolomatang;86253
51073;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Duli Jaya;86253
51074;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Dun Tana Lewoingu;86253
51075;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Ile Gerong;86253
51076;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Kobasoma;86253
51077;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Konga;86253
51078;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Leraboleng;86253
51079;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Lewoingu;86253
51080;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Lewolaga;86253
51081;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Serinuho;86253
51082;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Tenawahang;86253
51083;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Tuakepa;86253
51084;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Titehena;Watowara;86253
51085;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Balaweling;86262
51086;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Balaweling Noten;86262
51087;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Baobage;86262
51088;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Lamablawa;86262
51089;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Lamaleka;86262
51090;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Lewopulo;86262
51091;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Oringbele;86262
51092;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Pledo;86262
51093;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Riangduli;86262
51094;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Sandosi;86262
51095;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Tobitika;86262
51096;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Tuwagoetobi;86262
51097;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Waiwuring;86262
51098;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Watololong;86262
51099;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Watoone;86262
51100;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Witihama;Weranggere;86262
51101;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Bliko;86261
51102;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Demondei;86261
51103;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Kawela;86261
51104;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Klukengnuking;86261
51105;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Nayubaya;86261
51106;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Oyangbarang;86261
51107;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Pandai;86261
51108;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Samsoge;86261
51109;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Tana Tukan;86261
51110;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Tobilota;86261
51111;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Wailebe;86261
51112;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wotan Ulumando;Wotanulumado;86261
51113;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wulanggitang;Boru;86253
51114;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wulanggitang;Boru Kedang;86253
51115;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wulanggitang;Hewa;86253
51116;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wulanggitang;Hokeng Jaya;86253
51117;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wulanggitang;Klatanlo;86253
51118;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wulanggitang;Nawokote;86253
51119;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wulanggitang;Nileknoheng;86253
51120;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wulanggitang;Ojandetun;86253
51121;Nusa Tenggara Timur (NTT);Kabupaten;Flores Timur;Wulanggitang;Pantai Oa;86253
