No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
51502;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Botin Leobele;Babotin;85765
51503;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Botin Leobele;Babotin Maemina;85765
51504;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Botin Leobele;Babotin Selatan;85765
51505;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Botin Leobele;Kereana;85765
51506;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Botin Leobele;Takarai;85765
51507;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Io Kufeu;Bani-Bani;85765
51508;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Io Kufeu;Biau;85765
51509;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Io Kufeu;Fatoin;85765
51510;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Io Kufeu;Ikan Tuanbeis;85765
51511;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Io Kufeu;Kufeu;85765
51512;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Io Kufeu;Tunabesi;85765
51513;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Io Kufeu;Tunmat;85765
51514;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima;Babulu;85766
51515;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima;Babulu Selatan;85766
51516;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima;Lakekun;85766
51517;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima;Lakekun Barat;85766
51518;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima;Lakekun Utara;85766
51519;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima;Litamali;85766
51520;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima;Rainawe;85766
51521;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima;Sisi;85766
51522;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima Timur;Alas;85766
51523;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima Timur;Alas Selatan;85766
51524;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima Timur;Alas Utara;85766
51525;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Kobalima Timur;Kotabiru;85766
51526;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Laenmanen;Bisesmus;85718
51527;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Laenmanen;Boni Bais;85718
51528;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Laenmanen;Kapitan Meo;85718
51529;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Laenmanen;Meotroi;85718
51530;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Laenmanen;Nauke Kusa;85718
51531;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Laenmanen;Oenaek;85718
51532;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Laenmanen;Tesa;85718
51533;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Laenmanen;Tniumanu;85718
51534;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Laenmanen;Uabau;85718
51535;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Besikama;85763
51536;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Fafoe;85763
51537;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Lasaen;85763
51538;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Loofoun;85763
51539;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Maktihan;85763
51540;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Motaain;85763
51541;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Motaulun;85763
51542;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Naas;85763
51543;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Oan Mane;85763
51544;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Rabasa;85763
51545;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Rabasa Haerain;85763
51546;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Rabasahain;85763
51547;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Raimataus;85763
51548;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Sikun;85763
51549;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Umalor;85763
51550;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Barat;Umatoos;85763
51551;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Bakiruk;85762
51552;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Barada;85762
51553;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Barene;85762
51554;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Bereliku;85762
51555;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Fahiluka;85762
51556;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Harekakae;85762
51557;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Kakaniuk;85762
51558;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Kamanasa;85762
51559;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Kateri;85762
51560;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Kletek;85762
51561;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Lawalu;85762
51562;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Naimana;85762
51563;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Railor Tahak;85762
51564;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Suai;85762
51565;Nusa Tenggara Timur (NTT);Kabupaten;Malaka;Malaka Tengah;Umakatahan;85762
