No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
52002;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Elar Selatan;Paan Waru;86581
52003;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Elar Selatan;Sangan Kalo;86581
52004;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Elar Selatan;Sipi;86581
52005;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Elar Selatan;Teno Mese;86581
52006;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Elar Selatan;Wae Rasan;86581
52007;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Bamo;86572
52008;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Golo Ndele;86572
52009;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Golo Nderu;86572
52010;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Golo Tolang;86572
52011;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Golomeni;86572
52012;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Gunung Baru;86572
52013;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Gunung Mute;86572
52014;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Komba;86572
52015;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Lembur;86572
52016;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Mbengan;86572
52017;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Mokel;86572
52018;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Mokel Morid;86572
52019;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Paan Leleng;86572
52020;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Pari;86572
52021;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Pong Ruan;86572
52022;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Rana Kolong;86572
52023;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Rana Mbata;86572
52024;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Rana Mbeling;86572
52025;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Rongga Koe;86572
52026;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Ruan;86572
52027;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Tanah Rata;86572
52028;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Kota Komba;Watu Nggene;86572
52029;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Compang Deru;86582
52030;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Compang Mekar;86582
52031;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Compang Necak;86582
52032;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Golo Lembur;86582
52033;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Golo Mangung;86582
52034;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Golo Munga;86582
52035;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Golo Munga Barat;86582
52036;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Golo Nimbung;86582
52037;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Golo Paleng;86582
52038;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Golo Rentung;86582
52039;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Golo Wontong;86582
52040;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Goreng Meni;86582
52041;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Goreng Meni Utara;86582
52042;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Haju Wangi;86582
52043;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Keli;86582
52044;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Lencur;86582
52045;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Liang Deruk;86582
52046;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Nampar Tabang;86582
52047;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Satar Kampas;86582
52048;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Satar Padut;86582
52049;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Satar Punda;86582
52050;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Satar Punda Barat;86582
52051;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Tengku Leda;86582
52052;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Lamba Leda;Tengkulawar;86582
52053;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Bangka Kuleng;86583
52054;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Bangka Leleng;86583
52055;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Bangka Pau;86583
52056;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Bea Waek;86583
52057;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Compang Laho;86583
52058;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Compang Weluk;86583
52059;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Compang Wesang;86583
52060;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Deno;86583
52061;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Golo Lobos;86583
52062;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Golo Ndari;86583
52063;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Golo Nderu;86583
52064;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Golo Rengket;86583
52065;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Golo Wune;86583
52066;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Gurung Turi;86583
52067;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Lenang;86583
52068;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Lento;86583
52069;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Leong;86583
52070;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Mando Sawu;86583
52071;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Melo;86583
52072;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Nggalak Leleng;86583
52073;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Poco Lia;86583
52074;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Pocong;86583
52075;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Satar Tesem;86583
52076;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka;Watu Lanur;86583
52077;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka Timur;Arus;86583
52078;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka Timur;Bangka Arus;86583
52079;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka Timur;Benteng Rampas;86583
52080;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka Timur;Benteng Wunis;86583
52081;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka Timur;Colol;86583
52082;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka Timur;Compang Raci;86583
52083;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka Timur;Compang Wunis;86583
52084;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka Timur;Golo Lero;86583
52085;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka Timur;Ngkiong Dora;86583
52086;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka Timur;Rende Nao;86583
52087;Nusa Tenggara Timur (NTT);Kabupaten;Manggarai Timur;Poco Ranaka Timur;Rengkam;86583
