No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
52502;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Raijua;Ledeke;85393
52503;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Raijua;Ledeunu;85393
52504;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Delo;85391
52505;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Depe;85391
52506;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Djadu;85391
52507;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Ledeana;85391
52508;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Ledekepaka;85391
52509;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Mebba;85391
52510;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Menia;85391
52511;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Naawawi;85391
52512;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Raedewa;85391
52513;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Raeloro;85391
52514;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Raemadia;85391
52515;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Raemude;85391
52516;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Raenalulu;85391
52517;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Raenyale;85391
52518;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Roboaba;85391
52519;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Teriwu;85391
52520;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Barat;Titinalede;85391
52521;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Dainao;85391
52522;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Deme;85391
52523;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Eikare;85391
52524;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Eilogo;85391
52525;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Halapadji;85391
52526;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Kotahawu;85391
52527;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Lede Talo;85391
52528;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Ledeke;85391
52529;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Loboroi;85391
52530;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Mehona;85391
52531;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Raerobo;85391
52532;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Liae;Waduwala;85391
52533;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Tengah;Bebae;85392
52534;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Tengah;Eilode;85392
52535;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Tengah;Eimadake (Eimmadake);85392
52536;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Tengah;Eimau;85392
52537;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Tengah;Jiwuwu;85392
52538;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Tengah;Loboaju;85392
52539;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Tengah;Matei;85392
52540;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Tengah;Tada;85392
52541;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Timur;Bodae;85392
52542;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Timur;Bolou;85392
52543;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Timur;Eiada;85392
52544;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Timur;Huwaga;85392
52545;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Timur;Keduru;85392
52546;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Timur;Keliha;85392
52547;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Timur;Kujiratu;85392
52548;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Timur;Limagu (Limaggu);85392
52549;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Timur;Lobodei;85392
52550;Nusa Tenggara Timur (NTT);Kabupaten;Sabu Raijua;Sabu Timur;Loborai;85392
52551;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok;Gunung Sari;86116
52552;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok;Kabor;86112
52553;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok;Kota Uneng;86113
52554;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok;Madawat;86112
52555;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok;Nangalimang;86118
52556;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok;Pemana;86116
52557;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok;Samparong;86116
52558;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Barat;Hewuli;86115
52559;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Barat;Wailiti;86114
52560;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Barat;Wolomarang;86114
52561;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Barat;Wuring;86115
52562;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Timur;Beru;86111
52563;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Timur;Kojadoi;86116
52564;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Timur;Kojagete;86116
52565;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Timur;Kota Baru;86215
52566;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Timur;Lepolima;86116
52567;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Timur;Nangameting;86118
52568;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Timur;Parumaan;86116
52569;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Timur;Waioti;86118
52570;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Timur;Wairotang;86111
52571;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Alok Timur;Watugong;86116
52572;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Bola;Bola;86171
52573;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Bola;Hokor;86171
52574;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Bola;Ipir;86171
52575;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Bola;Umauta;86171
52576;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Bola;Wolokoli;86171
52577;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Bola;Wolonwalu;86171
52578;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Doreng;Kloangpopot;86171
52579;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Doreng;Nenbura;86171
52580;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Doreng;Waihawa;86171
52581;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Doreng;Watumerak;86171
52582;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Doreng;Wogalirit;86171
52583;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Doreng;Wolomotong;86171
52584;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Doreng;Wolonterang;86171
52585;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Hewokloang;Baomekot;86181
52586;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Hewokloang;Heopuat;86181
52587;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Hewokloang;Hewokloang;86181
52588;Nusa Tenggara Timur (NTT);Kabupaten;Sikka;Hewokloang;Kajowair;86181
