No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
53002;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kambata Mapambuhang;Waibidi (Waimbidi);87171
53003;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kambera;Kambaniru;87114
53004;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kambera;Kiri Tana (Kiritana);87114
53005;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kambera;Lambanapu;87115
53006;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kambera;Malumbi;87116
53007;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kambera;Mauhau;87116
53008;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kambera;Mauliru;87116
53009;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kambera;Prailiu;87113
53010;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kambera;Wangga;87116
53011;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kanatang;Hamba Praing;87153
53012;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kanatang;Kuta;87153
53013;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kanatang;Mondu;87153
53014;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kanatang;Ndapayami;87153
53015;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kanatang;Temu;87153
53016;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Karera;Ananjaki;87172
53017;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Karera;Jangga Mangu;87172
53018;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Karera;Nangga;87172
53019;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Karera;Nggongi;87172
53020;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Karera;Praimadita;87172
53021;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Karera;Praisalura;87172
53022;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Karera;Tandula Jangga;87172
53023;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Katala Hamu Lingu;Kompa Pari (Kombapari);87152
53024;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Katala Hamu Lingu;Lai Lara;87152
53025;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Katala Hamu Lingu;Mandahu;87152
53026;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Katala Hamu Lingu;Matawai Amahu;87152
53027;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Katala Hamu Lingu;Prai Bakul;87152
53028;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kota Waingapu;Hambala;87112
53029;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kota Waingapu;Kamalaputi;87111
53030;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kota Waingapu;Kambajawa;87116
53031;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kota Waingapu;Lukukamaru;87116
53032;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kota Waingapu;Matawai;87116
53033;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kota Waingapu;Mbata Kapidu;87116
53034;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Kota Waingapu;Pambola Njara (Pambotanjara);87116
53035;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa;Bidi Hunga;87152
53036;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa;Kambata Wundut;87152
53037;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa;Kambu Hapang;87152
53038;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa;Kondamara;87152
53039;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa;Lewapaku;87152
53040;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa;Matawai Pawali;87152
53041;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa;Rakawatu;87152
53042;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa;Tanarara;87152
53043;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa Tidahu;BidiPraing;87152
53044;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa Tidahu;Kangeli;87152
53045;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa Tidahu;Laihawu;87152
53046;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa Tidahu;Mondu Lambi;87152
53047;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa Tidahu;Umamanu;87152
53048;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Lewa Tidahu;Watumbelar;87152
53049;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Mahu;Haray (Harai);87171
53050;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Mahu;La Hiru;87171
53051;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Mahu;Lujundilu;87171
53052;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Mahu;Patamawai;87171
53053;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Mahu;Praikalala;87171
53054;Nusa Tenggara Timur (NTT);Kabupaten;Sumba Timur;Mahu;Wairara;87171
