No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
53502;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana;Nansean Timur;85671
53503;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana;Nunmafo;85671
53504;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana;Oenbit;85671
53505;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana;Sekon;85671
53506;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana;Susulaku;85671
53507;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana;Susulaku B;85671
53508;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana;Tapenpah;85671
53509;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Atmen;85671
53510;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Atmen II;85671
53511;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Bannae;85671
53512;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Lapeom;85671
53513;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Letneo;85671
53514;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Letneo Selatan;85671
53515;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Nifunenas;85671
53516;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Oabikase;85671
53517;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Subun;85671
53518;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Subun Bestobe;85671
53519;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Subun Tualele;85671
53520;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Barat;Usapinonot;85671
53521;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Fafinesu;Banuan/Baunuan;85671
53522;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Fafinesu;Fafinesu;85671
53523;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Fafinesu;Fafinesu A;85671
53524;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Fafinesu;Fafinesu B;85671
53525;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Fafinesu;Fafinesu C;85671
53526;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Fafinesu;Oenain;85671
53527;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Tengah;Lanaus;85671
53528;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Tengah;Letmafo;85671
53529;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Tengah;Letmafo Timur;85671
53530;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Tengah;Maubesi;85671
53531;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Tengah;Oehalo;85671
53532;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Tengah;Sone;85671
53533;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Tengah;Tainsala;85671
53534;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Utara;Fatumtasa;85671
53535;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Utara;Humusu A;85671
53536;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Utara;Humusu B;85671
53537;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Utara;Humusu C;85671
53538;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Insana Utara;Oesoko;85671
53539;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Kota Kefamenanu;Aplasi;85614
53540;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Kota Kefamenanu;Bansone;85615
53541;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Kota Kefamenanu;Benpasi;85613
53542;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Kota Kefamenanu;Kefamenanu Selatan;85613
53543;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Kota Kefamenanu;Kefamenanu Tengah;85612
53544;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Kota Kefamenanu;Kefamenanu Utara;85611
53545;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Kota Kefamenanu;Maubeli;85617
53546;Nusa Tenggara Timur (NTT);Kabupaten;Timor Tengah Utara;Kota Kefamenanu;Sasi;85616
