No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
54002;Papua;Kabupaten;Biak Numfor;Padaido;Nusi Babaruk;98158
54003;Papua;Kabupaten;Biak Numfor;Padaido;Pai;98158
54004;Papua;Kabupaten;Biak Numfor;Padaido;Paidori;98158
54005;Papua;Kabupaten;Biak Numfor;Padaido;Sandidori (Sandedori);98158
54006;Papua;Kabupaten;Biak Numfor;Padaido;Sokani;98158
54007;Papua;Kabupaten;Biak Numfor;Padaido;Sorina;98158
54008;Papua;Kabupaten;Biak Numfor;Padaido;Wundi;98158
54009;Papua;Kabupaten;Biak Numfor;Poiru;Andei;98171
54010;Papua;Kabupaten;Biak Numfor;Poiru;Andei Sup;98171
54011;Papua;Kabupaten;Biak Numfor;Poiru;Bawei;98171
54012;Papua;Kabupaten;Biak Numfor;Poiru;Koryakam;98171
54013;Papua;Kabupaten;Biak Numfor;Poiru;Manggari;98171
54014;Papua;Kabupaten;Biak Numfor;Poiru;Saunbri (Sauribru);98171
54015;Papua;Kabupaten;Biak Numfor;Poiru;Sauri;98171
54016;Papua;Kabupaten;Biak Numfor;Poiru;Serdori;98171
54017;Papua;Kabupaten;Biak Numfor;Poiru;Syoribo;98171
54018;Papua;Kabupaten;Biak Numfor;Samofa;Adainasnosen;98156
54019;Papua;Kabupaten;Biak Numfor;Samofa;Anjarew;98156
54020;Papua;Kabupaten;Biak Numfor;Samofa;Anjereuw;98156
54021;Papua;Kabupaten;Biak Numfor;Samofa;Brambaken;98118
54022;Papua;Kabupaten;Biak Numfor;Samofa;Darmopis;98156
54023;Papua;Kabupaten;Biak Numfor;Samofa;Kamorfuar;98156
54024;Papua;Kabupaten;Biak Numfor;Samofa;Karang Mulia;98156
54025;Papua;Kabupaten;Biak Numfor;Samofa;Kinmom;98156
54026;Papua;Kabupaten;Biak Numfor;Samofa;Mandouw;98156
54027;Papua;Kabupaten;Biak Numfor;Samofa;Mansinyas;98156
54028;Papua;Kabupaten;Biak Numfor;Samofa;Maryendi;98156
54029;Papua;Kabupaten;Biak Numfor;Samofa;Sambawofuar;98156
54030;Papua;Kabupaten;Biak Numfor;Samofa;Samofa;98156
54031;Papua;Kabupaten;Biak Numfor;Samofa;Snerbo;98156
54032;Papua;Kabupaten;Biak Numfor;Samofa;Sumberker;98156
54033;Papua;Kabupaten;Biak Numfor;Samofa;Wisata Binsari;98156
54034;Papua;Kabupaten;Biak Numfor;Samofa;Yafdas;98156
54035;Papua;Kabupaten;Biak Numfor;Swandiwe;Andoina;98154
54036;Papua;Kabupaten;Biak Numfor;Swandiwe;Busdori;98154
54037;Papua;Kabupaten;Biak Numfor;Swandiwe;Farusi;98154
54038;Papua;Kabupaten;Biak Numfor;Swandiwe;Insusbari;98154
54039;Papua;Kabupaten;Biak Numfor;Swandiwe;Mandenderi;98154
54040;Papua;Kabupaten;Biak Numfor;Swandiwe;Mardori;98154
54041;Papua;Kabupaten;Biak Numfor;Swandiwe;Napdori;98154
54042;Papua;Kabupaten;Biak Numfor;Swandiwe;Orkdori;98154
54043;Papua;Kabupaten;Biak Numfor;Swandiwe;Ramdori;98154
54044;Papua;Kabupaten;Biak Numfor;Swandiwe;Sarwa;98154
54045;Papua;Kabupaten;Biak Numfor;Swandiwe;Saswarbo;98154
54046;Papua;Kabupaten;Biak Numfor;Swandiwe;Swainober;98154
54047;Papua;Kabupaten;Biak Numfor;Swandiwe;Swaipak;98154
54048;Papua;Kabupaten;Biak Numfor;Swandiwe;Wombrisauw;98154
54049;Papua;Kabupaten;Biak Numfor;Swandiwe;Yenbepioper (Yembepioper);98154
54050;Papua;Kabupaten;Biak Numfor;Warsa;Aman;98157
54051;Papua;Kabupaten;Biak Numfor;Warsa;Ammoy;98157
54052;Papua;Kabupaten;Biak Numfor;Warsa;Biawer;98157
54053;Papua;Kabupaten;Biak Numfor;Warsa;Diano;98157
54054;Papua;Kabupaten;Biak Numfor;Warsa;Imbari;98157
54055;Papua;Kabupaten;Biak Numfor;Warsa;Inswanbesi;98157
54056;Papua;Kabupaten;Biak Numfor;Warsa;Inswanbesi Sup;98157
54057;Papua;Kabupaten;Biak Numfor;Warsa;Inyobi;98157
54058;Papua;Kabupaten;Biak Numfor;Warsa;Karuiberik;98157
54059;Papua;Kabupaten;Biak Numfor;Warsa;Komboy;98157
54060;Papua;Kabupaten;Biak Numfor;Warsa;Koyomi;98157
54061;Papua;Kabupaten;Biak Numfor;Warsa;Mamfias;98157
54062;Papua;Kabupaten;Biak Numfor;Warsa;Manbeori;98157
54063;Papua;Kabupaten;Biak Numfor;Warsa;Maniri;98157
54064;Papua;Kabupaten;Biak Numfor;Warsa;Marur;98157
