No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
55002;Papua;Kabupaten;Keerom;Waris;Banda;99467
55003;Papua;Kabupaten;Keerom;Waris;Bompai;99467
55004;Papua;Kabupaten;Keerom;Waris;Kalifam;99467
55005;Papua;Kabupaten;Keerom;Waris;Kalimala;99467
55006;Papua;Kabupaten;Keerom;Waris;Pund;99467
55007;Papua;Kabupaten;Keerom;Waris;Sack;99467
55008;Papua;Kabupaten;Keerom;Waris;Yuwainda;99467
55009;Papua;Kabupaten;Keerom;Web;Akarinda;99466
55010;Papua;Kabupaten;Keerom;Web;Amgotro;99466
55011;Papua;Kabupaten;Keerom;Web;Dubu;99466
55012;Papua;Kabupaten;Keerom;Web;Embi;99466
55013;Papua;Kabupaten;Keerom;Web;Fafenumbu;99466
55014;Papua;Kabupaten;Keerom;Web;Jifanggry;99466
55015;Papua;Kabupaten;Keerom;Web;Semografi;99466
55016;Papua;Kabupaten;Keerom;Web;Tatakra;99466
55017;Papua;Kabupaten;Keerom;Web;Umuaf;99466
55018;Papua;Kabupaten;Keerom;Web;Yamraf Dua;99466
55019;Papua;Kabupaten;Keerom;Web;Yuruf;99466
55020;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Aitiri;98255
55021;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Borai;98255
55022;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Kabuaena;98255
55023;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Kainui I;98255
55024;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Kainui II;98255
55025;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Kontiunai (Kontinuai);98255
55026;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Mananayam;98255
55027;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Menawi;98255
55028;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Rambai;98255
55029;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Ransarnoni (Ramsamoni);98255
55030;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Roipi;98255
55031;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Roipi Dua;98255
55032;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Sanayoka;98255
55033;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Wadapi;98255
55034;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Wanampompi;98255
55035;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Waniwon;98255
55036;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Wawuti;98255
55037;Papua;Kabupaten;Kepulauan Yapen;Angkaisera;Yapanani;98255
55038;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Adiwipi;98255
55039;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Aiwaraggani;98255
55040;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Ambai I;98255
55041;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Ambai II;98255
55042;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Bairei;98255
55043;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Baisore;98255
55044;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Dorau;98255
55045;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Imboriawa;98255
55046;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Kawipi;98255
55047;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Mambawi;98255
55048;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Marawi;98255
55049;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Nuniandei;98255
55050;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Perea;98255
55051;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Rondepi;98255
55052;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Saweru;98255
55053;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Toroa;98255
55054;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Umani;98255
55055;Papua;Kabupaten;Kepulauan Yapen;Kepulauan Ambai;Wamori;98255
55056;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Ambaidiru;98215
55057;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Ariepi;98215
55058;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Ariepi Dua;98215
55059;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Aromarea;98215
55060;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Kamanap;98215
55061;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Kanawa;98215
55062;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Mambo;98215
55063;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Manainin;98215
55064;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Mariarotu (Mariar Rotu);98215
55065;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Numaman;98215
55066;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Panduami (Pandoami/Panduani);98215
55067;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Ramangkurani;98215
55068;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Sarawandori Dua;98215
55069;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Serawandori (Sarawandori);98215
55070;Papua;Kabupaten;Kepulauan Yapen;Kosiwo;Tatui;98215
55071;Papua;Kabupaten;Kepulauan Yapen;Poom;Humbe Awai;98254
55072;Papua;Kabupaten;Kepulauan Yapen;Poom;Makiroan (Mokiroan);98254
55073;Papua;Kabupaten;Kepulauan Yapen;Poom;Nurawi;98254
55074;Papua;Kabupaten;Kepulauan Yapen;Poom;Poom I;98254
55075;Papua;Kabupaten;Kepulauan Yapen;Poom;Poom II;98254
55076;Papua;Kabupaten;Kepulauan Yapen;Poom;Rasiri (Woisiri);98254
55077;Papua;Kabupaten;Kepulauan Yapen;Poom;Serewen;98254
55078;Papua;Kabupaten;Kepulauan Yapen;Poom;Worioi (Wariori);98254
55079;Papua;Kabupaten;Kepulauan Yapen;Pulau Kurudu;Andesaria (Andersaria);98252
55080;Papua;Kabupaten;Kepulauan Yapen;Pulau Kurudu;Doreiamini (Doreianmini);98252
55081;Papua;Kabupaten;Kepulauan Yapen;Pulau Kurudu;Kaipuri;98252
55082;Papua;Kabupaten;Kepulauan Yapen;Pulau Kurudu;Kirimbri;98252
55083;Papua;Kabupaten;Kepulauan Yapen;Pulau Kurudu;Kurudu;98252
55084;Papua;Kabupaten;Kepulauan Yapen;Pulau Kurudu;Mansesi;98252
55085;Papua;Kabupaten;Kepulauan Yapen;Pulau Kurudu;Manusundu;98252
55086;Papua;Kabupaten;Kepulauan Yapen;Pulau Kurudu;Mnukwar;98252
55087;Papua;Kabupaten;Kepulauan Yapen;Pulau Yerui;Ausem;98253
55088;Papua;Kabupaten;Kepulauan Yapen;Pulau Yerui;Jeniari;98253
55089;Papua;Kabupaten;Kepulauan Yapen;Pulau Yerui;Miosnum;98253
55090;Papua;Kabupaten;Kepulauan Yapen;Pulau Yerui;Umpeki;98253
55091;Papua;Kabupaten;Kepulauan Yapen;Pulau Yerui;Yeituarau;98253
55092;Papua;Kabupaten;Kepulauan Yapen;Raimbawi;Aisau;98252
55093;Papua;Kabupaten;Kepulauan Yapen;Raimbawi;Barawai;98252
55094;Papua;Kabupaten;Kepulauan Yapen;Raimbawi;Kororompui;98252
55095;Papua;Kabupaten;Kepulauan Yapen;Raimbawi;Sawendui;98252
55096;Papua;Kabupaten;Kepulauan Yapen;Raimbawi;Sewenui;98252
55097;Papua;Kabupaten;Kepulauan Yapen;Raimbawi;Waindu;98252
55098;Papua;Kabupaten;Kepulauan Yapen;Raimbawi;Woda;98252
55099;Papua;Kabupaten;Kepulauan Yapen;Teluk Ampimoi;Ampimoi;98252
55100;Papua;Kabupaten;Kepulauan Yapen;Teluk Ampimoi;Arareni;98252
55101;Papua;Kabupaten;Kepulauan Yapen;Teluk Ampimoi;Ayari;98252
55102;Papua;Kabupaten;Kepulauan Yapen;Teluk Ampimoi;Bareraipi (Barerai/Bareraif);98252
55103;Papua;Kabupaten;Kepulauan Yapen;Teluk Ampimoi;Karoaipi (Koroapi);98252
55104;Papua;Kabupaten;Kepulauan Yapen;Teluk Ampimoi;Randawaya;98252
55105;Papua;Kabupaten;Kepulauan Yapen;Teluk Ampimoi;Siromi;98252
55106;Papua;Kabupaten;Kepulauan Yapen;Teluk Ampimoi;Tarei;98252
55107;Papua;Kabupaten;Kepulauan Yapen;Teluk Ampimoi;Wabuayar (Wabuayer);98252
55108;Papua;Kabupaten;Kepulauan Yapen;Teluk Ampimoi;Waita;98252
55109;Papua;Kabupaten;Kepulauan Yapen;Teluk Ampimoi;Warironi;98252
55110;Papua;Kabupaten;Kepulauan Yapen;Windesi;Aryobu;98254
55111;Papua;Kabupaten;Kepulauan Yapen;Windesi;Asai;98254
55112;Papua;Kabupaten;Kepulauan Yapen;Windesi;Kairawi (Karawi);98254
55113;Papua;Kabupaten;Kepulauan Yapen;Windesi;Kaonda;98253
55114;Papua;Kabupaten;Kepulauan Yapen;Windesi;Munggui;98254
55115;Papua;Kabupaten;Kepulauan Yapen;Windesi;Rosbori;98254
55116;Papua;Kabupaten;Kepulauan Yapen;Windesi;Saruman;98254
55117;Papua;Kabupaten;Kepulauan Yapen;Windesi;Waisani;98254
55118;Papua;Kabupaten;Kepulauan Yapen;Windesi;Windesi;98254
55119;Papua;Kabupaten;Kepulauan Yapen;Wonawa;Aibondeni;98253
55120;Papua;Kabupaten;Kepulauan Yapen;Wonawa;Awado;98253
55121;Papua;Kabupaten;Kepulauan Yapen;Wonawa;Dumani;98253
55122;Papua;Kabupaten;Kepulauan Yapen;Wonawa;Haihorei;98253
55123;Papua;Kabupaten;Kepulauan Yapen;Wonawa;Jaimaria;98253
55124;Papua;Kabupaten;Kepulauan Yapen;Wonawa;Kanaki;98253
55125;Papua;Kabupaten;Kepulauan Yapen;Wonawa;Karemoni;98253
55126;Papua;Kabupaten;Kepulauan Yapen;Wonawa;Rembai;98253
55127;Papua;Kabupaten;Kepulauan Yapen;Wonawa;Woinap;98253
55128;Papua;Kabupaten;Kepulauan Yapen;Wonawa;Wooi;98253
