No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
55502;Papua;Kabupaten;Lanny Jaya;Wereka;Tabukeker;99563
55503;Papua;Kabupaten;Lanny Jaya;Wereka;Timi;99563
55504;Papua;Kabupaten;Lanny Jaya;Wereka;Tiwa;99563
55505;Papua;Kabupaten;Lanny Jaya;Wereka;Wuragi;99563
55506;Papua;Kabupaten;Lanny Jaya;Wiringgambut;Giruwi;99567
55507;Papua;Kabupaten;Lanny Jaya;Wiringgambut;Golo;99567
55508;Papua;Kabupaten;Lanny Jaya;Wiringgambut;Golomi;99567
55509;Papua;Kabupaten;Lanny Jaya;Wiringgambut;Kiludo;99567
55510;Papua;Kabupaten;Lanny Jaya;Wiringgambut;Milidi;99567
55511;Papua;Kabupaten;Lanny Jaya;Wiringgambut;Uniwani;99567
55512;Papua;Kabupaten;Lanny Jaya;Wiringgambut;Wiringgambut;99567
55513;Papua;Kabupaten;Lanny Jaya;Wiringgambut;Wuluwebur;99567
55514;Papua;Kabupaten;Lanny Jaya;Wiringgambut;Yiwili;99567
55515;Papua;Kabupaten;Lanny Jaya;Wiringgambut;Yugumobur;99567
55516;Papua;Kabupaten;Lanny Jaya;Yiginua;Abua;99563
55517;Papua;Kabupaten;Lanny Jaya;Yiginua;Golikme;99563
55518;Papua;Kabupaten;Lanny Jaya;Yiginua;Gumagame;99563
55519;Papua;Kabupaten;Lanny Jaya;Yiginua;Ninabua;99563
55520;Papua;Kabupaten;Lanny Jaya;Yiginua;Ninengwa;99563
55521;Papua;Kabupaten;Lanny Jaya;Yiginua;Tepogi;99563
55522;Papua;Kabupaten;Lanny Jaya;Yiginua;Weri;99563
55523;Papua;Kabupaten;Lanny Jaya;Yiluk;Ekapame;99556
55524;Papua;Kabupaten;Lanny Jaya;Yiluk;Jilekme;99556
55525;Papua;Kabupaten;Lanny Jaya;Yiluk;Kubagalo;99556
55526;Papua;Kabupaten;Lanny Jaya;Yiluk;Odika;99556
55527;Papua;Kabupaten;Lanny Jaya;Yiluk;Papani;99556
55528;Papua;Kabupaten;Lanny Jaya;Yiluk;Wanome;99556
55529;Papua;Kabupaten;Lanny Jaya;Yiluk;Yiluweneri;99556
55530;Papua;Kabupaten;Lanny Jaya;Yiluk;Yubumabur;99556
55531;Papua;Kabupaten;Lanny Jaya;Yugungwi;Bogun Kunik;99563
55532;Papua;Kabupaten;Lanny Jaya;Yugungwi;Gimili Alome;99563
55533;Papua;Kabupaten;Lanny Jaya;Yugungwi;Giwan;99563
55534;Papua;Kabupaten;Lanny Jaya;Yugungwi;Konikme;99563
55535;Papua;Kabupaten;Lanny Jaya;Yugungwi;Lugom;99563
55536;Papua;Kabupaten;Lanny Jaya;Yugungwi;Mabume;99563
55537;Papua;Kabupaten;Lanny Jaya;Yugungwi;Omapaga;99563
55538;Papua;Kabupaten;Lanny Jaya;Yugungwi;Urgelo;99563
55539;Papua;Kabupaten;Lanny Jaya;Yugungwi;Wandoak;99563
55540;Papua;Kabupaten;Mamberamo Raya;Benuki;Baitanasa;98262
55541;Papua;Kabupaten;Mamberamo Raya;Benuki;Dadat;98262
55542;Papua;Kabupaten;Mamberamo Raya;Benuki;Gesa Baru;98262
55543;Papua;Kabupaten;Mamberamo Raya;Benuki;Kamai;98262
55544;Papua;Kabupaten;Mamberamo Raya;Benuki;Kerema;98262
55545;Papua;Kabupaten;Mamberamo Raya;Benuki;Taya;98262
55546;Papua;Kabupaten;Mamberamo Raya;Benuki;Teuw;98262
55547;Papua;Kabupaten;Mamberamo Raya;Benuki;Watiaro;98262
55548;Papua;Kabupaten;Mamberamo Raya;Mamberamo Hilir/Ilir;Bagusa (Bagus);99375
