No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
56002;Papua;Kabupaten;Merauke;Ulilin;Baidub;99652
56003;Papua;Kabupaten;Merauke;Ulilin;Belbeland;99652
56004;Papua;Kabupaten;Merauke;Ulilin;Kafyamke;99652
56005;Papua;Kabupaten;Merauke;Ulilin;Kandrakai;99652
56006;Papua;Kabupaten;Merauke;Ulilin;Kindiki;99652
56007;Papua;Kabupaten;Merauke;Ulilin;Kireli;99652
56008;Papua;Kabupaten;Merauke;Ulilin;Kumaaf;99652
56009;Papua;Kabupaten;Merauke;Ulilin;Mandekman;99652
56010;Papua;Kabupaten;Merauke;Ulilin;Nggayu;99652
56011;Papua;Kabupaten;Merauke;Ulilin;Rawahayu;99652
56012;Papua;Kabupaten;Merauke;Ulilin;Selil;99652
56013;Papua;Kabupaten;Merauke;Waan;Dafnawanga;99655
56014;Papua;Kabupaten;Merauke;Waan;Kawe;99655
56015;Papua;Kabupaten;Merauke;Waan;Kladar;99655
56016;Papua;Kabupaten;Merauke;Waan;Konorau;99655
56017;Papua;Kabupaten;Merauke;Waan;Pembri;99655
56018;Papua;Kabupaten;Merauke;Waan;Sabon;99655
56019;Papua;Kabupaten;Merauke;Waan;Sibenda;99655
56020;Papua;Kabupaten;Merauke;Waan;Tor;99655
56021;Papua;Kabupaten;Merauke;Waan;Waan;99655
56022;Papua;Kabupaten;Merauke;Waan;Wantarma;99655
56023;Papua;Kabupaten;Merauke;Waan;Wetau;99655
56024;Papua;Kabupaten;Mimika;Agimuga;Amungun;99964
56025;Papua;Kabupaten;Mimika;Agimuga;Aramsolki;99964
56026;Papua;Kabupaten;Mimika;Agimuga;Emkoma Halama;99964
56027;Papua;Kabupaten;Mimika;Agimuga;Emogoma;99964
56028;Papua;Kabupaten;Mimika;Agimuga;Fakafuku;99964
56029;Papua;Kabupaten;Mimika;Agimuga;Hinat Untung;99964
56030;Papua;Kabupaten;Mimika;Agimuga;Kiliarma;99964
56031;Papua;Kabupaten;Mimika;Agimuga;Masasimamo;99964
56032;Papua;Kabupaten;Mimika;Alama;Alama;99966
56033;Papua;Kabupaten;Mimika;Alama;Bemoki;99966
56034;Papua;Kabupaten;Mimika;Alama;Enggin;99966
56035;Papua;Kabupaten;Mimika;Alama;Geselema;99966
56036;Papua;Kabupaten;Mimika;Alama;Jenggelo;99966
56037;Papua;Kabupaten;Mimika;Alama;Kilmit;99966
56038;Papua;Kabupaten;Mimika;Alama;Purua;99966
56039;Papua;Kabupaten;Mimika;Alama;Senawak;99966
56040;Papua;Kabupaten;Mimika;Alama;Tagaralma;99966
56041;Papua;Kabupaten;Mimika;Alama;Unimogom;99966
56042;Papua;Kabupaten;Mimika;Alama;Wuarem;99966
56043;Papua;Kabupaten;Mimika;Amar;Amar;99973
