No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
56502;Papua;Kabupaten;Nduga;Yigi;Wiritlak;99564
56503;Papua;Kabupaten;Nduga;Yigi;Yebadolma;99564
56504;Papua;Kabupaten;Nduga;Yigi;Yigi;99564
56505;Papua;Kabupaten;Paniai;Aradide;Abatadi;98766
56506;Papua;Kabupaten;Paniai;Aradide;Agapo;98766
56507;Papua;Kabupaten;Paniai;Aradide;Akoubaida;98766
56508;Papua;Kabupaten;Paniai;Aradide;Baguwo;98766
56509;Papua;Kabupaten;Paniai;Aradide;Dauwagu;98766
56510;Papua;Kabupaten;Paniai;Aradide;Deta;98766
56511;Papua;Kabupaten;Paniai;Aradide;Makidini;98766
56512;Papua;Kabupaten;Paniai;Aradide;Toyaimoti;98766
56513;Papua;Kabupaten;Paniai;Aradide;Tuguwai;98766
56514;Papua;Kabupaten;Paniai;Aradide;Yabomaida;98766
56515;Papua;Kabupaten;Paniai;Bibida;Bibida;98782
56516;Papua;Kabupaten;Paniai;Bibida;Ugidimi (Ugimiba);98782
56517;Papua;Kabupaten;Paniai;Bogobaida;Bogobaida;98769
56518;Papua;Kabupaten;Paniai;Bogobaida;Ipouwa;98769
56519;Papua;Kabupaten;Paniai;Bogobaida;Nawipauwo;98769
56520;Papua;Kabupaten;Paniai;Bogobaida;Nomouwodide;98769
56521;Papua;Kabupaten;Paniai;Bogobaida;Uwagi;98769
56522;Papua;Kabupaten;Paniai;Bogobaida;Youtadi;98769
56523;Papua;Kabupaten;Paniai;Dumadama;Dogomo (Dogoma);98782
56524;Papua;Kabupaten;Paniai;Dumadama;Duma;98782
56525;Papua;Kabupaten;Paniai;Ekadide;Agapo;98766
56526;Papua;Kabupaten;Paniai;Ekadide;Eyagitaida;98766
56527;Papua;Kabupaten;Paniai;Ekadide;Geida;98766
56528;Papua;Kabupaten;Paniai;Ekadide;Obaipugaida;98766
56529;Papua;Kabupaten;Paniai;Ekadide;Pasir Putih;98766
56530;Papua;Kabupaten;Paniai;Kebo;Awebutu;98715
