No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
57002;Papua;Kabupaten;Puncak Jaya;Ilamburawi;Jigunikime;98911
57003;Papua;Kabupaten;Puncak Jaya;Ilamburawi;Kalome;98911
57004;Papua;Kabupaten;Puncak Jaya;Ilamburawi;Temu;98911
57005;Papua;Kabupaten;Puncak Jaya;Ilu;Aulukme;98916
57006;Papua;Kabupaten;Puncak Jaya;Ilu;Belantara;98916
57007;Papua;Kabupaten;Puncak Jaya;Ilu;Dolinggame;98916
57008;Papua;Kabupaten;Puncak Jaya;Ilu;Ginipago;98916
57009;Papua;Kabupaten;Puncak Jaya;Ilu;Girmor;98916
57010;Papua;Kabupaten;Puncak Jaya;Ilu;Gubulome;98916
57011;Papua;Kabupaten;Puncak Jaya;Ilu;Juria Satu;98916
57012;Papua;Kabupaten;Puncak Jaya;Ilu;Kalengga;98916
57013;Papua;Kabupaten;Puncak Jaya;Ilu;Kaninonggo;98916
57014;Papua;Kabupaten;Puncak Jaya;Ilu;Kirigimaduk;98916
57015;Papua;Kabupaten;Puncak Jaya;Ilu;Kurikpulok;98916
57016;Papua;Kabupaten;Puncak Jaya;Ilu;Lambo;98916
57017;Papua;Kabupaten;Puncak Jaya;Ilu;Maka;98916
57018;Papua;Kabupaten;Puncak Jaya;Ilu;Megawi Megewa;98916
57019;Papua;Kabupaten;Puncak Jaya;Ilu;Mobigi;98916
57020;Papua;Kabupaten;Puncak Jaya;Ilu;Pindebaga;98916
57021;Papua;Kabupaten;Puncak Jaya;Ilu;Pukipaki;98916
57022;Papua;Kabupaten;Puncak Jaya;Ilu;Pulau Timur;98916
57023;Papua;Kabupaten;Puncak Jaya;Ilu;Pulogengga;98916
57024;Papua;Kabupaten;Puncak Jaya;Ilu;Wurak;98916
57025;Papua;Kabupaten;Puncak Jaya;Irimuli;Anggutari;98911
57026;Papua;Kabupaten;Puncak Jaya;Irimuli;Dondo;98911
57027;Papua;Kabupaten;Puncak Jaya;Irimuli;Jiginikime;98911
57028;Papua;Kabupaten;Puncak Jaya;Irimuli;Niruwi;98911
57029;Papua;Kabupaten;Puncak Jaya;Irimuli;Puncak Senyum;98911
57030;Papua;Kabupaten;Puncak Jaya;Irimuli;Tanoba;98911
57031;Papua;Kabupaten;Puncak Jaya;Irimuli;Wondenggobak;98911
57032;Papua;Kabupaten;Puncak Jaya;Irimuli;Wunagelo;98911
57033;Papua;Kabupaten;Puncak Jaya;Irimuli;Yalikambi;98911
57034;Papua;Kabupaten;Puncak Jaya;Kalome;Agape;98912
57035;Papua;Kabupaten;Puncak Jaya;Kalome;Berem;98912
57036;Papua;Kabupaten;Puncak Jaya;Kalome;Binggelakme;98912
57037;Papua;Kabupaten;Puncak Jaya;Kalome;Cilome;98912
57038;Papua;Kabupaten;Puncak Jaya;Kalome;Diraluk;98912
