No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
57502;Papua;Kabupaten;Tolikara;Egiam;Kurba;99569
57503;Papua;Kabupaten;Tolikara;Egiam;Murni;99569
57504;Papua;Kabupaten;Tolikara;Egiam;Pinde;99569
57505;Papua;Kabupaten;Tolikara;Egiam;Tabonakme;99569
57506;Papua;Kabupaten;Tolikara;Egiam;Wayongga;99569
57507;Papua;Kabupaten;Tolikara;Egiam;Weri;99569
57508;Papua;Kabupaten;Tolikara;Egiam;Yoka;99569
57509;Papua;Kabupaten;Tolikara;Egiam;Yonira;99569
57510;Papua;Kabupaten;Tolikara;Geya;Alobaga;99562
57511;Papua;Kabupaten;Tolikara;Geya;Dimbara;99562
57512;Papua;Kabupaten;Tolikara;Geya;Geya;99562
57513;Papua;Kabupaten;Tolikara;Geya;Jelepele;99562
57514;Papua;Kabupaten;Tolikara;Geya;Kibu;99562
57515;Papua;Kabupaten;Tolikara;Geya;Nawu;99562
57516;Papua;Kabupaten;Tolikara;Geya;Timori;99562
57517;Papua;Kabupaten;Tolikara;Geya;Tinagoga;99562
57518;Papua;Kabupaten;Tolikara;Geya;Weyambi;99562
57519;Papua;Kabupaten;Tolikara;Geya;Winalo;99562
57520;Papua;Kabupaten;Tolikara;Geya;Witipur;99562
57521;Papua;Kabupaten;Tolikara;Geya;Wunggilipur;99562
57522;Papua;Kabupaten;Tolikara;Gika;Dimbara;99569
57523;Papua;Kabupaten;Tolikara;Gika;Geka;99569
57524;Papua;Kabupaten;Tolikara;Gika;Gelok;99569
57525;Papua;Kabupaten;Tolikara;Gika;Kwa;99569
57526;Papua;Kabupaten;Tolikara;Gika;Makido;99569
57527;Papua;Kabupaten;Tolikara;Gika;Membramonggen;99569
57528;Papua;Kabupaten;Tolikara;Gika;Tabunakme;99569
57529;Papua;Kabupaten;Tolikara;Gika;Wanuwi;99569
57530;Papua;Kabupaten;Tolikara;Gika;Wenigi;99569
57531;Papua;Kabupaten;Tolikara;Gika;Yinuwanu;99569
57532;Papua;Kabupaten;Tolikara;Gilubandu (Gilumbandu/Gilimbandu);Baguni;99568
57533;Papua;Kabupaten;Tolikara;Gilubandu (Gilumbandu/Gilimbandu);Egoni;99568
57534;Papua;Kabupaten;Tolikara;Gilubandu (Gilumbandu/Gilimbandu);Kulutin;99568
57535;Papua;Kabupaten;Tolikara;Gilubandu (Gilumbandu/Gilimbandu);Lerewere;99568
57536;Papua;Kabupaten;Tolikara;Gilubandu (Gilumbandu/Gilimbandu);Martelo;99568
57537;Papua;Kabupaten;Tolikara;Gilubandu (Gilumbandu/Gilimbandu);Orelukban;99568
57538;Papua;Kabupaten;Tolikara;Gilubandu (Gilumbandu/Gilimbandu);Tinggom;99568
57539;Papua;Kabupaten;Tolikara;Gilubandu (Gilumbandu/Gilimbandu);Welesi;99568
57540;Papua;Kabupaten;Tolikara;Gilubandu (Gilumbandu/Gilimbandu);Yakep;99568
57541;Papua;Kabupaten;Tolikara;Gilubandu (Gilumbandu/Gilimbandu);Yamulo;99568
57542;Papua;Kabupaten;Tolikara;Goyage;Angkasa;99562
57543;Papua;Kabupaten;Tolikara;Goyage;Benari;99562
57544;Papua;Kabupaten;Tolikara;Goyage;Bini;99562
57545;Papua;Kabupaten;Tolikara;Goyage;Bopa (Bobe);99562
57546;Papua;Kabupaten;Tolikara;Goyage;Didelonik;99562
57547;Papua;Kabupaten;Tolikara;Goyage;Doge;99562
57548;Papua;Kabupaten;Tolikara;Goyage;Dugi;99562
57549;Papua;Kabupaten;Tolikara;Goyage;Gilok;99562
57550;Papua;Kabupaten;Tolikara;Goyage;Goyage;99562
57551;Papua;Kabupaten;Tolikara;Goyage;Kumbur (Kumbu);99562
57552;Papua;Kabupaten;Tolikara;Goyage;Mampulaga (Nampulaga);99562
57553;Papua;Kabupaten;Tolikara;Goyage;Peko (Peku);99562
57554;Papua;Kabupaten;Tolikara;Goyage;Tagikun (Tigikum);99562
57555;Papua;Kabupaten;Tolikara;Goyage;Tidur Mabuk;99562
57556;Papua;Kabupaten;Tolikara;Goyage;Tigir;99562
57557;Papua;Kabupaten;Tolikara;Goyage;Tiri;99562
57558;Papua;Kabupaten;Tolikara;Goyage;Wijamurik;99562
57559;Papua;Kabupaten;Tolikara;Goyage;Woji;99562
57560;Papua;Kabupaten;Tolikara;Goyage;Yemarima (Yemarma);99562
57561;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Aworera;99569
57562;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Enggawogo;99569
57563;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Gingga;99569
57564;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Gubuk;99569
57565;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Gumbini;99569
57566;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Kalarin;99569
57567;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Kurik;99569
57568;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Muruneri;99569
57569;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Nangga;99569
57570;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Oker;99569
57571;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Punggelak;99569
57572;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Umar;99569
57573;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Wamili;99569
57574;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Wamolo;99569
57575;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Winengga;99569
57576;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Wobe;99569
57577;Papua;Kabupaten;Tolikara;Gundagi (Gudage);Woraga;99569
57578;Papua;Kabupaten;Tolikara;Kai;Again;99562
57579;Papua;Kabupaten;Tolikara;Kai;Bawi;99562
57580;Papua;Kabupaten;Tolikara;Kai;Kaiga;99562
57581;Papua;Kabupaten;Tolikara;Kai;Kotorambur;99562
57582;Papua;Kabupaten;Tolikara;Kai;Kurbaya;99562
57583;Papua;Kabupaten;Tolikara;Kai;Piraleme;99562
57584;Papua;Kabupaten;Tolikara;Kai;Tina;99562
57585;Papua;Kabupaten;Tolikara;Kai;Tunggunale;99562
57586;Papua;Kabupaten;Tolikara;Kai;Wiyangger;99562
57587;Papua;Kabupaten;Tolikara;Kai;Wolu;99562
57588;Papua;Kabupaten;Tolikara;Kamboneri;Berembanak;99561
57589;Papua;Kabupaten;Tolikara;Kamboneri;Habag;99561
57590;Papua;Kabupaten;Tolikara;Kamboneri;Kaloniki;99561
57591;Papua;Kabupaten;Tolikara;Kamboneri;Kamboniki;99561
57592;Papua;Kabupaten;Tolikara;Kamboneri;Kekoli;99561
57593;Papua;Kabupaten;Tolikara;Kamboneri;Malta;99561
57594;Papua;Kabupaten;Tolikara;Kamboneri;Marbuna;99561
57595;Papua;Kabupaten;Tolikara;Kamboneri;Tari;99561
57596;Papua;Kabupaten;Tolikara;Kanggime (Kanggima );Aulani;99568
57597;Papua;Kabupaten;Tolikara;Kanggime (Kanggima );Dundu;99568
57598;Papua;Kabupaten;Tolikara;Kanggime (Kanggima );Kagimaluk;99568
57599;Papua;Kabupaten;Tolikara;Kanggime (Kanggima );Kanggime;99568
57600;Papua;Kabupaten;Tolikara;Kanggime (Kanggima );Kerena;99568
57601;Papua;Kabupaten;Tolikara;Kanggime (Kanggima );Lawor (Lawori);99569
57602;Papua;Kabupaten;Tolikara;Kanggime (Kanggima );Ligiibak / Ligimbak (Lagimbak);99568
57603;Papua;Kabupaten;Tolikara;Kanggime (Kanggima );Logon;99568
57604;Papua;Kabupaten;Tolikara;Kanggime (Kanggima );Marlo;99568
57605;Papua;Kabupaten;Tolikara;Kanggime (Kanggima );Purugi;99568
57606;Papua;Kabupaten;Tolikara;Karubaga;Ampera;99562
57607;Papua;Kabupaten;Tolikara;Karubaga;Beleme;99562
57608;Papua;Kabupaten;Tolikara;Karubaga;Danggulurik;99562
57609;Papua;Kabupaten;Tolikara;Karubaga;Ebenhaiser;99562
57610;Papua;Kabupaten;Tolikara;Karubaga;Elsadai;99562
57611;Papua;Kabupaten;Tolikara;Karubaga;Gininggadonak;99562
57612;Papua;Kabupaten;Tolikara;Karubaga;Gurikagewa;99562
57613;Papua;Kabupaten;Tolikara;Karubaga;Gurikme;99562
57614;Papua;Kabupaten;Tolikara;Karubaga;Karubaga;99562
57615;Papua;Kabupaten;Tolikara;Karubaga;Kimobur;99562
57616;Papua;Kabupaten;Tolikara;Karubaga;Kiranage;99562
57617;Papua;Kabupaten;Tolikara;Karubaga;Kogimagi;99562
57618;Papua;Kabupaten;Tolikara;Karubaga;Kolilan;99562
57619;Papua;Kabupaten;Tolikara;Karubaga;Kuloname;99562
57620;Papua;Kabupaten;Tolikara;Karubaga;Kuragepura;99562
57621;Papua;Kabupaten;Tolikara;Karubaga;Lirak;99562
57622;Papua;Kabupaten;Tolikara;Karubaga;Losmen;99562
57623;Papua;Kabupaten;Tolikara;Karubaga;Luwik;99562
57624;Papua;Kabupaten;Tolikara;Karubaga;Molera;99562
57625;Papua;Kabupaten;Tolikara;Karubaga;Muara;99562
57626;Papua;Kabupaten;Tolikara;Karubaga;Nalorini;99562
