No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
58002;Papua;Kabupaten;Waropen;Wapoga;Pirare;98261
58003;Papua;Kabupaten;Waropen;Wapoga;Syewa Merare;98261
58004;Papua;Kabupaten;Waropen;Wapoga;Wapoga;98261
58005;Papua;Kabupaten;Waropen;Wapoga;Waweri;98261
58006;Papua;Kabupaten;Waropen;Waropen Bawah;Nau;98261
58007;Papua;Kabupaten;Waropen;Waropen Bawah;Nonomi;98261
58008;Papua;Kabupaten;Waropen;Waropen Bawah;Ruambak Jaya;98261
58009;Papua;Kabupaten;Waropen;Waropen Bawah;Sawara Jaya;98261
58010;Papua;Kabupaten;Waropen;Waropen Bawah;Uri;98261
58011;Papua;Kabupaten;Waropen;Waropen Bawah;Waren Dua (II);98261
58012;Papua;Kabupaten;Waropen;Waropen Bawah;Waren Satu (I);98261
58013;Papua;Kabupaten;Waropen;Wonti;Bakadaro;98263
58014;Papua;Kabupaten;Waropen;Wonti;Borumei;98263
58015;Papua;Kabupaten;Waropen;Wonti;Fimore;98263
58016;Papua;Kabupaten;Waropen;Wonti;Gheroi;98263
58017;Papua;Kabupaten;Waropen;Wonti;Ghoiwi Samberi;98263
58018;Papua;Kabupaten;Waropen;Wonti;Moyufuri;98263
58019;Papua;Kabupaten;Waropen;Wonti;Odase;98263
58020;Papua;Kabupaten;Waropen;Wonti;Sifuisera;98263
58021;Papua;Kabupaten;Waropen;Wonti;Wanda;98263
58022;Papua;Kabupaten;Waropen;Wonti;Wonti Kai;98263
58023;Papua;Kabupaten;Yahukimo;Amuma;Amuma;99571
58024;Papua;Kabupaten;Yahukimo;Amuma;Balum Erang;99571
58025;Papua;Kabupaten;Yahukimo;Amuma;Golowen;99571
58026;Papua;Kabupaten;Yahukimo;Amuma;Harapan;99571
58027;Papua;Kabupaten;Yahukimo;Amuma;Kinika;99571
58028;Papua;Kabupaten;Yahukimo;Amuma;Orugai;99571
58029;Papua;Kabupaten;Yahukimo;Amuma;Plau;99571
58030;Papua;Kabupaten;Yahukimo;Amuma;Sagasal;99571
58031;Papua;Kabupaten;Yahukimo;Amuma;Sarmuge;99571
58032;Papua;Kabupaten;Yahukimo;Amuma;Silorin;99571
58033;Papua;Kabupaten;Yahukimo;Amuma;Tolikapura (Talikapura);99571
58034;Papua;Kabupaten;Yahukimo;Amuma;Waeklek;99571
58035;Papua;Kabupaten;Yahukimo;Amuma;Wisikma;99571
58036;Papua;Kabupaten;Yahukimo;Anggruk;Hohe;99582
58037;Papua;Kabupaten;Yahukimo;Anggruk;Ilwap;99582
58038;Papua;Kabupaten;Yahukimo;Anggruk;Kiltam;99582
58039;Papua;Kabupaten;Yahukimo;Anggruk;Lelambo;99582
58040;Papua;Kabupaten;Yahukimo;Anggruk;Letin;99582
58041;Papua;Kabupaten;Yahukimo;Anggruk;Paliptek;99582
58042;Papua;Kabupaten;Yahukimo;Anggruk;Pilong;99582
58043;Papua;Kabupaten;Yahukimo;Anggruk;Suahi;99582
58044;Papua;Kabupaten;Yahukimo;Anggruk;Tohong;99582
58045;Papua;Kabupaten;Yahukimo;Anggruk;Tulpa;99582
58046;Papua;Kabupaten;Yahukimo;Anggruk;Vuno;99582
58047;Papua;Kabupaten;Yahukimo;Anggruk;Yaholikma;99582
58048;Papua;Kabupaten;Yahukimo;Bomela;Bomela;99578
58049;Papua;Kabupaten;Yahukimo;Bomela;Kitikni;99578
58050;Papua;Kabupaten;Yahukimo;Bomela;Kubialat;99578
58051;Papua;Kabupaten;Yahukimo;Bomela;Palamdua;99578
58052;Papua;Kabupaten;Yahukimo;Bomela;Sombat;99578
58053;Papua;Kabupaten;Yahukimo;Bomela;Yalmabi;99578
58054;Papua;Kabupaten;Yahukimo;Dekai;Dekai;99571
58055;Papua;Kabupaten;Yahukimo;Dekai;Keikey;99571
58056;Papua;Kabupaten;Yahukimo;Dekai;Kiribun;99571
58057;Papua;Kabupaten;Yahukimo;Dekai;Kokamu;99571
58058;Papua;Kabupaten;Yahukimo;Dekai;Kuari;99571
58059;Papua;Kabupaten;Yahukimo;Dekai;Kuaserama;99571
58060;Papua;Kabupaten;Yahukimo;Dekai;Maruku;99571
58061;Papua;Kabupaten;Yahukimo;Dekai;Massi;99571
58062;Papua;Kabupaten;Yahukimo;Dekai;Muara;99571
58063;Papua;Kabupaten;Yahukimo;Dekai;Sokamu;99571
58064;Papua;Kabupaten;Yahukimo;Dekai;Toman I;99571
58065;Papua;Kabupaten;Yahukimo;Dekai;Toman II;99571
58066;Papua;Kabupaten;Yahukimo;Dirwemna (Diruwena);Aksal;99582
58067;Papua;Kabupaten;Yahukimo;Dirwemna (Diruwena);Dirwemna;99582
58068;Papua;Kabupaten;Yahukimo;Dirwemna (Diruwena);Dolsen;99582
58069;Papua;Kabupaten;Yahukimo;Dirwemna (Diruwena);Salengkomo;99582
58070;Papua;Kabupaten;Yahukimo;Dirwemna (Diruwena);Silion;99582
58071;Papua;Kabupaten;Yahukimo;Duram;Dengat;99582
58072;Papua;Kabupaten;Yahukimo;Duram;Digitme;99582
58073;Papua;Kabupaten;Yahukimo;Duram;Duram;99582
58074;Papua;Kabupaten;Yahukimo;Duram;Goak;99582
58075;Papua;Kabupaten;Yahukimo;Duram;Niniwi;99582
58076;Papua;Kabupaten;Yahukimo;Duram;Yaminikma;99582
58077;Papua;Kabupaten;Yahukimo;Endomen;Delon;99582
58078;Papua;Kabupaten;Yahukimo;Endomen;Endomen;99582
58079;Papua;Kabupaten;Yahukimo;Endomen;Galsin;99582
58080;Papua;Kabupaten;Yahukimo;Endomen;Gidomen;99582
58081;Papua;Kabupaten;Yahukimo;Endomen;Kouwet;99582
58082;Papua;Kabupaten;Yahukimo;Endomen;Oklahama;99582
58083;Papua;Kabupaten;Yahukimo;Endomen;Sentul;99582
58084;Papua;Kabupaten;Yahukimo;Endomen;Suron;99582
58085;Papua;Kabupaten;Yahukimo;Hereapini (Hereanini);Hereapini (Heriapini);99582
58086;Papua;Kabupaten;Yahukimo;Hereapini (Hereanini);Hoet;99582
58087;Papua;Kabupaten;Yahukimo;Hereapini (Hereanini);Homboki;99582
58088;Papua;Kabupaten;Yahukimo;Hereapini (Hereanini);Kabukal;99582
58089;Papua;Kabupaten;Yahukimo;Hereapini (Hereanini);Kinkun;99582
58090;Papua;Kabupaten;Yahukimo;Hereapini (Hereanini);Menetsing;99582
58091;Papua;Kabupaten;Yahukimo;Hereapini (Hereanini);Muhumu;99582
58092;Papua;Kabupaten;Yahukimo;Hereapini (Hereanini);Nelisa;99582
58093;Papua;Kabupaten;Yahukimo;Hereapini (Hereanini);Ohena;99582
58094;Papua;Kabupaten;Yahukimo;Hereapini (Hereanini);Pelentum (Palentum);99582
58095;Papua;Kabupaten;Yahukimo;Hereapini (Hereanini);Pue;99582
58096;Papua;Kabupaten;Yahukimo;Hilipuk;Dindok;99578
58097;Papua;Kabupaten;Yahukimo;Hilipuk;Hilipuk;99578
58098;Papua;Kabupaten;Yahukimo;Hilipuk;Homidipmu;99578
58099;Papua;Kabupaten;Yahukimo;Hilipuk;Kini;99578
58100;Papua;Kabupaten;Yahukimo;Hilipuk;Sohondipmu;99578
58101;Papua;Kabupaten;Yahukimo;Hilipuk;Yamin;99578
58102;Papua;Kabupaten;Yahukimo;Hilipuk;Yaruhuk;99578
58103;Papua;Kabupaten;Yahukimo;Hogio (Hugio);Dugumhad;99571
58104;Papua;Kabupaten;Yahukimo;Hogio (Hugio);Hogio Dua / II;99571
58105;Papua;Kabupaten;Yahukimo;Hogio (Hugio);Hogio Satu / I;99571
58106;Papua;Kabupaten;Yahukimo;Hogio (Hugio);Leleak;99571
58107;Papua;Kabupaten;Yahukimo;Hogio (Hugio);Paima;99571
58108;Papua;Kabupaten;Yahukimo;Hogio (Hugio);Sengsenagaik;99571
58109;Papua;Kabupaten;Yahukimo;Hogio (Hugio);Sipnidipmu;99571
58110;Papua;Kabupaten;Yahukimo;Hogio (Hugio);Subsal;99571
58111;Papua;Kabupaten;Yahukimo;Holuon;Bineleruk;99578
58112;Papua;Kabupaten;Yahukimo;Holuon;Danggema;99578
58113;Papua;Kabupaten;Yahukimo;Holuon;Holuwon (Holuon);99578
58114;Papua;Kabupaten;Yahukimo;Holuon;Sia;99578
58115;Papua;Kabupaten;Yahukimo;Holuon;Sohonggik;99578
58116;Papua;Kabupaten;Yahukimo;Holuon;Sosi;99578
58117;Papua;Kabupaten;Yahukimo;Holuon;Weni;99578
58118;Papua;Kabupaten;Yahukimo;Kabianggama (Kabianggema);Bahbolma;99578
