No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
58502;Papua;Kabupaten;Yahukimo;Werima;Libuk;99571
58503;Papua;Kabupaten;Yahukimo;Werima;Lokon;99571
58504;Papua;Kabupaten;Yahukimo;Werima;Luarima;99571
58505;Papua;Kabupaten;Yahukimo;Werima;Nesuwen;99571
58506;Papua;Kabupaten;Yahukimo;Werima;Suesi;99571
58507;Papua;Kabupaten;Yahukimo;Werima;Weriaput;99571
58508;Papua;Kabupaten;Yahukimo;Werima;Werima;99571
58509;Papua;Kabupaten;Yahukimo;Werima;Wesagalep;99571
58510;Papua;Kabupaten;Yahukimo;Werima;Wesama;99571
58511;Papua;Kabupaten;Yahukimo;Wusuma;Apdagma (Apdakma);99571
58512;Papua;Kabupaten;Yahukimo;Wusuma;Harap;99571
58513;Papua;Kabupaten;Yahukimo;Wusuma;Kolodoma;99571
58514;Papua;Kabupaten;Yahukimo;Wusuma;Mugi (Mogi);99571
58515;Papua;Kabupaten;Yahukimo;Wusuma;Mul;99571
58516;Papua;Kabupaten;Yahukimo;Wusuma;Sabin;99571
58517;Papua;Kabupaten;Yahukimo;Wusuma;Sangatur;99571
58518;Papua;Kabupaten;Yahukimo;Wusuma;Sowaling;99571
58519;Papua;Kabupaten;Yahukimo;Wusuma;Suok;99571
58520;Papua;Kabupaten;Yahukimo;Wusuma;Walkuma;99571
58521;Papua;Kabupaten;Yahukimo;Wusuma;Yerekama;99571
58522;Papua;Kabupaten;Yahukimo;Yahuliambut;Amfulma;99578
58523;Papua;Kabupaten;Yahukimo;Yahuliambut;Linggisen;99578
58524;Papua;Kabupaten;Yahukimo;Yahuliambut;Subundalek;99578
58525;Papua;Kabupaten;Yahukimo;Yahuliambut;Suksale;99578
58526;Papua;Kabupaten;Yahukimo;Yahuliambut;Tanggeam;99578
58527;Papua;Kabupaten;Yahukimo;Yogosem;Esahapuk;99571
58528;Papua;Kabupaten;Yahukimo;Yogosem;Hokolekma;99571
58529;Papua;Kabupaten;Yahukimo;Yogosem;Kiroma;99571
58530;Papua;Kabupaten;Yahukimo;Yogosem;Mesahaput;99571
58531;Papua;Kabupaten;Yahukimo;Yogosem;Saikama;99571
58532;Papua;Kabupaten;Yahukimo;Yogosem;Sogasio;99571
58533;Papua;Kabupaten;Yahukimo;Yogosem;Yogosem;99571
58534;Papua;Kabupaten;Yalimo;Abenaho;Abagima;99587
58535;Papua;Kabupaten;Yalimo;Abenaho;Abenaho;99587
58536;Papua;Kabupaten;Yalimo;Abenaho;Agris;99587
58537;Papua;Kabupaten;Yalimo;Abenaho;Alugi;99587
58538;Papua;Kabupaten;Yalimo;Abenaho;Amuki;99587
58539;Papua;Kabupaten;Yalimo;Abenaho;Arikbalek;99587
58540;Papua;Kabupaten;Yalimo;Abenaho;Babin;99587
58541;Papua;Kabupaten;Yalimo;Abenaho;Beim;99587
58542;Papua;Kabupaten;Yalimo;Abenaho;Bohum;99587
58543;Papua;Kabupaten;Yalimo;Abenaho;Bonahik;99587
58544;Papua;Kabupaten;Yalimo;Abenaho;Bonggi;99587
58545;Papua;Kabupaten;Yalimo;Abenaho;Bukurik;99587
58546;Papua;Kabupaten;Yalimo;Abenaho;Bumbum;99587
58547;Papua;Kabupaten;Yalimo;Abenaho;Burim;99587
58548;Papua;Kabupaten;Yalimo;Abenaho;Dahonaikma;99587
58549;Papua;Kabupaten;Yalimo;Abenaho;Dama;99587
58550;Papua;Kabupaten;Yalimo;Abenaho;Dombomi;99587
58551;Papua;Kabupaten;Yalimo;Abenaho;Dosumo;99587
58552;Papua;Kabupaten;Yalimo;Abenaho;Elesim;99587
58553;Papua;Kabupaten;Yalimo;Abenaho;Eliekma;99587
58554;Papua;Kabupaten;Yalimo;Abenaho;Fialem;99587
58555;Papua;Kabupaten;Yalimo;Abenaho;Fuahe;99587
58556;Papua;Kabupaten;Yalimo;Abenaho;Fuim;99587
58557;Papua;Kabupaten;Yalimo;Abenaho;Gefindo;99587
58558;Papua;Kabupaten;Yalimo;Abenaho;Halifur;99587
58559;Papua;Kabupaten;Yalimo;Abenaho;Halisek;99587
58560;Papua;Kabupaten;Yalimo;Abenaho;Heahobak;99587
58561;Papua;Kabupaten;Yalimo;Abenaho;Helaksili;99587
58562;Papua;Kabupaten;Yalimo;Abenaho;Hobualma;99587
58563;Papua;Kabupaten;Yalimo;Abenaho;Hombanman;99587
58564;Papua;Kabupaten;Yalimo;Abenaho;Horakia;99587
58565;Papua;Kabupaten;Yalimo;Abenaho;Horenikma;99587
58566;Papua;Kabupaten;Yalimo;Abenaho;Hubliki;99587
58567;Papua;Kabupaten;Yalimo;Abenaho;Hulhule;99587
58568;Papua;Kabupaten;Yalimo;Abenaho;Hulikma;99587
58569;Papua;Kabupaten;Yalimo;Abenaho;Humalma;99587
58570;Papua;Kabupaten;Yalimo;Abenaho;Hundilip;99587
58571;Papua;Kabupaten;Yalimo;Abenaho;Hurualma;99587
58572;Papua;Kabupaten;Yalimo;Abenaho;Jinggiwi;99587
58573;Papua;Kabupaten;Yalimo;Abenaho;Kandibung;99587
58574;Papua;Kabupaten;Yalimo;Abenaho;Kawokholik;99587
58575;Papua;Kabupaten;Yalimo;Abenaho;Kesuwi;99587
58576;Papua;Kabupaten;Yalimo;Abenaho;Kewi;99587
58577;Papua;Kabupaten;Yalimo;Abenaho;Klesu;99587
58578;Papua;Kabupaten;Yalimo;Abenaho;Kolaima;99587
58579;Papua;Kabupaten;Yalimo;Abenaho;Kule;99587
58580;Papua;Kabupaten;Yalimo;Abenaho;Landikma;99587
58581;Papua;Kabupaten;Yalimo;Abenaho;Langongkok;99587
58582;Papua;Kabupaten;Yalimo;Abenaho;Lasikma;99587
58583;Papua;Kabupaten;Yalimo;Abenaho;Lilinmuhuk;99587
58584;Papua;Kabupaten;Yalimo;Abenaho;Lilukikma;99587
58585;Papua;Kabupaten;Yalimo;Abenaho;Lohomabel;99587
58586;Papua;Kabupaten;Yalimo;Abenaho;Mahial;99587
58587;Papua;Kabupaten;Yalimo;Abenaho;Maleo;99587
58588;Papua;Kabupaten;Yalimo;Abenaho;Moban;99587
58589;Papua;Kabupaten;Yalimo;Abenaho;Mulip;99587
58590;Papua;Kabupaten;Yalimo;Abenaho;Musanahikma;99587
58591;Papua;Kabupaten;Yalimo;Abenaho;Nenomani;99587
58592;Papua;Kabupaten;Yalimo;Abenaho;Noholuok;99587
58593;Papua;Kabupaten;Yalimo;Abenaho;Obabin;99587
58594;Papua;Kabupaten;Yalimo;Abenaho;Pamumu;99587
58595;Papua;Kabupaten;Yalimo;Abenaho;Pirikalem;99587
58596;Papua;Kabupaten;Yalimo;Abenaho;Sabilironggo;99587
58597;Papua;Kabupaten;Yalimo;Abenaho;Sahikma;99587
58598;Papua;Kabupaten;Yalimo;Abenaho;Salo;99587
58599;Papua;Kabupaten;Yalimo;Abenaho;Salohe;99587
58600;Papua;Kabupaten;Yalimo;Abenaho;Sapiwarek;99587
58601;Papua;Kabupaten;Yalimo;Abenaho;Sebi;99587
58602;Papua;Kabupaten;Yalimo;Abenaho;Sohi;99587
58603;Papua;Kabupaten;Yalimo;Abenaho;Sohombunu;99587
58604;Papua;Kabupaten;Yalimo;Abenaho;Sombule;99587
58605;Papua;Kabupaten;Yalimo;Abenaho;Suahe;99587
58606;Papua;Kabupaten;Yalimo;Abenaho;Suele;99587
58607;Papua;Kabupaten;Yalimo;Abenaho;Sumbul;99587
58608;Papua;Kabupaten;Yalimo;Abenaho;Suminaikma;99587
58609;Papua;Kabupaten;Yalimo;Abenaho;Tagabaga;99587
58610;Papua;Kabupaten;Yalimo;Abenaho;Uluhufuk;99587
58611;Papua;Kabupaten;Yalimo;Abenaho;Ulukhumi;99587
58612;Papua;Kabupaten;Yalimo;Abenaho;Ulun;99587
58613;Papua;Kabupaten;Yalimo;Abenaho;Ulusi;99587
58614;Papua;Kabupaten;Yalimo;Abenaho;Usabiye;99587
58615;Papua;Kabupaten;Yalimo;Abenaho;Wafuhuk;99587
58616;Papua;Kabupaten;Yalimo;Abenaho;Waghasilimo;99587
58617;Papua;Kabupaten;Yalimo;Abenaho;Walagima;99587
58618;Papua;Kabupaten;Yalimo;Abenaho;Wambal;99587
58619;Papua;Kabupaten;Yalimo;Abenaho;Wambalfak;99587
58620;Papua;Kabupaten;Yalimo;Abenaho;Wambo;99587
58621;Papua;Kabupaten;Yalimo;Abenaho;Wamhor;99587
58622;Papua;Kabupaten;Yalimo;Abenaho;Wanam;99587
58623;Papua;Kabupaten;Yalimo;Abenaho;Wanggibo;99587
58624;Papua;Kabupaten;Yalimo;Abenaho;Wangkun;99587
58625;Papua;Kabupaten;Yalimo;Abenaho;Wanmal;99587
58626;Papua;Kabupaten;Yalimo;Abenaho;Waroham;99587
58627;Papua;Kabupaten;Yalimo;Abenaho;Wilak;99587
58628;Papua;Kabupaten;Yalimo;Abenaho;Wileroma;99587
58629;Papua;Kabupaten;Yalimo;Abenaho;Wilofing;99587
58630;Papua;Kabupaten;Yalimo;Abenaho;Wiltlanggo;99587
58631;Papua;Kabupaten;Yalimo;Abenaho;Wiwulik;99587
58632;Papua;Kabupaten;Yalimo;Abenaho;Worol;99587
58633;Papua;Kabupaten;Yalimo;Abenaho;Wutlarin;99587
58634;Papua;Kabupaten;Yalimo;Abenaho;Yabusup;99587
58635;Papua;Kabupaten;Yalimo;Abenaho;Yahatma;99587
58636;Papua;Kabupaten;Yalimo;Abenaho;Yama;99587
58637;Papua;Kabupaten;Yalimo;Abenaho;Yambaikma;99587
58638;Papua;Kabupaten;Yalimo;Abenaho;Yanamik;99587
58639;Papua;Kabupaten;Yalimo;Abenaho;Yawan;99587
58640;Papua;Kabupaten;Yalimo;Abenaho;Yutanggo;99587
58641;Papua;Kabupaten;Yalimo;Apalapsili;Alimuhuk;99586
58642;Papua;Kabupaten;Yalimo;Apalapsili;Apalapsili;99586
58643;Papua;Kabupaten;Yalimo;Apalapsili;Asiligma;99586
58644;Papua;Kabupaten;Yalimo;Apalapsili;Asilikma;99586
58645;Papua;Kabupaten;Yalimo;Apalapsili;Babtekma;99586
58646;Papua;Kabupaten;Yalimo;Apalapsili;Benyam;99586
58647;Papua;Kabupaten;Yalimo;Apalapsili;Eal;99586
58648;Papua;Kabupaten;Yalimo;Apalapsili;Falukwalilo;99586
58649;Papua;Kabupaten;Yalimo;Apalapsili;Fari;99586
58650;Papua;Kabupaten;Yalimo;Apalapsili;Filiyahik;99586
58651;Papua;Kabupaten;Yalimo;Apalapsili;Habalo;99586
58652;Papua;Kabupaten;Yalimo;Apalapsili;Hinongkoambut;99586
58653;Papua;Kabupaten;Yalimo;Apalapsili;Holuaogalma;99586
58654;Papua;Kabupaten;Yalimo;Apalapsili;Holuokalem;99586
58655;Papua;Kabupaten;Yalimo;Apalapsili;Hubliki;99586
58656;Papua;Kabupaten;Yalimo;Apalapsili;Hukalopunu;99586
58657;Papua;Kabupaten;Yalimo;Apalapsili;Humalen;99586
58658;Papua;Kabupaten;Yalimo;Apalapsili;Ilirek;99586
58659;Papua;Kabupaten;Yalimo;Apalapsili;Kelampurim;99586
58660;Papua;Kabupaten;Yalimo;Apalapsili;Kengggembun;99586
58661;Papua;Kabupaten;Yalimo;Apalapsili;Kilat;99586
58662;Papua;Kabupaten;Yalimo;Apalapsili;Kinhe;99586
58663;Papua;Kabupaten;Yalimo;Apalapsili;Kulet;99586
58664;Papua;Kabupaten;Yalimo;Apalapsili;Kundikele;99586
58665;Papua;Kabupaten;Yalimo;Apalapsili;Lambukmu;99586
58666;Papua;Kabupaten;Yalimo;Apalapsili;Lilinsaluk;99586
58667;Papua;Kabupaten;Yalimo;Apalapsili;Makrig;99586
58668;Papua;Kabupaten;Yalimo;Apalapsili;Moliyinggi;99586
58669;Papua;Kabupaten;Yalimo;Apalapsili;Nanahoruk;99586
58670;Papua;Kabupaten;Yalimo;Apalapsili;Nasinena;99586
58671;Papua;Kabupaten;Yalimo;Apalapsili;Natoksili;99586
58672;Papua;Kabupaten;Yalimo;Apalapsili;Nohonil;99586
58673;Papua;Kabupaten;Yalimo;Apalapsili;Orohon;99586
58674;Papua;Kabupaten;Yalimo;Apalapsili;Pipisim;99586
58675;Papua;Kabupaten;Yalimo;Apalapsili;Pong;99586
58676;Papua;Kabupaten;Yalimo;Apalapsili;Sabilikalem;99586
58677;Papua;Kabupaten;Yalimo;Apalapsili;Sabualo;99586
58678;Papua;Kabupaten;Yalimo;Apalapsili;Sien;99586
58679;Papua;Kabupaten;Yalimo;Apalapsili;Sobikambut;99586
58680;Papua;Kabupaten;Yalimo;Apalapsili;Suerelihim;99586
58681;Papua;Kabupaten;Yalimo;Apalapsili;Suweli;99586
58682;Papua;Kabupaten;Yalimo;Apalapsili;Tembut;99586
58683;Papua;Kabupaten;Yalimo;Apalapsili;Tikano;99586
58684;Papua;Kabupaten;Yalimo;Apalapsili;Wanamalo;99586
58685;Papua;Kabupaten;Yalimo;Apalapsili;Wasalalo;99586
58686;Papua;Kabupaten;Yalimo;Apalapsili;Wiralesili;99586
58687;Papua;Kabupaten;Yalimo;Apalapsili;Wiyukwilik;99586
58688;Papua;Kabupaten;Yalimo;Apalapsili;Yarema Satu;99586
58689;Papua;Kabupaten;Yalimo;Apalapsili;Yeftek;99586
58690;Papua;Kabupaten;Yalimo;Apalapsili;Yohul;99586
58691;Papua;Kabupaten;Yalimo;Benawa;Ampera;99583
58692;Papua;Kabupaten;Yalimo;Benawa;Dukunasi;99583
58693;Papua;Kabupaten;Yalimo;Benawa;Gilika;99583
58694;Papua;Kabupaten;Yalimo;Benawa;Himi;99583
58695;Papua;Kabupaten;Yalimo;Benawa;Ikon;99583
58696;Papua;Kabupaten;Yalimo;Benawa;Iyap;99583
58697;Papua;Kabupaten;Yalimo;Benawa;Kamika;99583
58698;Papua;Kabupaten;Yalimo;Benawa;Kapawa;99583
58699;Papua;Kabupaten;Yalimo;Benawa;Karamina;99583
58700;Papua;Kabupaten;Yalimo;Benawa;Key;99583
58701;Papua;Kabupaten;Yalimo;Benawa;Konobun;99583
58702;Papua;Kabupaten;Yalimo;Benawa;Kukdomol;99583
