No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
59002;Papua Barat;Kabupaten;Kaimana;Kaimana;Murano;98654
59003;Papua Barat;Kabupaten;Kaimana;Kaimana;Namatota;98654
59004;Papua Barat;Kabupaten;Kaimana;Kaimana;Oray;98654
59005;Papua Barat;Kabupaten;Kaimana;Kaimana;Sara;98654
59006;Papua Barat;Kabupaten;Kaimana;Kaimana;Saria;98654
59007;Papua Barat;Kabupaten;Kaimana;Kaimana;Sisir;98654
59008;Papua Barat;Kabupaten;Kaimana;Kaimana;Tanggaromi;98654
59009;Papua Barat;Kabupaten;Kaimana;Kaimana;Trikora;98654
59010;Papua Barat;Kabupaten;Kaimana;Kaimana;Werua;98654
59011;Papua Barat;Kabupaten;Kaimana;Kambraw (Kamberau);Bahumia;98654
59012;Papua Barat;Kabupaten;Kaimana;Kambraw (Kamberau);Kooy;98654
59013;Papua Barat;Kabupaten;Kaimana;Kambraw (Kamberau);Rauna;98654
59014;Papua Barat;Kabupaten;Kaimana;Kambraw (Kamberau);Sermuku (Ubia Sermuku);98654
59015;Papua Barat;Kabupaten;Kaimana;Kambraw (Kamberau);Waho;98654
59016;Papua Barat;Kabupaten;Kaimana;Kambraw (Kamberau);Wamesa;98654
59017;Papua Barat;Kabupaten;Kaimana;Kambraw (Kamberau);Werafuta;98654
59018;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Afuafu;98653
59019;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Bayeda;98653
59020;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Bofuwer;98653
59021;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Borogerba;98653
59022;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Erigara;98653
59023;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Feternu (Fetermu);98653
59024;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Fudima;98653
59025;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Furnusu (Fumusu);98653
59026;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Gusi;98653
59027;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Kensi (Kasira);98653
59028;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Kokoroba;98653
59029;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Maskur;98653
59030;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Moyana;98653
59031;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Pigo;98653
59032;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Sawatewera (Sawatawera);98653
59033;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Sawi (Sawia);98653
59034;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Tiwara;98653
59035;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Tuguwara;98653
59036;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Turgani (Tugarni);98653
59037;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Wainaga;98653
59038;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Wanggita;98653
59039;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Warua;98653
59040;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Warwasi;98653
59041;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Atas;Weswasa;98653
59042;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Egerwara;98653
59043;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Inari;98653
59044;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Jawera;98653
59045;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Kufuriyai;98653
59046;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Manggera;98653
59047;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Nagura;98653
59048;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Ruwara;98653
59049;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Seraran;98653
59050;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Sumun;98653
59051;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Tanusan;98653
59052;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Ukiara;98653
59053;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Urisa;98653
59054;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Wanoma;98653
59055;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Waromi;98653
59056;Papua Barat;Kabupaten;Kaimana;Teluk Arguni Bawah (Yerusi);Wermenu;98653
59057;Papua Barat;Kabupaten;Kaimana;Teluk Etna;Bamana;98655
