No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
59502;Papua Barat;Kabupaten;Maybrat;Ayamaru Tengah;Men;98461
59503;Papua Barat;Kabupaten;Maybrat;Ayamaru Tengah;Rindu;98461
59504;Papua Barat;Kabupaten;Maybrat;Ayamaru Tengah;Semu;98461
59505;Papua Barat;Kabupaten;Maybrat;Ayamaru Tengah;Tut;98461
59506;Papua Barat;Kabupaten;Maybrat;Ayamaru Tengah;Yohwer;98461
59507;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur;Faitmajin;98461
59508;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur;Faitsiur;98461
59509;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur;Huberita;98461
59510;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur;Insas;98461
59511;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur;Ismayu;98461
59512;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur;Kambuaya;98461
59513;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur;Keyum;98461
59514;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur;Sefayit;98461
59515;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur Selatan;Faitwosur;98461
59516;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur Selatan;Isusu;98461
59517;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur Selatan;Kambuifa;98461
59518;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur Selatan;Kambuskato;98461
59519;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur Selatan;Kambuskato Utara;98461
59520;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur Selatan;Mano;98461
59521;Papua Barat;Kabupaten;Maybrat;Ayamaru Timur Selatan;Sipat;98461
59522;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Asmuruf Tee;98461
59523;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Asmuruf U;98461
59524;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Bohwat;98461
59525;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Fan;98461
59526;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Fategomi;98461
59527;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Framafir;98461
59528;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Gohsames;98461
59529;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Inta;98461
59530;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Mirafan;98461
59531;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Subrit;98461
59532;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Tehak Besar;98461
59533;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara;Tehak Tee;98461
59534;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara Timur;Frabo;98461
59535;Papua Barat;Kabupaten;Maybrat;Ayamaru Utara Timur;Karfa;98461
