No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
60002;Papua Barat;Kabupaten;Sorong;Sayosa;Luwelala (Suwelala);98471
60003;Papua Barat;Kabupaten;Sorong;Sayosa;Maladofok;98471
60004;Papua Barat;Kabupaten;Sorong;Sayosa;Sailala;98471
60005;Papua Barat;Kabupaten;Sorong;Sayosa;Saluk;98471
60006;Papua Barat;Kabupaten;Sorong;Seget;Kasim;98452
60007;Papua Barat;Kabupaten;Sorong;Seget;Kasimle;98452
60008;Papua Barat;Kabupaten;Sorong;Seget;Klayas;98452
60009;Papua Barat;Kabupaten;Sorong;Seget;Malabam (Malaban);98452
60010;Papua Barat;Kabupaten;Sorong;Seget;Seget;98452
60011;Papua Barat;Kabupaten;Sorong;Seget;Wajin;98452
60012;Papua Barat;Kabupaten;Sorong;Seget;Wasingsan;98452
60013;Papua Barat;Kabupaten;Sorong;Seget;Wayenkede;98452
60014;Papua Barat;Kabupaten;Sorong;Segun;Gisim;98452
60015;Papua Barat;Kabupaten;Sorong;Segun;Klasigon (Klasegun);98452
60016;Papua Barat;Kabupaten;Sorong;Segun;Majemau;98452
60017;Papua Barat;Kabupaten;Sorong;Segun;Segun;98452
60018;Papua Barat;Kabupaten;Sorong;Segun;Waimon;98452
60019;Papua Barat;Kabupaten;Sorong;Segun;Wainlabat;98452
60020;Papua Barat;Kabupaten;Sorong Selatan;Fokour;Bemus;98456
60021;Papua Barat;Kabupaten;Sorong Selatan;Fokour;Pasir Putih;98456
60022;Papua Barat;Kabupaten;Sorong Selatan;Fokour;Wandum;98456
60023;Papua Barat;Kabupaten;Sorong Selatan;Fokour;Welek;98456
60024;Papua Barat;Kabupaten;Sorong Selatan;Inanwatan (Inawatan);Isogo;98455
60025;Papua Barat;Kabupaten;Sorong Selatan;Inanwatan (Inawatan);Mate;98455
60026;Papua Barat;Kabupaten;Sorong Selatan;Inanwatan (Inawatan);Mogibi;98455
60027;Papua Barat;Kabupaten;Sorong Selatan;Inanwatan (Inawatan);Odeare;98455
60028;Papua Barat;Kabupaten;Sorong Selatan;Inanwatan (Inawatan);Serkos;98455
60029;Papua Barat;Kabupaten;Sorong Selatan;Inanwatan (Inawatan);Sibae;98455
60030;Papua Barat;Kabupaten;Sorong Selatan;Inanwatan (Inawatan);Siri-siri;98455
60031;Papua Barat;Kabupaten;Sorong Selatan;Inanwatan (Inawatan);Solta Baru;98455
60032;Papua Barat;Kabupaten;Sorong Selatan;Inanwatan (Inawatan);Wadoi;98455
60033;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Benawa I;98455
60034;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Haemaran (Kurana);98455
60035;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Ikana;98455
60036;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Kais;98455
60037;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Makaroro;98455
60038;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Mogotemin (Mogatemin);98455
60039;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Mukamat;98455
60040;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Onimsefa;98455
60041;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Siranggo;98455
60042;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Sumano;98455
60043;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Tapuri;98455
60044;Papua Barat;Kabupaten;Sorong Selatan;Kais (Matemani Kais);Yahadian;98455
60045;Papua Barat;Kabupaten;Sorong Selatan;Kokoda;Arbasina;98455
60046;Papua Barat;Kabupaten;Sorong Selatan;Kokoda;Birawaku;98455
60047;Papua Barat;Kabupaten;Sorong Selatan;Kokoda;Daimar;98455
60048;Papua Barat;Kabupaten;Sorong Selatan;Kokoda;Daubak;98455
60049;Papua Barat;Kabupaten;Sorong Selatan;Kokoda;Kasuweri;98455
60050;Papua Barat;Kabupaten;Sorong Selatan;Kokoda;Korewatara;98455
60051;Papua Barat;Kabupaten;Sorong Selatan;Kokoda;Migori;98455
60052;Papua Barat;Kabupaten;Sorong Selatan;Kokoda;Migrito;98455
60053;Papua Barat;Kabupaten;Sorong Selatan;Kokoda;Nayakore;98455
60054;Papua Barat;Kabupaten;Sorong Selatan;Kokoda;Negeri Besar;98455
