No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
60502;Papua Barat;Kabupaten;Teluk Wondama;Roon;Syabes;98362
60503;Papua Barat;Kabupaten;Teluk Wondama;Roon;Yende;98362
60504;Papua Barat;Kabupaten;Teluk Wondama;Roswar;Syeiwar;98361
60505;Papua Barat;Kabupaten;Teluk Wondama;Roswar;Waprak;98361
60506;Papua Barat;Kabupaten;Teluk Wondama;Roswar;Yomber;98361
60507;Papua Barat;Kabupaten;Teluk Wondama;Rumberpon;Isenebuai (Senebuay/Senebuai);98361
60508;Papua Barat;Kabupaten;Teluk Wondama;Rumberpon;Iseren (Isren);98361
60509;Papua Barat;Kabupaten;Teluk Wondama;Rumberpon;Wetitindau;98361
60510;Papua Barat;Kabupaten;Teluk Wondama;Rumberpon;Yariari;98361
60511;Papua Barat;Kabupaten;Teluk Wondama;Rumberpon;Yembekiri II;98361
60512;Papua Barat;Kabupaten;Teluk Wondama;Rumberpon;Yomakan;98361
60513;Papua Barat;Kabupaten;Teluk Wondama;Rumberpon;Yombekiri I (Yembe Kiri);98361
60514;Papua Barat;Kabupaten;Teluk Wondama;Soug Jaya;Kaprus;98361
60515;Papua Barat;Kabupaten;Teluk Wondama;Soug Jaya;Nuspairo;98361
60516;Papua Barat;Kabupaten;Teluk Wondama;Soug Jaya;Reyob (Rayob);98361
60517;Papua Barat;Kabupaten;Teluk Wondama;Soug Jaya;Siresi;98361
60518;Papua Barat;Kabupaten;Teluk Wondama;Soug Jaya;Yarmatum (Yermatum);98361
60519;Papua Barat;Kabupaten;Teluk Wondama;Teluk Duairi (Wasior Utara);Aisandami;98362
60520;Papua Barat;Kabupaten;Teluk Wondama;Teluk Duairi (Wasior Utara);Sobei (Sobey);98362
60521;Papua Barat;Kabupaten;Teluk Wondama;Teluk Duairi (Wasior Utara);Sobey Indah;98362
60522;Papua Barat;Kabupaten;Teluk Wondama;Teluk Duairi (Wasior Utara);Yopanggar (Yopengar);98362
60523;Papua Barat;Kabupaten;Teluk Wondama;Wamesa;Ambuar;98361
60524;Papua Barat;Kabupaten;Teluk Wondama;Wamesa;Karuan;98361
60525;Papua Barat;Kabupaten;Teluk Wondama;Wamesa;Nordiwar;98361
60526;Papua Barat;Kabupaten;Teluk Wondama;Wamesa;Sabubar;98361
60527;Papua Barat;Kabupaten;Teluk Wondama;Wamesa;Yarpate;98361
60528;Papua Barat;Kabupaten;Teluk Wondama;Wasior;Dotir;98362
60529;Papua Barat;Kabupaten;Teluk Wondama;Wasior;Iriati;98362
60530;Papua Barat;Kabupaten;Teluk Wondama;Wasior;Maimare (Maimari);98362
60531;Papua Barat;Kabupaten;Teluk Wondama;Wasior;Maniwak;98362
60532;Papua Barat;Kabupaten;Teluk Wondama;Wasior;Moru (Gayabaru);98362
60533;Papua Barat;Kabupaten;Teluk Wondama;Wasior;Rado;98362
60534;Papua Barat;Kabupaten;Teluk Wondama;Wasior;Ramiki;98362
60535;Papua Barat;Kabupaten;Teluk Wondama;Wasior;Wasior I;98362
60536;Papua Barat;Kabupaten;Teluk Wondama;Wasior;Wasior II;98362
60537;Papua Barat;Kabupaten;Teluk Wondama;Wasior;Wondamawi;98362
60538;Papua Barat;Kabupaten;Teluk Wondama;Windesi;Sandey;98361
60539;Papua Barat;Kabupaten;Teluk Wondama;Windesi;Sombokoro;98361
60540;Papua Barat;Kabupaten;Teluk Wondama;Windesi;Wamesa Tengah;98361
60541;Papua Barat;Kabupaten;Teluk Wondama;Windesi;Windesi;98361
60542;Papua Barat;Kabupaten;Teluk Wondama;Windesi;Yopmios;98361
60543;Papua Barat;Kabupaten;Teluk Wondama;Wondiboy (Wasior Selatan);Isuy (Issui);98362
60544;Papua Barat;Kabupaten;Teluk Wondama;Wondiboy (Wasior Selatan);Kabouw (Kabuow);98362
60545;Papua Barat;Kabupaten;Teluk Wondama;Wondiboy (Wasior Selatan);Kaibi;98362
60546;Papua Barat;Kabupaten;Teluk Wondama;Wondiboy (Wasior Selatan);Manopi;98362
60547;Papua Barat;Kabupaten;Teluk Wondama;Wondiboy (Wasior Selatan);Wondiboi (Wondiboy);98362
60548;Riau;Kabupaten;Bengkalis;Bantan;Bantan Air;28754
60549;Riau;Kabupaten;Bengkalis;Bantan;Bantan Sari;28754
60550;Riau;Kabupaten;Bengkalis;Bantan;Bantan Tengah;28754
60551;Riau;Kabupaten;Bengkalis;Bantan;Bantan Timur;28754
60552;Riau;Kabupaten;Bengkalis;Bantan;Bantan Tua;28754
60553;Riau;Kabupaten;Bengkalis;Bantan;Berancah;28754
60554;Riau;Kabupaten;Bengkalis;Bantan;Deluk;28754
60555;Riau;Kabupaten;Bengkalis;Bantan;Jangkang;28754
60556;Riau;Kabupaten;Bengkalis;Bantan;Kembung Baru;28754
60557;Riau;Kabupaten;Bengkalis;Bantan;Kembung Luar;28754
60558;Riau;Kabupaten;Bengkalis;Bantan;Mentayan;28754
60559;Riau;Kabupaten;Bengkalis;Bantan;Muntai;28754
60560;Riau;Kabupaten;Bengkalis;Bantan;Muntai Barat;28754
60561;Riau;Kabupaten;Bengkalis;Bantan;Pampang Baru;28754
60562;Riau;Kabupaten;Bengkalis;Bantan;Pampang Pesisir;28754
60563;Riau;Kabupaten;Bengkalis;Bantan;Pasiran;28754
60564;Riau;Kabupaten;Bengkalis;Bantan;Resam Lapis;28754
60565;Riau;Kabupaten;Bengkalis;Bantan;Selat Baru;28754
60566;Riau;Kabupaten;Bengkalis;Bantan;Sukamaju;28754
60567;Riau;Kabupaten;Bengkalis;Bantan;Teluklancar;28754
60568;Riau;Kabupaten;Bengkalis;Bantan;Telukpambang;28754
60569;Riau;Kabupaten;Bengkalis;Bantan;Telukpapal;28754
60570;Riau;Kabupaten;Bengkalis;Bantan;Ulu Pulau;28754
60571;Riau;Kabupaten;Bengkalis;Bengkalis;Air Putih;28711
60572;Riau;Kabupaten;Bengkalis;Bengkalis;Bengkalis Kota;28712
60573;Riau;Kabupaten;Bengkalis;Bengkalis;Damai;28711
60574;Riau;Kabupaten;Bengkalis;Bengkalis;Damon/Damun;28713
60575;Riau;Kabupaten;Bengkalis;Bengkalis;Kelapa Pati;28711
60576;Riau;Kabupaten;Bengkalis;Bengkalis;Kelebuk;28711
60577;Riau;Kabupaten;Bengkalis;Bengkalis;Kelemantan;28711
60578;Riau;Kabupaten;Bengkalis;Bengkalis;Kelemantan Barat;28711
60579;Riau;Kabupaten;Bengkalis;Bengkalis;Ketam Putih;28711
60580;Riau;Kabupaten;Bengkalis;Bengkalis;Kuala Alam;28711
60581;Riau;Kabupaten;Bengkalis;Bengkalis;Meskom;28711
60582;Riau;Kabupaten;Bengkalis;Bengkalis;Palkun;28711
60583;Riau;Kabupaten;Bengkalis;Bengkalis;Pangkalan Batang;28711
60584;Riau;Kabupaten;Bengkalis;Bengkalis;Pangkalan Batang Barat;28711
60585;Riau;Kabupaten;Bengkalis;Bengkalis;Pedekik;28711
60586;Riau;Kabupaten;Bengkalis;Bengkalis;Pematang Duku;28711
60587;Riau;Kabupaten;Bengkalis;Bengkalis;Pematang Duku Timur;28711
60588;Riau;Kabupaten;Bengkalis;Bengkalis;Penampi;28711
60589;Riau;Kabupaten;Bengkalis;Bengkalis;Penebal;28711
60590;Riau;Kabupaten;Bengkalis;Bengkalis;Prapat Tunggal;28711
60591;Riau;Kabupaten;Bengkalis;Bengkalis;Rimba Sekampung;28711
60592;Riau;Kabupaten;Bengkalis;Bengkalis;Sebauk;28711
60593;Riau;Kabupaten;Bengkalis;Bengkalis;Sei/Sungai Alam;28711
60594;Riau;Kabupaten;Bengkalis;Bengkalis;Sekodi;28711
60595;Riau;Kabupaten;Bengkalis;Bengkalis;Senderek;28711
60596;Riau;Kabupaten;Bengkalis;Bengkalis;Senggoro;28714
60597;Riau;Kabupaten;Bengkalis;Bengkalis;Simpang Ayam;28711
60598;Riau;Kabupaten;Bengkalis;Bengkalis;Sungaibatang;28711
60599;Riau;Kabupaten;Bengkalis;Bengkalis;Teluk Latak;28711
60600;Riau;Kabupaten;Bengkalis;Bengkalis;Temeran;28711
60601;Riau;Kabupaten;Bengkalis;Bengkalis;Wonosari;28711
60602;Riau;Kabupaten;Bengkalis;Bukit Batu;Api Api;28761
60603;Riau;Kabupaten;Bengkalis;Bukit Batu;Batang Duku;28761
60604;Riau;Kabupaten;Bengkalis;Bukit Batu;Bukit Batu;28761
60605;Riau;Kabupaten;Bengkalis;Bukit Batu;Bukit Kerikil;28761
60606;Riau;Kabupaten;Bengkalis;Bukit Batu;Buruk Bakul;28761
60607;Riau;Kabupaten;Bengkalis;Bukit Batu;Dompas;28761
60608;Riau;Kabupaten;Bengkalis;Bukit Batu;Pakning Asal;28761
60609;Riau;Kabupaten;Bengkalis;Bukit Batu;Pangkalan Jambi;28761
60610;Riau;Kabupaten;Bengkalis;Bukit Batu;Parit I Api Api;28761
60611;Riau;Kabupaten;Bengkalis;Bukit Batu;Sejangat;28761
60612;Riau;Kabupaten;Bengkalis;Bukit Batu;Sepahat;28761
60613;Riau;Kabupaten;Bengkalis;Bukit Batu;Sukajadi;28761
60614;Riau;Kabupaten;Bengkalis;Bukit Batu;Sungai Pakning;28761
60615;Riau;Kabupaten;Bengkalis;Bukit Batu;Sungai Selari;28761
60616;Riau;Kabupaten;Bengkalis;Bukit Batu;Tanjung Leban;28761
60617;Riau;Kabupaten;Bengkalis;Bukit Batu;Temiang;28761
60618;Riau;Kabupaten;Bengkalis;Bukit Batu;Tenggayun;28761
60619;Riau;Kabupaten;Bengkalis;Mandau;Air Jamban;28784
60620;Riau;Kabupaten;Bengkalis;Mandau;Air Kulim;28784
60621;Riau;Kabupaten;Bengkalis;Mandau;Babussalam;28784
60622;Riau;Kabupaten;Bengkalis;Mandau;Balai Makam;28784
60623;Riau;Kabupaten;Bengkalis;Mandau;Balik Alam;28784
60624;Riau;Kabupaten;Bengkalis;Mandau;Batang Serosa;28784
60625;Riau;Kabupaten;Bengkalis;Mandau;Bathin Betuah;28784
60626;Riau;Kabupaten;Bengkalis;Mandau;Bathin Sobanga;28784
60627;Riau;Kabupaten;Bengkalis;Mandau;Boncah Mahang;28784
60628;Riau;Kabupaten;Bengkalis;Mandau;Buluh Manis;28784
60629;Riau;Kabupaten;Bengkalis;Mandau;Bumbung;28784
60630;Riau;Kabupaten;Bengkalis;Mandau;Duri Barat;28784
60631;Riau;Kabupaten;Bengkalis;Mandau;Duri Timur;28784
60632;Riau;Kabupaten;Bengkalis;Mandau;Gajah Sakti;28784
60633;Riau;Kabupaten;Bengkalis;Mandau;Harapan Baru;28784
60634;Riau;Kabupaten;Bengkalis;Mandau;Pamesi;28784
60635;Riau;Kabupaten;Bengkalis;Mandau;Pematang Obo;28784
60636;Riau;Kabupaten;Bengkalis;Mandau;Pematang Pudu;28784
60637;Riau;Kabupaten;Bengkalis;Mandau;Petani;28784
60638;Riau;Kabupaten;Bengkalis;Mandau;Sebangar;28784
60639;Riau;Kabupaten;Bengkalis;Mandau;Sesumbo Ampai (Kesumo Ampai);28784
60640;Riau;Kabupaten;Bengkalis;Mandau;Simpang Padang;28784
60641;Riau;Kabupaten;Bengkalis;Mandau;Talang Mandi;28784
60642;Riau;Kabupaten;Bengkalis;Mandau;Tambusai Batang Dui;28784
60643;Riau;Kabupaten;Bengkalis;Pinggir;Balai Pungut;28784
60644;Riau;Kabupaten;Bengkalis;Pinggir;Balai Raja;28784
60645;Riau;Kabupaten;Bengkalis;Pinggir;Beringin;28784
60646;Riau;Kabupaten;Bengkalis;Pinggir;Buluh Apo;28784
60647;Riau;Kabupaten;Bengkalis;Pinggir;Koto Pait Beringin;28784
60648;Riau;Kabupaten;Bengkalis;Pinggir;Kuala Penaso;28784
60649;Riau;Kabupaten;Bengkalis;Pinggir;Melibur;28784
60650;Riau;Kabupaten;Bengkalis;Pinggir;Muara Basung;28784
60651;Riau;Kabupaten;Bengkalis;Pinggir;Pangkalan Libut;28784
60652;Riau;Kabupaten;Bengkalis;Pinggir;Pinggir;28784
60653;Riau;Kabupaten;Bengkalis;Pinggir;Semunai;28784
60654;Riau;Kabupaten;Bengkalis;Pinggir;Serai Wangi;28784
60655;Riau;Kabupaten;Bengkalis;Pinggir;Sungai Meranti;28784
60656;Riau;Kabupaten;Bengkalis;Pinggir;Tasik Serai;28784
60657;Riau;Kabupaten;Bengkalis;Pinggir;Tasik Serai Barat;28784
60658;Riau;Kabupaten;Bengkalis;Pinggir;Tasik Serai Timur;28784
60659;Riau;Kabupaten;Bengkalis;Pinggir;Tasik Tebing Serai;28784
60660;Riau;Kabupaten;Bengkalis;Pinggir;Tengganau;28784
60661;Riau;Kabupaten;Bengkalis;Pinggir;Titian Antui;28784
60662;Riau;Kabupaten;Bengkalis;Rupat;Batu Panjang;28781
60663;Riau;Kabupaten;Bengkalis;Rupat;Darul Aman;28781
60664;Riau;Kabupaten;Bengkalis;Rupat;Dungun Baru;28781
60665;Riau;Kabupaten;Bengkalis;Rupat;Hutan Panjang;28781
60666;Riau;Kabupaten;Bengkalis;Rupat;Makeruh;28781
60667;Riau;Kabupaten;Bengkalis;Rupat;Pancur Jaya;28781
60668;Riau;Kabupaten;Bengkalis;Rupat;Pangkalan Nyirih;28781
60669;Riau;Kabupaten;Bengkalis;Rupat;Pangkalan Pinang;28781
60670;Riau;Kabupaten;Bengkalis;Rupat;Parit Kebumen;28781
60671;Riau;Kabupaten;Bengkalis;Rupat;Pergam;28781
60672;Riau;Kabupaten;Bengkalis;Rupat;Sei/Sungai Cingam;28781
60673;Riau;Kabupaten;Bengkalis;Rupat;Sri Tanjung;28781
60674;Riau;Kabupaten;Bengkalis;Rupat;Sukarjo Mesin;28781
60675;Riau;Kabupaten;Bengkalis;Rupat;Tanjung Kapal;28781
60676;Riau;Kabupaten;Bengkalis;Rupat;Teluk Lecah;28781
60677;Riau;Kabupaten;Bengkalis;Rupat;Terkul;28781
60678;Riau;Kabupaten;Bengkalis;Rupat Utara;Hutan Ayu;28781
60679;Riau;Kabupaten;Bengkalis;Rupat Utara;Kadur;28781
60680;Riau;Kabupaten;Bengkalis;Rupat Utara;Puteri Sembilan;28781
60681;Riau;Kabupaten;Bengkalis;Rupat Utara;Suka Damai;28781
60682;Riau;Kabupaten;Bengkalis;Rupat Utara;Tanjung Medang;28781
60683;Riau;Kabupaten;Bengkalis;Rupat Utara;Tanjung Punak;28781
60684;Riau;Kabupaten;Bengkalis;Rupat Utara;Teluk Rhu;28781
60685;Riau;Kabupaten;Bengkalis;Rupat Utara;Titi Akar;28781
60686;Riau;Kabupaten;Bengkalis;Siak Kecil;Bandar Jaya;28771
60687;Riau;Kabupaten;Bengkalis;Siak Kecil;Koto Raja;28771
60688;Riau;Kabupaten;Bengkalis;Siak Kecil;Langkat;28771
60689;Riau;Kabupaten;Bengkalis;Siak Kecil;Liang Banir;28771
60690;Riau;Kabupaten;Bengkalis;Siak Kecil;Lubuk Garam;28771
60691;Riau;Kabupaten;Bengkalis;Siak Kecil;Lubuk Gaung;28771
60692;Riau;Kabupaten;Bengkalis;Siak Kecil;Lubuk Muda;28771
60693;Riau;Kabupaten;Bengkalis;Siak Kecil;Muara Dua;28771
60694;Riau;Kabupaten;Bengkalis;Siak Kecil;Sadar Jaya;28771
60695;Riau;Kabupaten;Bengkalis;Siak Kecil;Sepotong;28771
60696;Riau;Kabupaten;Bengkalis;Siak Kecil;Sumber Jaya;28771
60697;Riau;Kabupaten;Bengkalis;Siak Kecil;Sungai Limau (Linau);28771
60698;Riau;Kabupaten;Bengkalis;Siak Kecil;Sungai Nibung;28771
60699;Riau;Kabupaten;Bengkalis;Siak Kecil;Sungai Siput;28771
60700;Riau;Kabupaten;Bengkalis;Siak Kecil;Tanjung Belit;28771
60701;Riau;Kabupaten;Bengkalis;Siak Kecil;Tanjung Damai;28771
60702;Riau;Kabupaten;Bengkalis;Siak Kecil;Tanjung Datuk;28771
60703;Riau;Kota;Dumai;Bukit Kapur;Bagan Besar;28882
60704;Riau;Kota;Dumai;Bukit Kapur;Bukit Nanas / Nenas;28882
60705;Riau;Kota;Dumai;Bukit Kapur;Gurun Panjang;28882
60706;Riau;Kota;Dumai;Bukit Kapur;Kampung Baru;28882
60707;Riau;Kota;Dumai;Bukit Kapur;Kayu Kapur (Bukit Kayu Kapur);28882
60708;Riau;Kota;Dumai;Dumai Barat;Bagan Keladi;28821
60709;Riau;Kota;Dumai;Dumai Barat;Pangkalan Sesai;28824
60710;Riau;Kota;Dumai;Dumai Barat;Purnama;28823
