No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
61002;Riau;Kabupaten;Indragiri Hulu;Batang Gansal;Usul;29355
61003;Riau;Kabupaten;Indragiri Hulu;Batang Peranap;Koto Tuo;29354
61004;Riau;Kabupaten;Indragiri Hulu;Batang Peranap;Peladangan;29354
61005;Riau;Kabupaten;Indragiri Hulu;Batang Peranap;Pematang;29354
61006;Riau;Kabupaten;Indragiri Hulu;Batang Peranap;Pematang Benteng;29354
61007;Riau;Kabupaten;Indragiri Hulu;Batang Peranap;Pesajian;29354
61008;Riau;Kabupaten;Indragiri Hulu;Batang Peranap;Punti/Panti Kayu;29354
61009;Riau;Kabupaten;Indragiri Hulu;Batang Peranap;Selunak;29354
61010;Riau;Kabupaten;Indragiri Hulu;Batang Peranap;Sencano Jaya;29354
61011;Riau;Kabupaten;Indragiri Hulu;Batang Peranap;Sukamaju;29354
61012;Riau;Kabupaten;Indragiri Hulu;Batang Peranap;Sungai Aur;29354
61013;Riau;Kabupaten;Indragiri Hulu;Kelayang;Bongkal Malang;29352
61014;Riau;Kabupaten;Indragiri Hulu;Kelayang;Bukit Selanjut;29352
61015;Riau;Kabupaten;Indragiri Hulu;Kelayang;Dusun Tua;29352
61016;Riau;Kabupaten;Indragiri Hulu;Kelayang;Dusun Tua Pelang;29352
61017;Riau;Kabupaten;Indragiri Hulu;Kelayang;Kota Medan;29352
61018;Riau;Kabupaten;Indragiri Hulu;Kelayang;Pasir Beringin;29352
61019;Riau;Kabupaten;Indragiri Hulu;Kelayang;Pelangko;29352
61020;Riau;Kabupaten;Indragiri Hulu;Kelayang;Polak Pisang;29352
61021;Riau;Kabupaten;Indragiri Hulu;Kelayang;Pulau Sengkilo;29352
61022;Riau;Kabupaten;Indragiri Hulu;Kelayang;Sei/Sungai Pasir Putih;29352
61023;Riau;Kabupaten;Indragiri Hulu;Kelayang;Simpang Kelayang;29352
61024;Riau;Kabupaten;Indragiri Hulu;Kelayang;Simpang Kota Medan;29352
61025;Riau;Kabupaten;Indragiri Hulu;Kelayang;Sungai Banyak Ikan;29352
61026;Riau;Kabupaten;Indragiri Hulu;Kelayang;Sungai Golang;29352
61027;Riau;Kabupaten;Indragiri Hulu;Kelayang;Sungai Kuning Benio;29352
61028;Riau;Kabupaten;Indragiri Hulu;Kelayang;Tanjung Beludu;29352
61029;Riau;Kabupaten;Indragiri Hulu;Kelayang;Teluk Sejuah;29352
61030;Riau;Kabupaten;Indragiri Hulu;Kuala Cenaku;Kuala Cenaku;29335
61031;Riau;Kabupaten;Indragiri Hulu;Kuala Cenaku;Kuala Mulia;29335
61032;Riau;Kabupaten;Indragiri Hulu;Kuala Cenaku;Pulau Gelang;29335
61033;Riau;Kabupaten;Indragiri Hulu;Kuala Cenaku;Pulau Jumat;29335
61034;Riau;Kabupaten;Indragiri Hulu;Kuala Cenaku;Rawa Asri;29335
61035;Riau;Kabupaten;Indragiri Hulu;Kuala Cenaku;Rawa Sekip;29335
61036;Riau;Kabupaten;Indragiri Hulu;Kuala Cenaku;Suka Jadi;29335
61037;Riau;Kabupaten;Indragiri Hulu;Kuala Cenaku;Tambak;29335
61038;Riau;Kabupaten;Indragiri Hulu;Kuala Cenaku;Tanjung Sari;29335
61039;Riau;Kabupaten;Indragiri Hulu;Kuala Cenaku;Teluk Sungkai;29335
61040;Riau;Kabupaten;Indragiri Hulu;Lirik;Banjar Balam;29353
61041;Riau;Kabupaten;Indragiri Hulu;Lirik;Gudang Batu;29353
61042;Riau;Kabupaten;Indragiri Hulu;Lirik;Japura;29353
61043;Riau;Kabupaten;Indragiri Hulu;Lirik;Lambang Sari I, II, III;29353
61044;Riau;Kabupaten;Indragiri Hulu;Lirik;Lambang Sari IV;29353
61045;Riau;Kabupaten;Indragiri Hulu;Lirik;Lambang Sari V;29353
61046;Riau;Kabupaten;Indragiri Hulu;Lirik;Lirik Area;29353
61047;Riau;Kabupaten;Indragiri Hulu;Lirik;Mekar Sari;29353
61048;Riau;Kabupaten;Indragiri Hulu;Lirik;Pasir Ringgit;29353
61049;Riau;Kabupaten;Indragiri Hulu;Lirik;Pasir Sialang Jaya;29353
61050;Riau;Kabupaten;Indragiri Hulu;Lirik;Redang Seko;29353
61051;Riau;Kabupaten;Indragiri Hulu;Lirik;Rejosari;29353
61052;Riau;Kabupaten;Indragiri Hulu;Lirik;Seko Lubuk Tigo;29353
61053;Riau;Kabupaten;Indragiri Hulu;Lirik;Sidomulyo;29353
61054;Riau;Kabupaten;Indragiri Hulu;Lirik;Sukajadi;29353
61055;Riau;Kabupaten;Indragiri Hulu;Lirik;Sungai Sagu;29353
61056;Riau;Kabupaten;Indragiri Hulu;Lirik;Wonosari;29353
61057;Riau;Kabupaten;Indragiri Hulu;Lubuk Batu Jaya;Air Putih;29352
61058;Riau;Kabupaten;Indragiri Hulu;Lubuk Batu Jaya;Kulim Jaya;29352
61059;Riau;Kabupaten;Indragiri Hulu;Lubuk Batu Jaya;Lubuk Batu Tinggal;29352
61060;Riau;Kabupaten;Indragiri Hulu;Lubuk Batu Jaya;Pondok Gelugur;29352
61061;Riau;Kabupaten;Indragiri Hulu;Lubuk Batu Jaya;Pontian Mekar;29352
61062;Riau;Kabupaten;Indragiri Hulu;Lubuk Batu Jaya;Rimpian;29352
