No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
61502;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Barat;Mekong;28753
61503;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Barat;Mengkikip;28753
61504;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Barat;Tanjung;28753
61505;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Barat;Tanjung Darul Takzim;28753
61506;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Barat;Tanjung Peranap;28753
61507;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Barat;Tenan;28753
61508;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Timur;Batin Suir;28753
61509;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Timur;Kepau Baru;28753
61510;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Timur;Lukun;28753
61511;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Timur;Nipah Sendanu;28753
61512;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Timur;Sendanu Darul Ihsan;28753
61513;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Timur;Sungai Tohor;28753
61514;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Timur;Sungai Tohor Barat;28753
61515;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Timur;Tanjung Gadai;28753
61516;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Timur;Tanjung Sari;28753
61517;Riau;Kabupaten;Kepulauan Meranti;Tebing Tinggi Timur;Teluk Buntal;28753
61518;Riau;Kabupaten;Kuantan Singingi;Benai;Banjar Benai;29566
61519;Riau;Kabupaten;Kuantan Singingi;Benai;Banjar Lopak;29566
61520;Riau;Kabupaten;Kuantan Singingi;Benai;Benai;29566
61521;Riau;Kabupaten;Kuantan Singingi;Benai;Benai Kecil;29566
61522;Riau;Kabupaten;Kuantan Singingi;Benai;Gunungkesiangan;29566
61523;Riau;Kabupaten;Kuantan Singingi;Benai;Koto Benai;29566
61524;Riau;Kabupaten;Kuantan Singingi;Benai;Pulauingu;29566
61525;Riau;Kabupaten;Kuantan Singingi;Benai;Pulaukalimanting;29566
61526;Riau;Kabupaten;Kuantan Singingi;Benai;Pulaulancang;29566
61527;Riau;Kabupaten;Kuantan Singingi;Benai;Pulautongah;29566
61528;Riau;Kabupaten;Kuantan Singingi;Benai;Siberakun;29566
61529;Riau;Kabupaten;Kuantan Singingi;Benai;Simandolak;29566
61530;Riau;Kabupaten;Kuantan Singingi;Benai;Talontom;29566
61531;Riau;Kabupaten;Kuantan Singingi;Benai;Tanjungsimandolak;29566
61532;Riau;Kabupaten;Kuantan Singingi;Benai;Tebing Tinggi;29566
61533;Riau;Kabupaten;Kuantan Singingi;Benai;Ujung Tanjung;29566
61534;Riau;Kabupaten;Kuantan Singingi;Cerenti;Kampung Baru;29555
61535;Riau;Kabupaten;Kuantan Singingi;Cerenti;Kampung Baru Timur;29555
61536;Riau;Kabupaten;Kuantan Singingi;Cerenti;Kompe Berangin;29555
61537;Riau;Kabupaten;Kuantan Singingi;Cerenti;Koto Cerenti;29555
61538;Riau;Kabupaten;Kuantan Singingi;Cerenti;Koto Peraku;29555
61539;Riau;Kabupaten;Kuantan Singingi;Cerenti;Pasar Cerenti;29555
61540;Riau;Kabupaten;Kuantan Singingi;Cerenti;Pesikaian/Pasikaian;29555
61541;Riau;Kabupaten;Kuantan Singingi;Cerenti;Pulau Bayur;29555
61542;Riau;Kabupaten;Kuantan Singingi;Cerenti;Pulau Jambu;29555
61543;Riau;Kabupaten;Kuantan Singingi;Cerenti;Pulau Panjang Cerenti;29555
61544;Riau;Kabupaten;Kuantan Singingi;Cerenti;Sikakak;29555
61545;Riau;Kabupaten;Kuantan Singingi;Cerenti;Tanjung Medan;29555
61546;Riau;Kabupaten;Kuantan Singingi;Cerenti;Teluk Pauh;29555
61547;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Gunung;29565
61548;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Kampung Baru;29565
61549;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Koto Gunung;29565
61550;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Lubuk Terantang;29565
61551;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Petapahan;29565
61552;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Pisang Berebus;29565
61553;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Pulau Mungkur;29565
61554;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Pulau Rumput;29565
61555;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Seberang Gunung;29565
61556;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Seberang Sungai;29565
61557;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Siberobah;29565
61558;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Teberau Panjang;29565
61559;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Teluk Beringin;29565
61560;Riau;Kabupaten;Kuantan Singingi;Gunung Toar;Toar;29565
61561;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Inuman;29565
61562;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Koto Kombu;29565
61563;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Lubuk Ambacang;29565
61564;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Mudik Ulo;29565
61565;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Sampurago;29565
61566;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Serosah/Serusa;29565
61567;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Sumpu;29565
61568;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Sungai Alah;29565
61569;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Sungai Kalilawar/Kelelawar;29565
61570;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Sungai Pinang;29565
61571;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Tanjung;29566
61572;Riau;Kabupaten;Kuantan Singingi;Hulu Kuantan;Tanjung Medang;29565
