No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
62002;Riau;Kabupaten;Rokan Hilir;Kubu;Teluk Piyai Pesisir;28991
62003;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Jojol;28991
62004;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Pulau Halang Belakang;28991
62005;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Pulau Halang Hulu;28991
62006;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Pulau Halang Muka;28991
62007;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Rantau Panjang Kiri;28991
62008;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Rantau Panjang Kiri Hilir;28991
62009;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Sei/Sungai Majo;28991
62010;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Sei/Sungai Panji Panji;28991
62011;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Sei/Sungai Pinang;28991
62012;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Sungaimajo Pusako;28991
62013;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Teluk Nilap;28991
62014;Riau;Kabupaten;Rokan Hilir;Kubu Babussalam;Teluk Nilap Jaya;28991
62015;Riau;Kabupaten;Rokan Hilir;Pasir Limau Kapas;Panipahan;28991
62016;Riau;Kabupaten;Rokan Hilir;Pasir Limau Kapas;Panipahan Darat;28991
62017;Riau;Kabupaten;Rokan Hilir;Pasir Limau Kapas;Panipahan II (Baru);28991
62018;Riau;Kabupaten;Rokan Hilir;Pasir Limau Kapas;Panipahan Laut;28991
62019;Riau;Kabupaten;Rokan Hilir;Pasir Limau Kapas;Pasir Limau Kapas;28991
62020;Riau;Kabupaten;Rokan Hilir;Pasir Limau Kapas;Pulaujemur;28991
62021;Riau;Kabupaten;Rokan Hilir;Pasir Limau Kapas;Sungai Daun;28991
62022;Riau;Kabupaten;Rokan Hilir;Pasir Limau Kapas;Teluk Pulai;28991
62023;Riau;Kabupaten;Rokan Hilir;Pekaitan;Karyo Mulyo Sari;28912
62024;Riau;Kabupaten;Rokan Hilir;Pekaitan;Kubu I;28912
62025;Riau;Kabupaten;Rokan Hilir;Pekaitan;Pedamaran;28912
62026;Riau;Kabupaten;Rokan Hilir;Pekaitan;Pekaitan;28912
62027;Riau;Kabupaten;Rokan Hilir;Pekaitan;Rokan Baru;28912
62028;Riau;Kabupaten;Rokan Hilir;Pekaitan;Rokan Baru Pesisir;28912
62029;Riau;Kabupaten;Rokan Hilir;Pekaitan;Sei Besar;28912
62030;Riau;Kabupaten;Rokan Hilir;Pekaitan;Suak Air Hitam;28912
62031;Riau;Kabupaten;Rokan Hilir;Pekaitan;Suak Temenggung;28912
62032;Riau;Kabupaten;Rokan Hilir;Pekaitan;Telukbano II;28912
62033;Riau;Kabupaten;Rokan Hilir;Pujud;Air Hitam;28983
62034;Riau;Kabupaten;Rokan Hilir;Pujud;Akar Belingkar;28983
62035;Riau;Kabupaten;Rokan Hilir;Pujud;Babussalam Rokan;28983
62036;Riau;Kabupaten;Rokan Hilir;Pujud;Kasang Bangsawan;28983
62037;Riau;Kabupaten;Rokan Hilir;Pujud;Perkebunan Siarang-arang;28983
62038;Riau;Kabupaten;Rokan Hilir;Pujud;Perkebunan Tanjung Medan;28983
62039;Riau;Kabupaten;Rokan Hilir;Pujud;Pondok Kresek;28983
62040;Riau;Kabupaten;Rokan Hilir;Pujud;Pujud;28983
62041;Riau;Kabupaten;Rokan Hilir;Pujud;Pujud Selatan;28983
62042;Riau;Kabupaten;Rokan Hilir;Pujud;Pujud Utara;28983
62043;Riau;Kabupaten;Rokan Hilir;Pujud;Sei Meranti;28983
62044;Riau;Kabupaten;Rokan Hilir;Pujud;Sei Meranti Darussalam;28983
62045;Riau;Kabupaten;Rokan Hilir;Pujud;Siarang-arang;28983
62046;Riau;Kabupaten;Rokan Hilir;Pujud;Sri Kayangan;28983
62047;Riau;Kabupaten;Rokan Hilir;Pujud;Suka Jadi;28983
62048;Riau;Kabupaten;Rokan Hilir;Pujud;Sungaipinang;28983
62049;Riau;Kabupaten;Rokan Hilir;Pujud;Sungaitapah;28983
62050;Riau;Kabupaten;Rokan Hilir;Pujud;Tangga Batu;28983
62051;Riau;Kabupaten;Rokan Hilir;Pujud;Tanjungmedan;28983
62052;Riau;Kabupaten;Rokan Hilir;Pujud;Tanjungmedan Barat;28983
62053;Riau;Kabupaten;Rokan Hilir;Pujud;Tanjungmedan Utara;28983
62054;Riau;Kabupaten;Rokan Hilir;Pujud;Tanjungsari;28983
