No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
62502;Sulawesi Barat;Kabupaten;Mamasa;Bambang;Tanete Tomba;91371
62503;Sulawesi Barat;Kabupaten;Mamasa;Bambang;Ulumambi;91371
62504;Sulawesi Barat;Kabupaten;Mamasa;Bambang;Ulumambi Barat;91371
62505;Sulawesi Barat;Kabupaten;Mamasa;Buntumalangka;Aralle Timur;91373
62506;Sulawesi Barat;Kabupaten;Mamasa;Buntumalangka;Buntumalangka;91373
62507;Sulawesi Barat;Kabupaten;Mamasa;Buntumalangka;Kabae;91373
62508;Sulawesi Barat;Kabupaten;Mamasa;Buntumalangka;Kebanga;91373
62509;Sulawesi Barat;Kabupaten;Mamasa;Buntumalangka;Penatangan;91373
62510;Sulawesi Barat;Kabupaten;Mamasa;Buntumalangka;Ranteberan;91373
62511;Sulawesi Barat;Kabupaten;Mamasa;Buntumalangka;Salurindu;91373
62512;Sulawesi Barat;Kabupaten;Mamasa;Buntumalangka;Salutambun;91373
62513;Sulawesi Barat;Kabupaten;Mamasa;Buntumalangka;Salutambun Barat;91373
62514;Sulawesi Barat;Kabupaten;Mamasa;Buntumalangka;Salutambun Timur;91373
62515;Sulawesi Barat;Kabupaten;Mamasa;Buntumalangka;Taora;91373
62516;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Bombong Lambe;91362
62517;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Bubun Batu;91362
62518;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Buntu Buda;91362
62519;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Lambanan;91362
62520;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Lembana Salulo;91362
62521;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Mamasa;91362
62522;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Mambuliling;91362
62523;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Osango;91362
62524;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Pebassian;91362
62525;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Rambusaratu;91362
62526;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Taupe;91362
62527;Sulawesi Barat;Kabupaten;Mamasa;Mamasa;Tondok Bakaru;91362
62528;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Bujung Manurung;91371
62529;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Indobanua;91371
62530;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Mambi;91371
62531;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Pamosean;91371
62532;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Rantebulahan;91371
62533;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Salu Alo;91371
62534;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Salubanua;91371
62535;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Saludurian;91371
62536;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Selumaka;91371
62537;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Sendana;91371
62538;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Sondonglayu;91371
62539;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Talipukki;91371
62540;Sulawesi Barat;Kabupaten;Mamasa;Mambi;Tapalina;91371
62541;Sulawesi Barat;Kabupaten;Mamasa;Mehalaan;Botteng;91371
62542;Sulawesi Barat;Kabupaten;Mamasa;Mehalaan;Kondo;91371
62543;Sulawesi Barat;Kabupaten;Mamasa;Mehalaan;Leko Sukamaju;91371
62544;Sulawesi Barat;Kabupaten;Mamasa;Mehalaan;Mehalaan;91371
62545;Sulawesi Barat;Kabupaten;Mamasa;Mehalaan;Mehalaan Barat;91371
62546;Sulawesi Barat;Kabupaten;Mamasa;Mehalaan;Mesakada;91371
62547;Sulawesi Barat;Kabupaten;Mamasa;Mehalaan;Passembuk;91371
62548;Sulawesi Barat;Kabupaten;Mamasa;Mehalaan;Saluahok;91371
