No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
63002;Sulawesi Barat;Kabupaten;Polewali Mandar;Tinambung;Tinambung;91354
63003;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Ambo Padang;91355
63004;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Arabua;91355
63005;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Besoangin;91355
63006;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Besoangin Utara;91355
63007;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Peburru;91355
63008;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Piriang Tapiko;91355
63009;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Poda;91355
63010;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Pollewani;91355
63011;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Ratte;91355
63012;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Taloba;91355
63013;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Taramanu;91355
63014;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Taramanu Tua;91355
63015;Sulawesi Barat;Kabupaten;Polewali Mandar;Tubbi Taramanu (Tutar/Tutallu);Tubbi;91355
63016;Sulawesi Barat;Kabupaten;Polewali Mandar;Wonomulyo;Arjosari;91352
63017;Sulawesi Barat;Kabupaten;Polewali Mandar;Wonomulyo;Bakka-Bakka;91352
63018;Sulawesi Barat;Kabupaten;Polewali Mandar;Wonomulyo;Banua Baru;91352
