No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
63502;Sulawesi Selatan;Kabupaten;Bone;Tonra;Gareccing;92774
63503;Sulawesi Selatan;Kabupaten;Bone;Tonra;Libureng;92774
63504;Sulawesi Selatan;Kabupaten;Bone;Tonra;Muara;92774
63505;Sulawesi Selatan;Kabupaten;Bone;Tonra;Padatuo;92774
63506;Sulawesi Selatan;Kabupaten;Bone;Tonra;Rappa;92774
63507;Sulawesi Selatan;Kabupaten;Bone;Tonra;Samaenre;92774
63508;Sulawesi Selatan;Kabupaten;Bone;Tonra;Ujunge;92774
63509;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Cani Sirenreng;92762
63510;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Cinnong;92762
63511;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Galung;92762
63512;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Jompie;92762
63513;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Lamakkaraseng;92762
63514;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Lilina Ajangale;92762
63515;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Manurunge;92762
63516;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Mula Menree;92762
63517;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Pallawa Rukka;92762
63518;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Sappe Walie;92762
63519;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Tadang Palie;92762
63520;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Tea Malala;92762
63521;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Teamusu;92762
63522;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Timusu;92762
63523;Sulawesi Selatan;Kabupaten;Bone;Ulaweng;Ulaweng Cinnong;92762
63524;Sulawesi Selatan;Kabupaten;Bulukumba;Bonto Bahari;Ara;92571
63525;Sulawesi Selatan;Kabupaten;Bulukumba;Bonto Bahari;Benjala;92571
63526;Sulawesi Selatan;Kabupaten;Bulukumba;Bonto Bahari;Bira;92571
63527;Sulawesi Selatan;Kabupaten;Bulukumba;Bonto Bahari;Darubiah;92571
63528;Sulawesi Selatan;Kabupaten;Bulukumba;Bonto Bahari;Lembanna;92571
63529;Sulawesi Selatan;Kabupaten;Bulukumba;Bonto Bahari;Sapolohe;92571
63530;Sulawesi Selatan;Kabupaten;Bulukumba;Bonto Bahari;Tanah Beru;92571
63531;Sulawesi Selatan;Kabupaten;Bulukumba;Bonto Bahari;Tanah Lemo;92571
63532;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Batang;92572
63533;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Bonto Barua;92572
63534;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Bonto Bulaeng;92572
63535;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Bonto Marannu;92572
63536;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Bonto Tangnga;92572
63537;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Buhung Bundang;92572
63538;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Caramming;92572
63539;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Dwi Tiro;92572
63540;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Ekatiro;92572
63541;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Lamanda;92572
63542;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Pakubalaho;92572
63543;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Tamalanrea;92572
63544;Sulawesi Selatan;Kabupaten;Bulukumba;Bontotiro;Tritiro;92572
63545;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Balang Pesoang;92552
63546;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Balang Taroang;92552
63547;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Ballasaraja;92552
63548;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Baruga Riattang;92552
63549;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Barugae;92552
63550;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Batulohe;92552
63551;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Bonto Bulaeng;92552
63552;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Bonto Minasa;92552
63553;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Bontomangiring;92552
63554;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Bulo-Bulo;92552
63555;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Jawi - Jawi;92552
63556;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Jojjolo;92552
63557;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Kambuno;92552
63558;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Salassae;92552
63559;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Sapo Bonto;92552
63560;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Tanete;92552
63561;Sulawesi Selatan;Kabupaten;Bulukumba;Bulukumba (Bulukumpa);Tibona;92552
63562;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Barombong;92561
63563;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Benteng Gatareng;92561
63564;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Benteng Malewang;92561
63565;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Bialo;92561
63566;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Bonto Macinna;92561
63567;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Bonto Sunggu;92561
63568;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Bontomasila;92561
63569;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Bontonyeleng;92561
63570;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Bontoraja;92561
63571;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Bukit Harapan;92561
63572;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Bukit Tinggi;92561
63573;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Dampang;92561
63574;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Gattareng;92561
63575;Sulawesi Selatan;Kabupaten;Bulukumba;Gantorang/Gantarang (Gangking);Jalanjang;92561
