No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
64002;Sulawesi Selatan;Kabupaten;Jeneponto;Binamu;Sapanang;92314
64003;Sulawesi Selatan;Kabupaten;Jeneponto;Binamu;Sidenre;92311
64004;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Balumbungang;92351
64005;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Bangkalaloe;92351
64006;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Baraya;92351
64007;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Batujala;92351
64008;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Bontoramba;92351
64009;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Bulusibatang;92351
64010;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Bulusuka;92351
64011;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Datara;92351
64012;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Kareloe;92351
64013;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Lentu;92351
64014;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Maero;92351
64015;Sulawesi Selatan;Kabupaten;Jeneponto;Bontoramba;Tanammawang;92351
64016;Sulawesi Selatan;Kabupaten;Jeneponto;Kelara;Bonto Nompo;92371
64017;Sulawesi Selatan;Kabupaten;Jeneponto;Kelara;Bontolebang;92371
64018;Sulawesi Selatan;Kabupaten;Jeneponto;Kelara;Gantarang;92371
64019;Sulawesi Selatan;Kabupaten;Jeneponto;Kelara;Samataring;92371
64020;Sulawesi Selatan;Kabupaten;Jeneponto;Kelara;Tolo;92371
64021;Sulawesi Selatan;Kabupaten;Jeneponto;Kelara;Tolo Barat;92371
64022;Sulawesi Selatan;Kabupaten;Jeneponto;Kelara;Tolo Selatan;92371
64023;Sulawesi Selatan;Kabupaten;Jeneponto;Kelara;Tolo Timur;92371
64024;Sulawesi Selatan;Kabupaten;Jeneponto;Kelara;Tolo Utara;92371
64025;Sulawesi Selatan;Kabupaten;Jeneponto;Kelara;Tombolo (Tombo);92371
64026;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Bonto Cini;92371
64027;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Bontomanai;92371
64028;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Bontotiro;92572
64029;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Jenetallasa;92314
64030;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Kassi;92371
64031;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Lebang Manai;92371
64032;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Lebang Manai Utara;92371
64033;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Loka;92516
64034;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Pallantikang;92371
64035;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Rumbia;92371
64036;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Tompobulu;92371
64037;Sulawesi Selatan;Kabupaten;Jeneponto;Rumbia;Ujung Bulu;92371
64038;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Bontojai;92351
64039;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Bontosunggu;92351
64040;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Bontotangnga;92351
64041;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Borongtala;92351
64042;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Karelayu;92351
64043;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Manjangloe;92351
64044;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Taman Roya;92351
64045;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Tonrokassi;92351
64046;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Tonrokassi Barat;92351
64047;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Tonrokassi Timur;92351
64048;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Turatea;92351
64049;Sulawesi Selatan;Kabupaten;Jeneponto;Tamalatea;Turatea Timur;92351
64050;Sulawesi Selatan;Kabupaten;Jeneponto;Tarowang;Allu Taroang;92361
64051;Sulawesi Selatan;Kabupaten;Jeneponto;Tarowang;Balang Baru;92361
64052;Sulawesi Selatan;Kabupaten;Jeneponto;Tarowang;Balang Loe Tarowang;92361
64053;Sulawesi Selatan;Kabupaten;Jeneponto;Tarowang;Bonto Ujung;92361
64054;Sulawesi Selatan;Kabupaten;Jeneponto;Tarowang;Bontorappo;92361
64055;Sulawesi Selatan;Kabupaten;Jeneponto;Tarowang;Pao;92361
64056;Sulawesi Selatan;Kabupaten;Jeneponto;Tarowang;Tarowang;92361
64057;Sulawesi Selatan;Kabupaten;Jeneponto;Tarowang;Tino;92361
64058;Sulawesi Selatan;Kabupaten;Jeneponto;Turatea;Bontomatene;92313
64059;Sulawesi Selatan;Kabupaten;Jeneponto;Turatea;Bululoe;92313
64060;Sulawesi Selatan;Kabupaten;Jeneponto;Turatea;Bungungloe;92313
64061;Sulawesi Selatan;Kabupaten;Jeneponto;Turatea;Jombe;92313
64062;Sulawesi Selatan;Kabupaten;Jeneponto;Turatea;Kayuloe Barat;92312
64063;Sulawesi Selatan;Kabupaten;Jeneponto;Turatea;Kayuloe Timur;92313
64064;Sulawesi Selatan;Kabupaten;Jeneponto;Turatea;Langkura;92313
64065;Sulawesi Selatan;Kabupaten;Jeneponto;Turatea;Mangepong;92313
64066;Sulawesi Selatan;Kabupaten;Jeneponto;Turatea;Paitana;92313
64067;Sulawesi Selatan;Kabupaten;Jeneponto;Turatea;Parasangang Beru;92313
64068;Sulawesi Selatan;Kabupaten;Jeneponto;Turatea;Tanjonga;92313
64069;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Benteng;Benteng;92812
64070;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Benteng;Benteng Selatan;92812
64071;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Benteng;Benteng Utara;92812
64072;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontoharu;Bontobangun;92811
64073;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontoharu;Bontoborusu;92811
64074;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontoharu;Bontolebang;92811
64075;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontoharu;Bontosunggu;92811
64076;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontoharu;Bontotangnga;92811
64077;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontoharu;Kahu-Kahu;92811
64078;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontoharu;Kalepadang;92811
64079;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontoharu;Putabangun;92811
64080;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomanai;Barugaiya;92851
64081;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomanai;Bonea Makmur;92851
64082;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomanai;Bonea Timur;92851
64083;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomanai;Bontokoraang;92851
64084;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomanai;Bontomarannu;92851
64085;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomanai;Jambuiya;92851
64086;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomanai;Kaburu;92851
64087;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomanai;Mare Mare;92851
64088;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomanai;Parak;92851
64089;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomanai;Polebungin;92851
64090;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Barat Lambongan;92854
64091;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Batangmata;92854
64092;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Batangmata Sapo;92854
64093;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Bongaiya;92854
64094;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Bontonasaluk;92854
64095;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Kayu Bauk;92854
64096;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Maharayya;92854
64097;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Menara Indah;92854
64098;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Onto;92854
64099;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Pamatata;92854
64100;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Tamalanrea;92854
64101;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontomatene;Tanete;92854
64102;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Appatanah;92855
64103;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Binanga Sombaiya;92855
64104;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Harapan;92855
64105;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Khusus Bahuluang;92855
64106;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Laiyolo;92855
64107;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Laiyolo Baru;92855
64108;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Lantimbongan;92855
64109;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Lowa;92855
64110;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Patikarya;92855
64111;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Patilereng;92855
64112;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Polassi;92855
64113;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Bontosikuyu;Tambolongan;92855
64114;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Buki;Balang Butung;92854
64115;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Buki;Bontolempangan;92851
64116;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Buki;Buki;92854
64117;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Buki;Buki Timur;92854
64118;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Buki;Kohala;92851
64119;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Buki;Lalang Bata;92854
64120;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Buki;Mekar Indah;92854
64121;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasilambena;Garaupa;92863
64122;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasilambena;Garaupa Raya;92863
64123;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasilambena;Kalaotoa;92863
64124;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasilambena;Karumpa;92863
64125;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasilambena;Lembang Matene;92863
64126;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasilambena;Pulo Madu;92863
64127;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimarannu;Batu Bingkung;92862
64128;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimarannu;Bonea;92862
64129;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimarannu;Bonerate;92862
64130;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimarannu;Komba-Komba;92862
64131;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimarannu;Lamantu;92862
64132;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimarannu;Lambego;92862
64133;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimarannu;Majapahit;92862
64134;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimarannu;Sambali;92862
64135;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimassunggu;Bontosaile;92811
64136;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimassunggu;Kembang Ragi;92861
64137;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimassunggu;Labuang Pamajang;92861
64138;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimassunggu;Maminasa;92861
64139;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimassunggu;Massungke;92861
64140;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimassunggu;Tanamalala;92861
64141;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimassunggu;Teluk Kampe;92861
64142;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimasunggu Timur;Bontobaru;92861
64143;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimasunggu Timur;Bontobulaeng;92861
64144;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimasunggu Timur;Bontojati;92861
64145;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimasunggu Timur;Bontomalling;92861
64146;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimasunggu Timur;Lembang Baji;92861
64147;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Pasimasunggu Timur;Ujung;92861
64148;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Takabonerate;Batang;92861
64149;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Takabonerate;Jinato;92861
64150;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Takabonerate;Kayuadi;92861
64151;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Takabonerate;Khusus Pasitallu;92861
64152;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Takabonerate;Latondu;92861
64153;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Takabonerate;Nyiur Indah;92861
64154;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Takabonerate;Rajuni;92861
64155;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Takabonerate;Tambuna;92861
64156;Sulawesi Selatan;Kabupaten;Kepulauan Selayar;Takabonerate;Tarupa;92861
