No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
64502;Sulawesi Selatan;Kabupaten;Luwu Timur;Wotu;Lampenai;92971
64503;Sulawesi Selatan;Kabupaten;Luwu Timur;Wotu;Lera;92971
64504;Sulawesi Selatan;Kabupaten;Luwu Timur;Wotu;Madani;92971
64505;Sulawesi Selatan;Kabupaten;Luwu Timur;Wotu;Maramba;92971
64506;Sulawesi Selatan;Kabupaten;Luwu Timur;Wotu;Pepuro Barat;92971
64507;Sulawesi Selatan;Kabupaten;Luwu Timur;Wotu;Rinjani;92971
64508;Sulawesi Selatan;Kabupaten;Luwu Timur;Wotu;Tabaroge;92971
64509;Sulawesi Selatan;Kabupaten;Luwu Timur;Wotu;Tarengge;92971
64510;Sulawesi Selatan;Kabupaten;Luwu Timur;Wotu;Tarengge Timur;92971
64511;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Baebunta;92965
64512;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Beringin Jaya;92965
64513;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Bumi Harapan;92965
64514;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Kariango;92965
64515;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Lara;92965
64516;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Lawewe;92965
64517;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Lembang-Lembang;92965
64518;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Marannu;92965
64519;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Mario;92965
64520;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Mekar Sari Jaya;92965
64521;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Meli;92965
64522;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Mukti Jaya;92965
64523;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Mukti Tama;92965
64524;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Palandan;92965
64525;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Polewali;92965
64526;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Radda;92965
64527;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Salassa;92965
64528;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Salulemo;92965
64529;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Sassa;92965
64530;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Sumpira;92965
64531;Sulawesi Selatan;Kabupaten;Luwu Utara;Baebunta;Tarobok;92965
64532;Sulawesi Selatan;Kabupaten;Luwu Utara;Bone-Bone;Bantimurung;91966
64533;Sulawesi Selatan;Kabupaten;Luwu Utara;Bone-Bone;Banyu Urip;91966
64534;Sulawesi Selatan;Kabupaten;Luwu Utara;Bone-Bone;Batang Tongka;91966
64535;Sulawesi Selatan;Kabupaten;Luwu Utara;Bone-Bone;Bone Bone;91966
64536;Sulawesi Selatan;Kabupaten;Luwu Utara;Bone-Bone;Muktisari;91966
64537;Sulawesi Selatan;Kabupaten;Luwu Utara;Bone-Bone;Patoloan;91966
64538;Sulawesi Selatan;Kabupaten;Luwu Utara;Bone-Bone;Pongko;91966
