No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
65002;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Labakkang;Pundata Baji;90653
65003;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Labakkang;Taraweang;90653
65004;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Kalmas (Kalukuang Masalima);Dewakang;90672
65005;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Kalmas (Kalukuang Masalima);Doang Doanganlompo;90672
65006;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Kalmas (Kalukuang Masalima);Kalu-Kalukuang;90672
65007;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Kalmas (Kalukuang Masalima);Kanyurang;90672
65008;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Kalmas (Kalukuang Masalima);Marasende;90672
65009;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Kalmas (Kalukuang Masalima);Pammas;90672
65010;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Kalmas (Kalukuang Masalima);Sabaru;90672
65011;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tangaya;Balo Baloang;90673
65012;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tangaya;Kapoposan Bali;90673
65013;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tangaya;Poleonro;90673
65014;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tangaya;Sabalana;90673
65015;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tangaya;Sabaru;90673
65016;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tangaya;Sailus;90673
65017;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tangaya;Sapuka;90673
65018;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tangaya;Satanger;90673
65019;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tangaya;Tampaang;90673
65020;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring;Mattaro Adae;90671
65021;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring;Mattiro Bintang;90671
65022;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring;Mattiro Bone;90671
65023;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring;Mattiro Deceng;90671
65024;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring;Mattiro Dolangeng;90671
65025;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring;Mattiro Langi;90671
65026;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring;Mattiro Matae;90671
65027;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring;Mattiro Sompe;90671
65028;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring;Mattiro Ujung;90671
65029;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring Utara;Mattiro Baji;90671
65030;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring Utara;Mattiro Bombang;90671
65031;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring Utara;Mattiro Bulu;90671
65032;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring Utara;Mattiro Kanja;90671
65033;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring Utara;Mattiro Labangeng;90671
65034;Sulawesi Selatan;Kabupaten;Pangkajene Kepulauan;Liukang Tupabbiring Utara;Mattiro Uleng;90671
