No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
65502;Sulawesi Selatan;Kabupaten;Takalar;Galesong Utara;Tamasaju;92255
65503;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Banggae;92261
65504;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Bontomanai;92261
65505;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Bontoparang;92261
65506;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Cikowang;92261
65507;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Laikang;92261
65508;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Lakatong;92261
65509;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Lengkese;92261
65510;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Mangadu;92261
65511;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Panyangkalang;92261
65512;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Pattoppakang;92261
65513;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Punaga;92261
65514;Sulawesi Selatan;Kabupaten;Takalar;Mangara Bombang;Topejawa;92261
65515;Sulawesi Selatan;Kabupaten;Takalar;Mappakasunggu;Balangdatu;92232
65516;Sulawesi Selatan;Kabupaten;Takalar;Mappakasunggu;Maccinibaji;92232
65517;Sulawesi Selatan;Kabupaten;Takalar;Mappakasunggu;Mattirobaji;92232
65518;Sulawesi Selatan;Kabupaten;Takalar;Mappakasunggu;Pa'batangang;92232
65519;Sulawesi Selatan;Kabupaten;Takalar;Mappakasunggu;Patani;92232
65520;Sulawesi Selatan;Kabupaten;Takalar;Mappakasunggu;Rewataya;92232
65521;Sulawesi Selatan;Kabupaten;Takalar;Mappakasunggu;Soreang;92232
65522;Sulawesi Selatan;Kabupaten;Takalar;Mappakasunggu;Takalar Kota;92232
65523;Sulawesi Selatan;Kabupaten;Takalar;Mappakasunggu;Tompotana;92232
65524;Sulawesi Selatan;Kabupaten;Takalar;Patallassang;Bajeng;92211
65525;Sulawesi Selatan;Kabupaten;Takalar;Patallassang;Kalabbirang;92211
65526;Sulawesi Selatan;Kabupaten;Takalar;Patallassang;Maradekaya;92211
65527;Sulawesi Selatan;Kabupaten;Takalar;Patallassang;Pallantikang;92211
65528;Sulawesi Selatan;Kabupaten;Takalar;Patallassang;Pappa;92211
65529;Sulawesi Selatan;Kabupaten;Takalar;Patallassang;Pattallassang;92211
65530;Sulawesi Selatan;Kabupaten;Takalar;Patallassang;Sabintang;92211
65531;Sulawesi Selatan;Kabupaten;Takalar;Patallassang;Salaka;92211
65532;Sulawesi Selatan;Kabupaten;Takalar;Patallassang;Sombala Bella;92211
