No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
66002;Sulawesi Selatan;Kabupaten;Wajo;Sabangparu;Salotengnga;90961
66003;Sulawesi Selatan;Kabupaten;Wajo;Sabangparu;Sompe;90961
66004;Sulawesi Selatan;Kabupaten;Wajo;Sabangparu;Tadangpalie;90961
66005;Sulawesi Selatan;Kabupaten;Wajo;Sabangparu;Tolotenreng (Talotenreng);90961
66006;Sulawesi Selatan;Kabupaten;Wajo;Sabangparu;Ugi;90961
66007;Sulawesi Selatan;Kabupaten;Wajo;Sabangparu;Ujungpero;90961
66008;Sulawesi Selatan;Kabupaten;Wajo;Sabangparu;Wage;90961
66009;Sulawesi Selatan;Kabupaten;Wajo;Sabangparu;Walennae (Walenae);90961
66010;Sulawesi Selatan;Kabupaten;Wajo;Sabangparu;Worongnge;90961
66011;Sulawesi Selatan;Kabupaten;Wajo;Sajoanging;Akkajeng;90982
66012;Sulawesi Selatan;Kabupaten;Wajo;Sajoanging;Akkotengeng;90982
66013;Sulawesi Selatan;Kabupaten;Wajo;Sajoanging;Alewadeng;90982
66014;Sulawesi Selatan;Kabupaten;Wajo;Sajoanging;Assorajange;90982
66015;Sulawesi Selatan;Kabupaten;Wajo;Sajoanging;Barangmamase;90982
66016;Sulawesi Selatan;Kabupaten;Wajo;Sajoanging;Minangae;90982
66017;Sulawesi Selatan;Kabupaten;Wajo;Sajoanging;Sakkoli;90982
66018;Sulawesi Selatan;Kabupaten;Wajo;Sajoanging;Salobulo;90982
66019;Sulawesi Selatan;Kabupaten;Wajo;Sajoanging;Towalida;90982
66020;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Ajuraja;90981
66021;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Aluppang;90981
66022;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Bocco;90981
66023;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Botto;90981
66024;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Ceppaga;90981
66025;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Lagoari;90981
66026;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Lamarua;90981
66027;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Leweng;90981
66028;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Manyili;90981
66029;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Pantai Timur;90981
66030;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Parigi;90981
66031;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Peneki;90981
66032;Sulawesi Selatan;Kabupaten;Wajo;Takkalalla;Soro;90981
66033;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Assorajang;90951
66034;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Baru Tancung;90951
66035;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Inalipue;90951
66036;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Lowa;90951
66037;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Mannagae;90951
66038;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Mappadaelo;90951
66039;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Mario;90951
66040;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Nepo;90951
66041;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Pajalele;90951
66042;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Pakkanna;90951
66043;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Palippu;90951
66044;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Pincengpute;90951
66045;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Tancung;90951
66046;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Tonralipue;90951
66047;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Ujung Baru;90951
66048;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Ujunge;90951
66049;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Waetuwo;90951
66050;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Wajoriaja;90951
66051;Sulawesi Selatan;Kabupaten;Wajo;Tanasitolo;Wewangrewu;90951
66052;Sulawesi Selatan;Kabupaten;Wajo;Tempe;Atakkae;90915
66053;Sulawesi Selatan;Kabupaten;Wajo;Tempe;Bulupabbulu;90911
66054;Sulawesi Selatan;Kabupaten;Wajo;Tempe;Cempalagi;90911
66055;Sulawesi Selatan;Kabupaten;Wajo;Tempe;Laelo;90917
66056;Sulawesi Selatan;Kabupaten;Wajo;Tempe;Lapongkoda;90913
66057;Sulawesi Selatan;Kabupaten;Wajo;Tempe;Maddukkelleng;90911
66058;Sulawesi Selatan;Kabupaten;Wajo;Tempe;Mattirotappareng;90918
