No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
66502;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Peling Tengah;Tombos;94883
66503;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Peling Tengah;Tunggaling;94883
66504;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung;Ambelang;94885
66505;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung;Baka;94885
66506;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung;Bakalan;94885
66507;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung;Bongganan;94885
66508;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung;Bulungkobit;94885
66509;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung;Bungin;94885
66510;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung;Kautu;94885
66511;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung;Manggalai;94885
66512;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung;Saiyong;94885
66513;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung;Salakan;94885
66514;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung;Tompudau;94885
66515;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung Selatan;Bobu;94885
66516;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung Selatan;Gansal;94885
66517;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung Selatan;Kampung Baru;94714
66518;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung Selatan;Mansamat A;94885
66519;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung Selatan;Mansamat B;94885
66520;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung Selatan;Paisumosoni;94885
66521;Sulawesi Tengah;Kabupaten;Banggai Kepulauan;Tinangkung Selatan;Tinangkung;94885
