No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
67002;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Matarape;94975
67003;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Mbokitta;94975
67004;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Morompaitonga;94975
67005;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Ngapaea;94975
67006;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Padalaa;94975
67007;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Padei Darat;94975
67008;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Padei Laut;94975
67009;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Pulau Tengah;94975
67010;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Pulau Tiga;94975
67011;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Samarengga;94975
67012;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Tafagapi;94975
67013;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Tanjung Harapan;94975
67014;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Tanjung Tiram;94975
67015;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Tanona;94975
67016;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Terebino;94975
67017;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Torukune;94975
67018;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Ulunambo;94975
67019;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Ulunipa;94975
67020;Sulawesi Tengah;Kabupaten;Morowali;Menui Kepulauan;Wawangkolono;94975
67021;Sulawesi Tengah;Kabupaten;Morowali;Petasia Barat;Maralee;94971
67022;Sulawesi Tengah;Kabupaten;Morowali;Petasia Barat;Moleono;94971
67023;Sulawesi Tengah;Kabupaten;Morowali;Petasia Barat;Mondowe;94971
67024;Sulawesi Tengah;Kabupaten;Morowali;Petasia Barat;Onepute;94971
67025;Sulawesi Tengah;Kabupaten;Morowali;Petasia Barat;Sampalowo;94971
67026;Sulawesi Tengah;Kabupaten;Morowali;Petasia Barat;Tadaku Jaya;94971
67027;Sulawesi Tengah;Kabupaten;Morowali;Petasia Barat;Tiu;94971
67028;Sulawesi Tengah;Kabupaten;Morowali;Petasia Barat;Togo Mulyo;94971
67029;Sulawesi Tengah;Kabupaten;Morowali;Petasia Barat;Tontowea;94971
67030;Sulawesi Tengah;Kabupaten;Morowali;Petasia Barat;Ulu Laa;94971
67031;Sulawesi Tengah;Kabupaten;Morowali;Wita Ponda;Bumi Harapan;94976
67032;Sulawesi Tengah;Kabupaten;Morowali;Wita Ponda;Emea;94976
67033;Sulawesi Tengah;Kabupaten;Morowali;Wita Ponda;Lantula Jaya;94976
67034;Sulawesi Tengah;Kabupaten;Morowali;Wita Ponda;Moahino;94976
67035;Sulawesi Tengah;Kabupaten;Morowali;Wita Ponda;Puntari Makmur;94976
67036;Sulawesi Tengah;Kabupaten;Morowali;Wita Ponda;Sampeantaba;94976
67037;Sulawesi Tengah;Kabupaten;Morowali;Wita Ponda;Solonsa;94976
67038;Sulawesi Tengah;Kabupaten;Morowali;Wita Ponda;Solonsa Jaya;94976
67039;Sulawesi Tengah;Kabupaten;Morowali;Wita Ponda;Ungkaya;94976
67040;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Baturube;94972
67041;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Boba;94972
67042;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Kalombang;94972
67043;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Lemo;94972
67044;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Lemowalia;94972
67045;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Matube;94972
67046;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Opo;94972
67047;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Pokeang;94972
67048;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Posangke;94972
67049;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Salubiro;94972
67050;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Siliti;94972
67051;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Tambarobone;94972
67052;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Tamungkubae;94972
67053;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Tanakuraya;94972
67054;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Taronggo;94972
67055;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Tirongan Atas;94972
67056;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Tirongan Bawah;94972
67057;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Tokonanaka;94972
67058;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Uemasi;94972
67059;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Uempanapa;94972
67060;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Ueruru;94972
67061;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Uewajo;94972
67062;Sulawesi Tengah;Kabupaten;Morowali Utara;Bungku Utara;Womparigi;94972
67063;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Beteleme;94966
67064;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Koro Walelo;94966
67065;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Korobonde;94966
67066;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Korompeli;94966
67067;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Korowou;94966
67068;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Kumpi;94966
67069;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Lembo Baru;94966
67070;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Lemboroma;94966
67071;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Mora;94966
67072;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Tingkeao;94966
67073;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Tinompo;94966
67074;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Uluanso;94966
67075;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Waraa;94966
67076;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo;Wawopada;94966
67077;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo Raya;Bintangor Mukti;94966
67078;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo Raya;Dalupo Karya;94966
67079;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo Raya;Jamur Jaya;94966
67080;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo Raya;Lembobelala;94966
67081;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo Raya;Mandula;94966
67082;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo Raya;Pa'awaru;94966
67083;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo Raya;Petumbea;94966
67084;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo Raya;Po'ona;94966
67085;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo Raya;Pontangoa;94966
67086;Sulawesi Tengah;Kabupaten;Morowali Utara;Lembo Raya;Ronta;94966
67087;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Girimulya;94972
67088;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Kolo Atas;94972
67089;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Kolo Bawah;94972
67090;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Lijo;94972
67091;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Manyoe;94972
67092;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Momo;94972
67093;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Pandauke;94972
67094;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Parangisi;94972
67095;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Sea;94972
67096;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Tambale;94972
67097;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Tanangaya;94972
67098;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Tanasumpu;94972
67099;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Uepaku;94972
67100;Sulawesi Tengah;Kabupaten;Morowali Utara;Mamosalato;Winangabino;94972
67101;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Ensa;94965
67102;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Gontara;94965
67103;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Kasingoli;94965
67104;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Kolaka;94965
67105;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Lanumor;94965
67106;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Lee;94965
67107;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Londi;94965
67108;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Pambarea;94965
67109;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Peonea;94965
67110;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Saemba;94965
67111;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Saemba Walati;94965
67112;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Taende;94965
67113;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Tomata;94965
67114;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Atas;Tomui Karya;94965
67115;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Utara;Era;94965
67116;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Utara;Lembontonara;94965
67117;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Utara;Mayumba;94965
67118;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Utara;Peleru;94965
67119;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Utara;Tabarano;94965
67120;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Utara;Tamonjengi;94965
67121;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Utara;Tiwaa;94965
67122;Sulawesi Tengah;Kabupaten;Morowali Utara;Mori Utara;Wawondul;94965
67123;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Bahontula;94971
67124;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Bahoue;94971
67125;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Ganda Ganda;94971
67126;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Gililana;94971
67127;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Kolonodale;94971
67128;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Korolaki;94971
67129;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Korololama;94971
67130;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Koromatantu;94971
67131;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Koya;94971
67132;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Maralee;94971
67133;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Moleono;94971
67134;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Mondowe;94971
67135;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Onepute;94971
67136;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Sampalowo;94971
67137;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Tadaku Jaya;94971
67138;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Tanauge;94971
67139;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Tiu;94971
67140;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Togomulyo;94971
67141;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Tontowea;94971
67142;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia;Ulu Laa;94971
67143;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Bimor Jaya;94971
67144;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Bungintimbe;94971
67145;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Bunta;94971
67146;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Keuno;94971
67147;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Malino;94971
67148;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Mohoni;94971
67149;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Molores;94971
67150;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Peboa;94971
67151;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Polewali;94971
67152;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Tompira;94971
67153;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Towara;94971
67154;Sulawesi Tengah;Kabupaten;Morowali Utara;Petasia Timur;Towara Pantai;94971
67155;Sulawesi Tengah;Kabupaten;Morowali Utara;Soyo Jaya;Bau;94971
67156;Sulawesi Tengah;Kabupaten;Morowali Utara;Soyo Jaya;Lembasumara;94971
67157;Sulawesi Tengah;Kabupaten;Morowali Utara;Soyo Jaya;Malino;94971
67158;Sulawesi Tengah;Kabupaten;Morowali Utara;Soyo Jaya;Malino Jaya;94971
67159;Sulawesi Tengah;Kabupaten;Morowali Utara;Soyo Jaya;Panca Makmur;94971
67160;Sulawesi Tengah;Kabupaten;Morowali Utara;Soyo Jaya;Sumara Jaya;94971
67161;Sulawesi Tengah;Kabupaten;Morowali Utara;Soyo Jaya;Tamainusi;94971
67162;Sulawesi Tengah;Kabupaten;Morowali Utara;Soyo Jaya;Tambayoli;94971
67163;Sulawesi Tengah;Kabupaten;Morowali Utara;Soyo Jaya;Tandoyondo;94971
67164;Sulawesi Tengah;Kabupaten;Morowali Utara;Soyo Jaya;Toddopuli Uebangke;94971
67165;Sulawesi Tengah;Kota;Palu;Mantikulore;Kawatuna;94233
67166;Sulawesi Tengah;Kota;Palu;Mantikulore;Lasoani;94116
67167;Sulawesi Tengah;Kota;Palu;Mantikulore;Layana Indah;94111
67168;Sulawesi Tengah;Kota;Palu;Mantikulore;Poboya;94115
67169;Sulawesi Tengah;Kota;Palu;Mantikulore;Talise;94118
67170;Sulawesi Tengah;Kota;Palu;Mantikulore;Tanamodindi;94234
67171;Sulawesi Tengah;Kota;Palu;Mantikulore;Tondo;94119
67172;Sulawesi Tengah;Kota;Palu;Palu Barat;Balaroa;94226
67173;Sulawesi Tengah;Kota;Palu;Palu Barat;Baru;94221
67174;Sulawesi Tengah;Kota;Palu;Palu Barat;Kamonji;94223
67175;Sulawesi Tengah;Kota;Palu;Palu Barat;Lere;94221
67176;Sulawesi Tengah;Kota;Palu;Palu Barat;Siranindi;94221
67177;Sulawesi Tengah;Kota;Palu;Palu Barat;Ujuna;94222
67178;Sulawesi Tengah;Kota;Palu;Palu Selatan;Birobuli Selatan;94231
67179;Sulawesi Tengah;Kota;Palu;Palu Selatan;Birobuli Utara;94231
67180;Sulawesi Tengah;Kota;Palu;Palu Selatan;Petobo;94232
67181;Sulawesi Tengah;Kota;Palu;Palu Selatan;Tatura Selatan;94236
67182;Sulawesi Tengah;Kota;Palu;Palu Selatan;Tatura Utara;94236
67183;Sulawesi Tengah;Kota;Palu;Palu Timur;Besusu Barat;94111
67184;Sulawesi Tengah;Kota;Palu;Palu Timur;Besusu Tengah;94111
67185;Sulawesi Tengah;Kota;Palu;Palu Timur;Besusu Timur;94111
