No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
67502;Sulawesi Tengah;Kabupaten;Poso;Lage;Sintuwulemba;94661
67503;Sulawesi Tengah;Kabupaten;Poso;Lage;Tagolu;94661
67504;Sulawesi Tengah;Kabupaten;Poso;Lage;Tambaro;94661
67505;Sulawesi Tengah;Kabupaten;Poso;Lage;Tampemadoro;94661
67506;Sulawesi Tengah;Kabupaten;Poso;Lage;Tongko;94661
67507;Sulawesi Tengah;Kabupaten;Poso;Lage;Toyado;94661
67508;Sulawesi Tengah;Kabupaten;Poso;Lage;Watuawu;94661
67509;Sulawesi Tengah;Kabupaten;Poso;Lore Barat;Kageroa;94654
67510;Sulawesi Tengah;Kabupaten;Poso;Lore Barat;Kolori;94654
67511;Sulawesi Tengah;Kabupaten;Poso;Lore Barat;Lelio;94654
67512;Sulawesi Tengah;Kabupaten;Poso;Lore Barat;Lengkeka;94654
67513;Sulawesi Tengah;Kabupaten;Poso;Lore Barat;Tomehipi;94654
67514;Sulawesi Tengah;Kabupaten;Poso;Lore Barat;Tuare;94654
67515;Sulawesi Tengah;Kabupaten;Poso;Lore Piore;Betue;94653
67516;Sulawesi Tengah;Kabupaten;Poso;Lore Piore;Siliwanga;94653
67517;Sulawesi Tengah;Kabupaten;Poso;Lore Piore;Talabosa;94653
67518;Sulawesi Tengah;Kabupaten;Poso;Lore Piore;Wanga;94653
67519;Sulawesi Tengah;Kabupaten;Poso;Lore Piore;Watutau;94653
67520;Sulawesi Tengah;Kabupaten;Poso;Lore Selatan;Badangkaiya (Badangkaia);94654
67521;Sulawesi Tengah;Kabupaten;Poso;Lore Selatan;Bakekau;94654
67522;Sulawesi Tengah;Kabupaten;Poso;Lore Selatan;Bewa;94654
67523;Sulawesi Tengah;Kabupaten;Poso;Lore Selatan;Bomba;94654
67524;Sulawesi Tengah;Kabupaten;Poso;Lore Selatan;Bulili;94654
67525;Sulawesi Tengah;Kabupaten;Poso;Lore Selatan;Gintu;94654
67526;Sulawesi Tengah;Kabupaten;Poso;Lore Selatan;Pada;94654
67527;Sulawesi Tengah;Kabupaten;Poso;Lore Selatan;Runde;94654
67528;Sulawesi Tengah;Kabupaten;Poso;Lore Tengah;Baleura (Baliura);94653
67529;Sulawesi Tengah;Kabupaten;Poso;Lore Tengah;Bariri;94653
67530;Sulawesi Tengah;Kabupaten;Poso;Lore Tengah;Doda;94654
67531;Sulawesi Tengah;Kabupaten;Poso;Lore Tengah;Hanggira;94654
67532;Sulawesi Tengah;Kabupaten;Poso;Lore Tengah;Katu;94653
