No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
68002;Sulawesi Tengah;Kabupaten;Toli-Toli;Dako Pamean;Kapas;94562
68003;Sulawesi Tengah;Kabupaten;Toli-Toli;Dako Pamean;Lingadan;94562
68004;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Abbajareng;94554
68005;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Bangkir;94554
68006;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Dongko;94554
68007;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Kombo;94554
68008;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Lempe;94554
68009;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Mimbala;94554
68010;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Paddumpu;94554
68011;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Pallakawe;94554
68012;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Puse;94554
68013;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Simuntu;94554
68014;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Soni;94554
68015;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Selatan;Tampiala;94554
68016;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Utara;Balaroa;94553
68017;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Utara;Bambapula;94553
68018;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Utara;Banagan;94553
68019;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Utara;Kabinuang;94553
68020;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Utara;Malambigu;94553
68021;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Utara;Ogolali;94553
68022;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Utara;Ogotua;94553
68023;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Utara;Sese;94553
68024;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Utara;Simatang Tanjung;94553
68025;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Utara;Simatang Utara;94553
68026;Sulawesi Tengah;Kabupaten;Toli-Toli;Dampal Utara;Tompoh;94553
68027;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Anggasan;94552
68028;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Bambapun;94552
68029;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Betengon;94552
68030;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Lais;94552
68031;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Luok Manipi;94552
68032;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Malala;94552
68033;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Malomba;94552
68034;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Malulu;94552
68035;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Ogogasang;94552
68036;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Ogogili;94552
68037;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Ogowele;94552
68038;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Pangkung;94552
68039;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Salumbia;94552
68040;Sulawesi Tengah;Kabupaten;Toli-Toli;Dondo;Tinabogan;94552
68041;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Aung;94561
68042;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Bajugan;94561
68043;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Ginunggung;94561
68044;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Kalangkangan;94561
68045;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Kinopasan;94561
68046;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Lakatan;94561
68047;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Lalos;94561
68048;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Lantapan;94561
68049;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Malangga;94561
68050;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Ogomoli;94561
68051;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Sabang;94561
68052;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Sandana;94561
68053;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Tende;94561
68054;Sulawesi Tengah;Kabupaten;Toli-Toli;Galang;Tinigi;94561
68055;Sulawesi Tengah;Kabupaten;Toli-Toli;Lampasio;Janja;94518
68056;Sulawesi Tengah;Kabupaten;Toli-Toli;Lampasio;Lampasio;94517
